name,struct,a_exp,a_alonso_vegard,a_alonso_eq10,err_alonso_vegard,err_alonso_eq10,a_king_vegard,err_king_vegard,a_pw_MP_B2,err_pw_MP_B2,a_sv_MP_B2,err_sv_MP_B2,a_pw_MP_L12,err_pw_MP_L12,a_sv_MP_L12,err_sv_MP_L12,a_pw_OQMD_B2,err_pw_OQMD_B2,a_sv_OQMD_B2,err_sv_OQMD_B2,a_pw_OQMD_L12,err_pw_OQMD_L12,a_sv_OQMD_L12,err_sv_OQMD_L12
W$_{0.273}$Nb$_{0.227}$Mo$_{0.256}$Ta$_{0.244}$,BCC,3.2134,3.2263,3.2148,0.40144395344495337,0.043567560838981945,3.226391123098235,0.4042796756779466,3.4052763544020257,5.971131959980882,3.366112611502753,4.752368566090529,3.2996836424935645,2.685119888391251,3.262772386371834,1.5364531764434572,3.183083475265725,0.943440739847985,3.1501159945708572,1.969378397620676,,,,
W$_{0.25}$Nb$_{0.22}$Mo$_{0.26}$Ta$_{0.27}$,BCC,3.24,3.23,3.22,0.30864197530864906,0.6172839506172845,3.228970012211863,0.34043172185608767,3.406415525008475,5.136281636064033,3.3674351435278385,3.933183442217229,3.3014883748369948,1.8977893468208191,3.2654711598174537,0.7861469079460961,3.1809568685773466,1.8223188710695555,3.14844777778892,2.825685870712354,,,,
NbMoTaW,BCC,3.222,3.231,3.217,0.2793296089385443,0.15518311607696753,3.2304546833135332,0.2624048204076124,3.4107543826974935,5.858298656036423,3.3706782859768043,4.614471942172698,3.3037164846859084,2.5362037456830673,3.2671492161035642,1.4012792086767307,3.1888856340851466,1.0277580979159961,3.1538644239403033,2.1146982017286367,,,,
W$_{0.211}$Nb$_{0.206}$Mo$_{0.217}$Ta$_{0.156}$V$_{0.210}$,BCC,3.1832,3.1849,3.1804,0.05340537823573872,0.08796179944708757,3.184202939115836,0.03150726048744586,3.3762614169784424,6.065010586153638,3.290736452350449,3.378249948179479,3.2790958000451647,3.012559689782761,3.2269731106214534,1.3751291348785377,3.1767807516232747,0.2016602279695005,3.1456876753411396,1.1784469922989518,,,,
WNbMoTaVTi,BCC,3.216,3.209,3.188,0.2176616915422922,0.8706467661691549,3.2064323740129383,0.2975008080554056,3.3682275211772503,4.733442822675689,3.2893638495425597,2.2812142270696354,3.285409358653545,2.15825120191371,3.2378057665721864,0.67804000535405,3.194444955230955,0.6702439293857315,3.1582173691190847,1.7967235970433926,,,,
NbZrHfVTi (a),BCC,3.377,3.361,3.374,0.4737933076695165,0.08883624518802694,3.362470782810671,0.4302403668738157,3.4975948553265765,3.5710647120691967,3.3767471719908295,0.0074867636710174235,3.4573771372605457,2.3801343577301144,3.3591912422096795,0.527354391185085,3.4346496992220086,1.7071276050343147,3.3383241565613524,1.1452722368566002,3.4257799052228086,1.4444745402075463,3.3438849207302446,0.9806064338097488
Al$_{0.262}$Cr$_{0.241}$Fe$_{0.259}$Mo$_{0.235}$V$_{0.003}$,BCC,3.01,3.04,3.02,0.9966777408637957,0.33222591362127013,3.0363802281844134,0.8764195410104205,3.165735161010743,5.173925614974863,3.0717568166822162,2.0517214844590184,3.148031907209148,4.585777648144453,3.053861170486289,1.4571817437305397,3.1411014840279865,4.355531030830124,3.039395711848738,0.9766017225494432,,,,
Al$_{0.200}$Cr$_{0.243}$Fe$_{0.232}$Mo$_{0.166}$V$_{0.158}$,BCC,2.98,3.02,3.01,1.342281879194632,1.0067114093959666,3.0177719923488713,1.2675165217742046,3.12747408581698,4.948794826073157,3.0452052371458693,2.188095206237226,3.1249381470889186,4.863696211037538,3.0385617124664854,1.9651581364592434,3.1246327581103563,4.85344825873679,3.0347806553443117,1.8382770249769045,,,,
Al$_{0.180}$Ni$_{0.189}$Cu$_{0.214}$Fe$_{0.196}$Cr$_{0.220}$,BCC,2.894,2.926,2.918,1.1057360055286811,0.8293020041465107,2.92662013637266,1.127164352890806,3.0008638445783844,3.6926000199856346,2.9218708502862545,0.9630563333190862,2.9661091279027243,2.4916768452910905,2.854651608674705,1.359654157750353,3.0446018772312535,5.203934942337712,2.9453551582415503,1.7745389855407783,3.0847406149360967,6.5908989266101115,2.934579912930295,1.4022084633826903
NbZrHfTi,BCC,3.438,3.435,3.428,0.08726003490401726,0.2908667830133866,3.4372208037703755,0.02266423006470723,3.542248160092636,3.0322326961208756,3.4700412404320167,0.9319732528218877,3.4957479703803127,1.6796966370073454,3.4266261735950607,0.33082682969573723,3.4742382880652474,1.0540514271450612,3.3967022721748603,1.2012137238260574,3.4573206708521114,0.5619741376413961,3.401985573321291,1.0475400430107336
Nb$_{0.200}$Mo$_{0.208}$Cr$_{0.187}$Ti$_{0.202}$V$_{0.203}$,BCC,3.14,3.139,3.138,0.03184713375797242,0.0636942675159307,3.138251694200731,0.05567852863914334,3.31214667731023,5.482378258287573,3.217059734673519,2.4541316775005946,3.257571314411632,3.744309376166615,3.1768981512359287,1.1751003578321193,3.2034521874060027,2.0207702995542216,3.1513168528708166,0.36040932709606743,,,,
NbTaTiV (a),BCC,3.23,3.23,3.23,0.0,0.0,3.231093381337405,0.03385081539954239,3.3819340321768485,4.703840005475187,3.2836175653235182,1.6599865425237847,3.3032104678867285,2.2665779531494885,3.2529499815798975,0.7105257455076617,3.221932010077882,0.24978296972501865,3.1793695320166684,1.5675067487099565,3.339350449313667,3.3854628270485208,3.280301178380836,1.5573120241744902
NbTaTiV (b),BCC,3.2206,3.2319,3.2299,0.3508662982052992,0.28876606843445585,3.231093381337405,0.3258206960630029,3.3819340321768485,5.009440234020008,3.2836175653235182,1.9567026430950163,3.3032104678867285,2.565064518621633,3.2529499815798975,1.004470644597197,3.221932010077882,0.041359065946772376,3.1793695320166684,1.280210767662291,3.339350449313667,3.68721509388521,3.280301178380836,1.85372844752021
Nb$_{0.27}$Mo$_{0.21}$Ta$_{0.27}$W$_{0.24}$,BCC,3.218,3.226,3.213,0.24860161591050367,0.1553760099440613,3.226490387390228,0.2638405031146055,3.349608244170109,4.089752770979148,3.3434199912366913,3.897451561115331,3.2421422555455273,0.7502254675427996,3.2387370366875388,0.6444076037146921,3.1307955838748196,2.7098948454064753,3.1257948466175263,2.865293765769848,,,,
Nb$_{0.22}$Mo$_{0.18}$Ta$_{0.28}$W$_{0.31}$,BCC,3.216,3.222,3.21,0.18656716417909774,0.18656716417911154,3.221567848797578,0.17312962679035002,3.3406998882784094,3.8774840882589916,3.3362324036901474,3.738569766484676,3.2342992893631606,0.569007753829614,3.2292491066098994,0.41197470801925357,3.1183441016715916,3.0365640027490235,3.1173691131896435,3.066880808779748,,,,
