HEA,Structure,Composition,a_exp (Å),a_Vegard (Å),a_Eq10 (Å),Ref
W0.273Nb0.227Mo0.256Ta0.244,BCC,W:0.273 Nb:0.227 Mo:0.256 Ta:0.244,3.2134,3.2263,3.2148,[23]
W0.25Nb0.22Mo0.26Ta0.27,BCC,W:0.250 Nb:0.220 Mo:0.260 Ta:0.270,3.24,3.23,3.22,[24]
NbMoTaW,BCC,Nb:0.250 Mo:0.250 Ta:0.250 W:0.250,3.222,3.231,3.217,[25]
W0.211Nb0.206Mo0.217Ta0.156V0.210,BCC,W:0.211 Nb:0.206 Mo:0.217 Ta:0.156 V:0.210,3.1832,3.1849,3.1804,[23]
WNbMoTaVTi,BCC,W:0.167 Nb:0.167 Mo:0.167 Ta:0.167 V:0.167 Ti:0.167,3.216,3.209,3.188,[26]
NbZrHfVTi (a),BCC,Nb:0.200 Zr:0.200 Hf:0.200 V:0.200 Ti:0.200,3.377,3.361,3.374,[36]
Al0.262Cr0.241Fe0.259Mo0.235V0.003,BCC,Al:0.262 Cr:0.241 Fe:0.259 Mo:0.235 V:0.003,3.01,3.04,3.02,[37]
Al0.200Cr0.243Fe0.232Mo0.166V0.158,BCC,Al:0.200 Cr:0.243 Fe:0.232 Mo:0.166 V:0.158,2.98,3.02,3.01,[37]
Al0.180Ni0.189Cu0.214Fe0.196Cr0.220,BCC,Al:0.180 Ni:0.189 Cu:0.214 Fe:0.196 Cr:0.220,2.894,2.926,2.918,[38]
NbZrHfTi,BCC,Nb:0.250 Zr:0.250 Hf:0.250 Ti:0.250,3.438,3.435,3.428,[40]
Nb0.200Mo0.208Cr0.187Ti0.202V0.203,BCC,Nb:0.200 Mo:0.208 Cr:0.187 Ti:0.202 V:0.203,3.14,3.139,3.138,[41]
NbTaTiV (a),BCC,Nb:0.250 Ta:0.250 Ti:0.250 V:0.250,3.23,3.23,3.23,[42]
NbTaTiV (b),BCC,Nb:0.250 Ta:0.250 Ti:0.250 V:0.250,3.2206,3.2319,3.2299,[43]
Nb0.27Mo0.21Ta0.27W0.24,BCC,Nb:0.270 Mo:0.210 Ta:0.270 W:0.240,3.218,3.226,3.213,[44]
Nb0.22Mo0.18Ta0.28W0.31,BCC,Nb:0.220 Mo:0.180 Ta:0.280 W:0.310,3.216,3.222,3.21,[44]
Nb0.24Mo0.27Ta0.25W0.24,BCC,Nb:0.240 Mo:0.270 Ta:0.250 W:0.240,3.214,3.229,3.215,[44]
Nb0.24Mo0.18Ta0.36W0.22,BCC,Nb:0.240 Mo:0.180 Ta:0.360 W:0.220,3.228,3.245,3.234,[44]
Nb0.216Mo0.230Ta0.281W0.273,BCC,Nb:0.216 Mo:0.230 Ta:0.281 W:0.273,3.2034,3.2303,3.2177,[45]
Ti2ZrHfV0.5Mo0.2,BCC,Ti:0.426 Zr:0.213 Hf:0.213 V:0.106 Mo:0.043,3.4584,3.3805,3.3845,[46]
Ti0.262Nb0.255Ta0.121Zr0.242Al0.120,BCC,Ti:0.262 Nb:0.255 Ta:0.121 Zr:0.242 Al:0.120,3.355,3.363,3.36,[47]
NbTaTiV0.333Cr0.309Fe0.308Ta0.025W0.025,BCC,V:0.333 Cr:0.309 Fe:0.308 Ta:0.025 W:0.025,2.935,2.948,2.93,[49]
NbMoTaVTi (b),BCC,Nb:0.200 Mo:0.200 Ta:0.200 V:0.200 Ti:0.200,3.1945,3.2153,3.2055,[56]
Nb0.199Hf0.198Ta0.175V0.212Ti0.217,BCC,Nb:0.199 Hf:0.198 Ta:0.175 V:0.212 Ti:0.217,3.279,3.295,3.29,[57]
Nb0.304Mo0.037Ta0.051Zr0.290Ti0.319,BCC,Nb:0.304 Mo:0.037 Ta:0.051 Zr:0.290 Ti:0.319,3.285,3.381,3.368,[58]
Nb0.255Mo0.207Ta0.190Zr0.131Ti0.217,BCC,Nb:0.255 Mo:0.207 Ta:0.190 Zr:0.131 Ti:0.217,3.24,3.31,3.28,[58]
Nb0.275Mo0.095Ta0.091Zr0.256Ti0.284,BCC,Nb:0.275 Mo:0.095 Ta:0.091 Zr:0.256 Ti:0.284,3.4,3.47,3.46,[58]
NbZrHfVTi (b),BCC,Nb:0.200 Zr:0.200 Hf:0.200 V:0.200 Ti:0.200,3.3663,3.3613,3.3582,[59]
Nb0.238V0.245Al0.266Ti0.251,BCC,Nb:0.238 V:0.245 Al:0.266 Ti:0.251,3.18,3.07,3.1,[62]
CoCrFeNi,FCC,Co:0.250 Cr:0.250 Fe:0.250 Ni:0.250,3.575,3.579,3.587,[28]
CoCrFeNiMn,FCC,Co:0.200 Cr:0.200 Fe:0.200 Mn:0.200 Ni:0.200,3.597,3.594,3.602,[28]
Co0.204Cr0.205Fe0.202Mn0.194Ni0.195,FCC,Co:0.204 Cr:0.205 Fe:0.202 Mn:0.194 Ni:0.195,3.59,3.59,3.6,[29]
Co0.203Cr0.194Fe0.206Mn0.201Ni0.196,FCC,Co:0.203 Cr:0.194 Fe:0.206 Mn:0.201 Ni:0.196,3.6,3.59,3.6,[30]
Cr0.127Fe0.498Ni0.111Mn0.264,FCC,Cr:0.127 Fe:0.498 Ni:0.111 Mn:0.264,3.61,3.62,3.62,[31]
Co0.20Cr0.20Fe0.40Ni0.10Mn0.10,FCC,Co:0.200 Cr:0.200 Fe:0.400 Ni:0.100 Mn:0.100,3.587,3.598,3.605,[32]
Co0.211Cr0.187Fe0.342Ni0.063Mn0.197,FCC,Co:0.211 Cr:0.187 Fe:0.342 Ni:0.063 Mn:0.197,3.588,3.605,3.611,[33]
Ru0.185Rh0.156Pd0.182Os0.143Ir0.159Pt0.174,FCC,Ru:0.185 Rh:0.156 Pd:0.182 Os:0.143 Ir:0.159 Pt:0.174,3.8473,3.8462,3.8471,[34]
CoCrCuNiZn,BCC,Co:0.200 Cr:0.200 Cu:0.200 Ni:0.200 Zn:0.200,2.8831,2.9012,2.8815,[39]
V0.098Co0.301Cr0.095Fe0.455Ni0.051,FCC,V:0.098 Co:0.301 Cr:0.095 Fe:0.455 Ni:0.051,3.582,3.61,3.604,[48]
Co0.286Al0.071Fe0.286Ni0.286Mn0.071,FCC,Co:0.286 Al:0.071 Fe:0.286 Ni:0.286 Mn:0.071,3.6084,3.6061,3.5923,[50]
CoCrFeNiPd (a),FCC,Co:0.200 Cr:0.200 Fe:0.200 Ni:0.200 Pd:0.200,3.6473,3.6455,3.6658,[51]
CoCrFeNiPd (b),FCC,Co:0.200 Cr:0.200 Fe:0.200 Ni:0.200 Pd:0.200,3.6803,3.6455,3.6658,[52]
Co0.244Cr0.244Fe0.244Ni0.244Al0.024,FCC,Co:0.244 Cr:0.244 Fe:0.244 Ni:0.244 Al:0.024,3.58,3.59,3.59,[53]
Co0.314Al0.029Fe0.318Ni0.307Mn0.032,FCC,Co:0.314 Al:0.029 Fe:0.318 Ni:0.307 Mn:0.032,3.5862,3.5798,3.5796,[54]
Co0.290Al0.067Fe0.288Ni0.268Mn0.087,FCC,Co:0.290 Al:0.067 Fe:0.288 Ni:0.268 Mn:0.087,3.6,3.606,3.593,[54]
Co0.2Al0.1Fe0.3Ni0.4,FCC,Co:0.200 Al:0.100 Fe:0.300 Ni:0.400,3.5936,3.6132,3.5936,[55]
Ir0.191Pt0.195Pd0.207Rh0.199Ru0.208,FCC,Ir:0.191 Pt:0.195 Pd:0.207 Rh:0.199 Ru:0.208,3.856,3.849,3.851,[60]
Co0.237Cr0.232Fe0.245Ni0.209Mn0.077,FCC,Co:0.237 Cr:0.232 Fe:0.245 Ni:0.209 Mn:0.077,3.58,3.59,3.59,[61]
Co0.269Cr0.250Fe0.249Ni0.184Mo0.048,FCC,Co:0.269 Cr:0.250 Fe:0.249 Ni:0.184 Mo:0.048,3.585,3.603,3.606,[63]
Co0.247Cr0.245Fe0.239Ni0.246Mo0.024,FCC,Co:0.247 Cr:0.245 Fe:0.239 Ni:0.246 Mo:0.024,3.604,3.589,3.594,[64]
Co0.238Cr0.238Fe0.238Ni0.238Mo0.048,FCC,Co:0.238 Cr:0.238 Fe:0.238 Ni:0.238 Mo:0.048,3.595,3.599,3.602,[65]
Co0.204Cr0.197Fe0.299Ni0.299,FCC,Co:0.204 Cr:0.197 Fe:0.299 Ni:0.299,3.5759,3.5764,3.5782,"[66,67]"
Co0.305Cr0.208Fe0.193Ni0.294,FCC,Co:0.305 Cr:0.208 Fe:0.193 Ni:0.294,3.5695,3.5704,3.5721,"[66,67]"
Co0.296Cr0.213Fe0.303Ni0.188,FCC,Co:0.296 Cr:0.213 Fe:0.303 Ni:0.188,3.5741,3.5801,3.5822,"[66,67]"
Co0.265Cr0.205Fe0.271Ni0.260,FCC,Co:0.265 Cr:0.205 Fe:0.271 Ni:0.260,3.573,3.576,3.578,"[66,67]"
Co0.220Cr0.244Fe0.230Ni0.307,FCC,Co:0.220 Cr:0.244 Fe:0.230 Ni:0.307,3.5737,3.5758,3.577,"[66,67]"
Co0.229Cr0.236Fe0.325Ni0.210,FCC,Co:0.229 Cr:0.236 Fe:0.325 Ni:0.210,3.5795,3.5834,3.5843,"[66,67]"
Co0.315Cr0.245Fe0.245Ni0.220,FCC,Co:0.315 Cr:0.245 Fe:0.245 Ni:0.220,3.5704,3.6079,3.609,"[66,67]"
Co0.216Cr0.227Fe0.276Ni0.281,FCC,Co:0.216 Cr:0.227 Fe:0.276 Ni:0.281,3.5752,3.5779,3.5792,"[66,67]"
Co0.277Cr0.233Fe0.233Ni0.277,FCC,Co:0.277 Cr:0.233 Fe:0.233 Ni:0.277,3.572,3.5998,3.6013,"[66,67]"
Co0.273Cr0.229Fe0.284Ni0.214,FCC,Co:0.273 Cr:0.229 Fe:0.284 Ni:0.214,3.5751,3.5801,3.5815,"[66,67]"
Co0.188Cr0.214Fe0.198Ni0.400,FCC,Co:0.188 Cr:0.214 Fe:0.198 Ni:0.400,3.5708,3.5692,3.5711,"[66,67]"
Co0.201Cr0.193Fe0.400Ni0.205,FCC,Co:0.201 Cr:0.193 Fe:0.400 Ni:0.205,3.5803,3.5847,3.5864,"[66,67]"
Co0.248Cr0.244Fe0.251Ni0.257,FCC,Co:0.248 Cr:0.244 Fe:0.251 Ni:0.257,3.5767,3.5783,3.5793,"[66,67]"
Co0.386Cr0.196Fe0.211Ni0.208,FCC,Co:0.386 Cr:0.196 Fe:0.211 Ni:0.208,3.568,3.5723,3.5744,"[66,67]"
