Element,V_atom (Å³),r_WS (Å)
Ag,17.061,1.5970
Al,16.602,1.5825
Au,16.966,1.5940
B,7.241,1.2002
Be,8.111,1.2464
Ce,34.367,2.0169
Co,11.073,1.3827
Cr,12.008,1.4206
Cu,11.810,1.4127
Fe,11.776,1.4114
Ge,22.634,1.7548
Hf,22.312,1.7464
Ir,14.155,1.5006
La,37.168,2.0703
Mg,23.240,1.7703
Mn,12.210,1.4285
Mo,15.583,1.5495
Nb,17.978,1.6251
Ni,10.941,1.3772
Os,13.977,1.4943
P,23.000,1.7642
Pb,30.321,1.9344
Pd,14.716,1.5202
Pt,15.095,1.5331
Re,14.712,1.5201
Rh,13.754,1.4863
Ru,13.571,1.4797
Sc,24.987,1.8136
Si,20.024,1.6846
Sn,27.053,1.8623
Ta,18.014,1.6262
Ti,17.649,1.6151
V,13.824,1.4888
W,15.850,1.5583
Y,33.018,1.9902
Zn,15.207,1.5369
Zr,23.279,1.7713
