Solvent,Solute,Omega_sf (%)
Al,Fe,-47.65
Al,Mo,-34.05
Al,Nb,4.48
Al,Ni,-22.6
Co,V,4.54
Co,Zn,43.57
Cr,Cu,3.33
Cr,Ti,46.17
Cr,Zn,26.5
Fe,Ta,38.06
Hf,Nb,-19.95
Hf,Ta,-19.63
Hf,V,-40.81
Hf,Zr,4.31
Ir,Re,0.19
Mo,Al,-9.16
Mo,Co,-30.11
Mo,Fe,-26.17
Nb,Al,-9.42
Nb,Cr,-28.97
Os,Ir,1.74
Os,Pd,4.77
Os,Pt,7.8
Os,Rh,-1.63
Pt,Os,-7.12
Re,Co,-26.46
Re,Fe,-23.94
Re,Ir,-5.61
Re,Rh,-6.7
Rh,Os,1.58
Rh,Re,4.17
Rh,Ru,0.23
Rh,Ti,-21.24
Ru,Co,-18.28
Ru,Fe,-11.24
Ta,Al,-8.73
Ta,Fe,-38.9
Ta,Hf,21.93
Ti,Nb,1.49
Ti,W,-17.11
V,Hf,64.64
V,Ni,-27.83
V,Ti,26.22
Zr,Ta,-25.02
