Method,Structure,N,RMSE (Å),MAE (Å),Mean |err| (%),Max |err| (%)
Alonso Vegard,All,64,0.028048002936929405,0.01674843749999999,0.5041049509552631,3.4591194968553554
Alonso Vegard,BCC,29,0.03900188324365537,0.025917241379310355,0.8057681058304215,3.4591194968553554
Alonso Vegard,FCC,35,0.01334694186481895,0.009151428571428546,0.25415547977298897,1.050302487116292
Alonso Eq.10,All,64,0.02293315353914501,0.014095312499999957,0.41831328546623103,2.5266362252663543
Alonso Eq.10,BCC,29,0.030854027848609272,0.019186206896551677,0.5915224793061828,2.5266362252663543
Alonso Eq.10,FCC,35,0.013150046170478444,0.009877142857142815,0.2747970962845567,1.081111360071706
King Vegard,All,64,0.023119856191741887,0.014473418856945162,0.4346665352674405,2.9528309394336913
King Vegard,BCC,29,0.031402223201373654,0.021595917445483385,0.6721789346962189,2.9528309394336913
King Vegard,FCC,35,0.012663656640998897,0.008571920026442064,0.23787054716930964,0.9961616690056055
This work PW-max (MP_B2),All,64,0.11848234860462878,0.09773112367492945,2.9451430100463156,7.188562578653709
This work PW-max (MP_B2),BCC,29,0.15757998111888954,0.1511811243845266,4.72476234653497,7.188562578653709
This work PW-max (MP_B2),FCC,35,0.0713791126995534,0.0534439802298347,1.470601274098573,4.581499154699715
This work Vegard (MP_B2),All,64,0.11644622375960803,0.10495069662021383,3.0340956261671588,5.822818070346402
This work Vegard (MP_B2),BCC,29,0.09803238674276477,0.08358398242701946,2.6020870954858335,5.143464511240319
This work Vegard (MP_B2),FCC,35,0.1297384354460759,0.1226545455231463,3.3920455515888293,5.822818070346402
This work PW-max (MP_L12),All,64,0.10516113218803434,0.09831235989293868,2.8616161786163934,5.2510337737918045
This work PW-max (MP_L12),BCC,29,0.09191664773460208,0.08392352879569044,2.6344242639232984,5.2510337737918045
This work PW-max (MP_L12),FCC,35,0.11498519711985163,0.11023453423065864,3.049860907933529,4.93836769856295
This work Vegard (MP_L12),All,64,0.15590704414156126,0.12986370818467946,3.6706954602464092,7.181598469475163
This work Vegard (MP_L12),BCC,29,0.04822298345653999,0.04152091433321758,1.304060295322908,3.0945855036288594
This work Vegard (MP_L12),FCC,35,0.20620448814287773,0.20306202309017646,5.631621739754452,7.181598469475163
This work PW-max (OQMD_B2),All,64,0.08981218540796149,0.0770262410582989,2.2472487890974464,5.802657949935446
This work PW-max (OQMD_B2),BCC,29,0.07609566848178077,0.06064920271166221,1.9396435741333133,5.203934942337712
This work PW-max (OQMD_B2),FCC,35,0.0997586603998836,0.09059578711694073,2.5021216814962997,5.802657949935446
This work Vegard (OQMD_B2),All,64,0.14236303737533204,0.12247031261758448,3.4697321861996775,7.675273817923478
This work Vegard (OQMD_B2),BCC,29,0.05840599451223815,0.05204985458907457,1.614632600530603,3.3714754706023626
This work Vegard (OQMD_B2),FCC,35,0.1850232770400824,0.18081869212692125,5.006814700039767,7.675273817923478
This work PW-max (OQMD_L12),All,41,0.10868364278300192,0.08156804862886699,2.3671468799103015,7.986162197788429
This work PW-max (OQMD_L12),BCC,10,0.11231734979414107,0.09975719113907933,3.1980345558610788,6.5908989266101115
This work PW-max (OQMD_L12),FCC,31,0.10748527759713307,0.07570058330299204,2.0991185973455355,7.986162197788429
This work Vegard (OQMD_L12),All,41,0.19265758001183364,0.17016335850255962,4.762706659617254,9.944263813396471
This work Vegard (OQMD_L12),BCC,10,0.04053173259251866,0.037229247878984274,1.1655943541093647,1.85372844752021
This work Vegard (OQMD_L12),FCC,31,0.22036380880095247,0.21304532967145487,5.923065467845605,9.944263813396471
