config_index,config_name,composition,n_fe,n_v,converged,total_energy,energy_per_atom,n_atoms,n_iterations,total_magnetization,magmom_per_atom,energy_per_atom_original,correction_method,formation_energy_per_atom,formation_energy_J_mol
0,config_000_Fe8V0,Fe8V0,8,0,False,-53.39599841,-8.264865716939775,8,20,-11.1362124,,-6.67449980125,wang_interpolation,0.009934283060225368,7668.074408526757
1,config_001_Fe7V1,Fe7V1,7,1,False,-52.6077212,-8.199140842743107,8,20,-0.0007916,,-6.57596515,converged_mean,0.16170915725689383,124820.06430345122
2,config_002_Fe7V1,Fe7V1,7,1,True,-65.14208946,-8.1427611825,8,28,2.9196822,,-8.1427611825,none,0.21808881750000175,168338.39645190135
3,config_003_Fe6V2,Fe6V2,6,2,False,-52.39404315,-8.381811521384591,8,20,-5.9435288,,-6.54925539375,converged_mean,0.06508847861540978,50240.4948736625
4,config_004_Fe7V1,Fe7V1,7,1,False,-52.60713359,-8.222458469905614,8,20,0.0010142,,-6.57589169875,converged_mean,0.13839153009438654,106821.65424925508
5,config_005_Fe6V2,Fe6V2,6,2,False,-52.05316534,-8.340472080545238,8,13,-0.0006379,,-6.5066456675,converged_mean,0.10642791945476304,82149.58246874249
6,config_006_Fe6V2,Fe6V2,6,2,True,-68.18873541,-8.52359192625,8,15,9.6851872,,-8.52359192625,none,-0.07669192624999965,-59196.964033849734
7,config_007_Fe5V3,Fe5V3,5,3,False,-51.93396257,-8.446970738697418,8,13,-0.005982,,-6.49174532125,converged_mean,0.08597926130258227,66365.6722142372
8,config_008_Fe7V1,Fe7V1,7,1,False,-52.60711762,-8.211858903371178,8,20,-0.0003361,,-6.5758897025,converged_mean,0.14899109662882282,115003.24766585576
9,config_009_Fe6V2,Fe6V2,6,2,True,-68.18873563,-8.52359195375,8,16,9.6852168,,-8.52359195375,none,-0.07669195374999838,-59196.98526054875
10,config_010_Fe6V2,Fe6V2,6,2,False,-52.3940432,-8.341876426466605,8,20,-5.9441967,,-6.5492554,converged_mean,0.10502357353339598,81065.59593895769
11,config_011_Fe5V3,Fe5V3,5,3,True,-67.65347952,-8.45668494,8,29,-0.0004139,,-8.45668494,none,0.07626505999999988,58867.47451279991
12,config_012_Fe6V2,Fe6V2,6,2,False,-68.09150752,-8.398897541864645,8,37,10.2294887,,-8.51143844,converged_mean,0.04800245813535575,37052.1373855184
13,config_013_Fe5V3,Fe5V3,5,3,True,-67.65346663,-8.45668332875,8,26,-0.0102964,,-8.45668332875,none,0.07626667125000086,58868.71820445066
