config_index,config_name,composition,n_fe,n_v,converged,total_energy,energy_per_atom,n_atoms,n_iterations,total_magnetization,magmom_per_atom
0,config_000_Fe8V0,Fe8V0,8,0,False,-53.39599841,-6.67449980125,8,20,-11.1362124,
1,config_001_Fe7V1,Fe7V1,7,1,False,-52.6077212,-6.57596515,8,20,-0.0007916,
2,config_002_Fe7V1,Fe7V1,7,1,True,-65.14208946,-8.1427611825,8,28,2.9196822,
3,config_003_Fe6V2,Fe6V2,6,2,False,-52.39404315,-6.54925539375,8,20,-5.9435288,
4,config_004_Fe7V1,Fe7V1,7,1,False,-52.60713359,-6.57589169875,8,20,0.0010142,
5,config_005_Fe6V2,Fe6V2,6,2,False,-52.05316534,-6.5066456675,8,13,-0.0006379,
6,config_006_Fe6V2,Fe6V2,6,2,True,-68.18873541,-8.52359192625,8,15,9.6851872,
7,config_007_Fe5V3,Fe5V3,5,3,False,-51.93396257,-6.49174532125,8,13,-0.005982,
8,config_008_Fe7V1,Fe7V1,7,1,False,-52.60711762,-6.5758897025,8,20,-0.0003361,
9,config_009_Fe6V2,Fe6V2,6,2,True,-68.18873563,-8.52359195375,8,16,9.6852168,
10,config_010_Fe6V2,Fe6V2,6,2,False,-52.3940432,-6.5492554,8,20,-5.9441967,
11,config_011_Fe5V3,Fe5V3,5,3,True,-67.65347952,-8.45668494,8,29,-0.0004139,
12,config_012_Fe6V2,Fe6V2,6,2,False,-68.09150752,-8.51143844,8,37,10.2294887,
13,config_013_Fe5V3,Fe5V3,5,3,True,-67.65346663,-8.45668332875,8,26,-0.0102964,
14,config_014_Fe5V3,Fe5V3,5,3,True,-68.84921044,-8.606151305,8,37,6.0447671,
15,config_015_Fe4V4,Fe4V4,4,4,False,-51.23278607,-6.40409825875,8,20,0.0088175,
16,config_016_Fe7V1,Fe7V1,7,1,True,-67.11098903,-8.38887362875,8,15,14.1557941,
17,config_017_Fe6V2,Fe6V2,6,2,True,-66.11377285,-8.26422160625,8,58,0.0040392,
18,config_018_Fe6V2,Fe6V2,6,2,True,-66.11380799,-8.26422599875,8,68,-0.0250703,
19,config_019_Fe5V3,Fe5V3,5,3,False,-67.4677609,-8.4334701125,8,100,-0.4412038,
20,config_020_Fe6V2,Fe6V2,6,2,True,-67.80069822,-8.4750872775,8,26,-10.813238,
21,config_021_Fe5V3,Fe5V3,5,3,False,-51.5782952,-6.4472869,8,20,0.0644706,
22,config_022_Fe5V3,Fe5V3,5,3,True,-67.45422154,-8.4317776925,8,17,-0.0007707,
23,config_023_Fe4V4,Fe4V4,4,4,False,-51.1435696,-6.3929462,8,20,-7.78e-05,
24,config_024_Fe6V2,Fe6V2,6,2,True,-66.11380776,-8.26422597,8,71,0.0050441,
25,config_025_Fe5V3,Fe5V3,5,3,True,-67.67542055,-8.45942756875,8,29,-1.0587119,
26,config_026_Fe5V3,Fe5V3,5,3,True,-67.47072539,-8.43384067375,8,66,0.0131356,
27,config_027_Fe4V4,Fe4V4,4,4,True,-68.85907753,-8.60738469125,8,43,-0.0871145,
28,config_028_Fe5V3,Fe5V3,5,3,True,-67.47072268,-8.433840335,8,47,0.0149037,
29,config_029_Fe4V4,Fe4V4,4,4,True,-68.85896224,-8.60737028,8,30,0.0155914,
30,config_030_Fe4V4,Fe4V4,4,4,True,-68.86121832,-8.60765229,8,47,-0.4834741,
31,config_031_Fe3V5,Fe3V5,3,5,True,-70.39002564,-8.798753205,8,18,-0.0012739,
32,config_032_Fe7V1,Fe7V1,7,1,True,-65.14207497,-8.14275937125,8,21,2.8974693,
