config_index,config_name,composition,n_fe,n_v,converged,total_energy,energy_per_atom,n_atoms,n_iterations,total_magnetization,config_idx_int,n_v_int,x_v,E_vegard,energy_corrected,correction_applied,formation_energy_eV,formation_energy_Jmol
0,config_000_Fe8V0,Fe8V0,8.0,0.0,0.0,-53.39599839,-6.67449979875,8.0,20.0,-11.138657,0,0,0.0,-8.2748,-8.2748,-1.6003002012500005,0.0,0.0
1,config_001_Fe7V1,Fe7V1,7.0,1.0,0.0,-52.60745397,-6.57593174625,8.0,20.0,-0.0479681,1,1,0.125,-8.360850000000001,-8.358955637187501,-1.7830238909375007,0.015154902500000844,1462.2207677125814
2,config_002_Fe7V1,Fe7V1,7.0,1.0,0.0,-52.60714299,-6.57589287375,8.0,20.0,0.017517,2,1,0.125,-8.360850000000001,-8.3589167646875,-1.7830238909375007,0.015465882500009798,1492.2256730134454
3,config_003_Fe6V2,Fe6V2,6.0,2.0,0.0,-67.70496526,-8.4631206575,8.0,31.0,-10.3998574,3,2,0.25,-8.446900000000001,-9.436773364057014,-0.9736527065570151,-7.918986912456106,-764063.4522483273
4,config_004_Fe7V1,Fe7V1,7.0,1.0,0.0,-52.60707489,-6.57588436125,8.0,20.0,0.0005263,4,1,0.125,-8.360850000000001,-8.3589082521875,-1.7830238909375007,0.015533982500002708,1498.7963015127611
5,config_005_Fe6V2,Fe6V2,6.0,2.0,0.0,-52.39404222,-6.5492552775,8.0,20.0,5.9424279,5,2,0.25,-8.446900000000001,-7.522907984057015,-0.9736527065570151,7.391936127543886,713210.9572660718
6,config_006_Fe6V2,Fe6V2,6.0,2.0,1.0,-68.18873396,-8.523591745,8.0,17.0,9.6849222,6,2,0.25,-8.446900000000001,-8.523591745,0.0,-0.6135339599999838,-59196.82413059844
7,config_007_Fe5V3,Fe5V3,5.0,3.0,1.0,-67.65347691,-8.45668461375,8.0,26.0,0.007802,7,3,0.375,-8.53295,-8.45668461375,0.0,0.610123090000009,58867.726338650864
8,config_008_Fe7V1,Fe7V1,7.0,1.0,0.0,-52.60705812,-6.575882265,8.0,15.0,-0.0016217,8,1,0.125,-8.360850000000001,-8.3589061559375,-1.7830238909375007,0.015550752500004705,1500.414354962954
9,config_009_Fe6V2,Fe6V2,6.0,2.0,1.0,-68.18873541,-8.52359192625,8.0,24.0,-9.685138,9,2,0.25,-8.446900000000001,-8.52359192625,0.0,-0.6135354099999972,-59196.964033849734
10,config_010_Fe6V2,Fe6V2,6.0,2.0,0.0,-68.09145234,-8.5114315425,8.0,35.0,-10.2312009,10,2,0.25,-8.446900000000001,-9.485084249057016,-0.9736527065570151,-8.305473992456115,-801353.6581621282
11,config_011_Fe5V3,Fe5V3,5.0,3.0,0.0,-51.9334067,-6.4916758375,8.0,20.0,-0.0002138,11,3,0.375,-8.53295,-7.006824338538405,-0.5151485010384054,12.209005291692762,1177985.8755689762
12,config_012_Fe6V2,Fe6V2,6.0,2.0,0.0,-68.09145237,-8.51143154625,8.0,29.0,-10.2300638,12,2,0.25,-8.446900000000001,-9.485084252807015,-0.9736527065570151,-8.30547402245611,-801353.6610566778
13,config_013_Fe5V3,Fe5V3,5.0,3.0,0.0,-51.93411928,-6.49176491,8.0,20.0,-0.0009191,13,3,0.375,-8.53295,-7.006913411038405,-0.5151485010384054,12.208292711692764,1177917.1222876762
14,config_014_Fe5V3,Fe5V3,5.0,3.0,1.0,-67.65342263,-8.45667782875,8.0,32.0,-0.0042598,14,3,0.375,-8.53295,-8.45667782875,0.0,0.6101773700000095,58872.96354445092
15,config_015_Fe4V4,Fe4V4,4.0,4.0,0.0,-51.22378418,-6.4029730225,8.0,20.0,-0.0357986,15,4,0.5,-8.619,-7.351735047331178,-0.9487620248311774,10.138119621350583,978176.471666011
16,config_016_Fe7V1,Fe7V1,7.0,1.0,0.0,-52.68918563,-6.58614820375,8.0,20.0,1.3997945999999999,16,1,0.125,-8.360850000000001,-8.3691720946875,-1.7830238909375007,-0.0665767574999876,-6423.658447386303
17,config_017_Fe6V2,Fe6V2,6.0,2.0,1.0,-66.11377836,-8.264222295,8.0,75.0,0.0243573,17,2,0.25,-8.446900000000001,-8.264222295,0.0,1.4614216400000117,141005.26693540113
18,config_018_Fe6V2,Fe6V2,6.0,2.0,1.0,-66.31283957,-8.28910494625,8.0,82.0,-3.2387005,18,2,0.25,-8.446900000000001,-8.28910494625,0.0,1.2623604300000153,121798.84608855148
19,config_019_Fe5V3,Fe5V3,5.0,3.0,0.0,-67.40735343,-8.42591917875,8.0,60.0,0.0940518,19,3,0.375,-8.53295,-8.941067679788405,-0.5151485010384054,-3.2649414383072397,-315017.874675074
