config_index,n_fe,n_v,composition,converged,energy_per_atom_original,energy_per_atom_corrected,correction_applied,gf_function,formation_energy_Jmol
0,8,0,Fe8V0,0,-6.67449979875,-8.2748,-1.6003002012500005,GF0V001,0.0
1,7,1,Fe7V1,0,-6.57593174625,-8.358955637187501,-1.783023890937501,GF1V001,1462.2207677125814
2,7,1,Fe7V1,0,-6.57589287375,-8.3589167646875,-1.783023890937501,GF1V002,1492.2256730134454
4,7,1,Fe7V1,0,-6.57588436125,-8.3589082521875,-1.783023890937501,GF1V003,1498.7963015127611
8,7,1,Fe7V1,0,-6.575882265,-8.3589061559375,-1.783023890937501,GF1V004,1500.414354962954
16,7,1,Fe7V1,0,-6.58614820375,-8.3691720946875,-1.783023890937501,GF1V005,-6423.658447386303
32,7,1,Fe7V1,0,-6.5758801025,-8.358903993437501,-1.783023890937501,GF1V006,1502.083545462579
64,7,1,Fe7V1,0,-6.58111042,-8.364134310937501,-1.783023890937501,GF1V007,-2535.0939264378694
128,7,1,Fe7V1,0,-6.5758789,-8.3589027909375,-1.783023890937501,GF1V008,1503.0117311625938
3,6,2,Fe6V2,0,-8.4631206575,-9.436773364057014,-0.9736527065570152,GF2V001,-764063.4522483273
5,6,2,Fe6V2,0,-6.5492552775,-7.522907984057015,-0.9736527065570152,GF2V002,713210.9572660718
6,6,2,Fe6V2,1,-8.523591745,-8.523591745,0.0,GF2V003,-59196.82413059844
9,6,2,Fe6V2,1,-8.52359192625,-8.52359192625,0.0,GF2V004,-59196.96403384973
10,6,2,Fe6V2,0,-8.5114315425,-9.485084249057016,-0.9736527065570152,GF2V005,-801353.6581621282
12,6,2,Fe6V2,0,-8.51143154625,-9.485084252807017,-0.9736527065570152,GF2V006,-801353.6610566778
17,6,2,Fe6V2,1,-8.264222295,-8.264222295,0.0,GF2V007,141005.26693540113
18,6,2,Fe6V2,1,-8.28910494625,-8.28910494625,0.0,GF2V008,121798.84608855148
20,6,2,Fe6V2,1,-8.47505434125,-8.47505434125,0.0,GF2V009,-21731.772924049696
24,6,2,Fe6V2,1,-8.26422612375,-8.26422612375,0.0,GF2V010,141002.31159985135
33,6,2,Fe6V2,1,-8.26422342375,-8.26422342375,0.0,GF2V011,141004.39567585103
34,6,2,Fe6V2,1,-8.47508839125,-8.47508839125,0.0,GF2V012,-21758.0554380497
36,6,2,Fe6V2,1,-8.47508600375,-8.47508600375,0.0,GF2V013,-21756.212574549416
40,6,2,Fe6V2,1,-8.28910799875,-8.28910799875,0.0,GF2V014,121796.48992485122
48,6,2,Fe6V2,0,-6.54925527375,-7.522907980307015,-0.9736527065570152,GF2V015,713210.960160622
65,6,2,Fe6V2,1,-8.28910744875,-8.28910744875,0.0,GF2V016,121796.9144588507
66,6,2,Fe6V2,1,-8.475057205,-8.475057205,0.0,GF2V017,-21733.983395399544
68,6,2,Fe6V2,1,-8.4750567775,-8.4750567775,0.0,GF2V018,-21733.653416699664
72,6,2,Fe6V2,1,-8.47508813875,-8.47508813875,0.0,GF2V019,-21757.860538348657
80,6,2,Fe6V2,0,-6.5492552725,-7.522907979057015,-0.9736527065570152,GF2V020,713210.9611254722
96,6,2,Fe6V2,1,-8.3119288675,-8.3119288675,0.0,GF2V021,104181.51775410036
129,6,2,Fe6V2,1,-8.475088215,-8.475088215,0.0,GF2V022,-21757.91939419873
130,6,2,Fe6V2,1,-8.47505703,-8.47505703,0.0,GF2V023,-21733.848316399337
132,6,2,Fe6V2,1,-8.28910702,-8.28910702,0.0,GF2V024,121797.24540240134
136,6,2,Fe6V2,1,-8.3486301075,-8.3486301075,0.0,GF2V025,75852.56462290091
144,6,2,Fe6V2,0,-6.62412007375,-7.597772780307015,-0.9736527065570152,GF2V026,655424.3183366219
160,6,2,Fe6V2,0,-6.54925528,-7.522907986557015,-0.9736527065570152,GF2V027,713210.9553363724
192,6,2,Fe6V2,0,-8.4624618775,-9.436114584057014,-0.9736527065570152,GF2V028,-763554.9531419273
7,5,3,Fe5V3,1,-8.45668461375,-8.45668461375,0.0,GF3V001,58867.726338650864
11,5,3,Fe5V3,0,-6.4916758375,-7.006824338538405,-0.5151485010384054,GF3V002,1177985.8755689762
13,5,3,Fe5V3,0,-6.49176491,-7.006913411038405,-0.5151485010384054,GF3V003,1177917.1222876762
14,5,3,Fe5V3,1,-8.45667782875,-8.45667782875,0.0,GF3V004,58872.96354445092
19,5,3,Fe5V3,0,-8.42591917875,-8.941067679788405,-0.5151485010384054,GF3V005,-315017.874675074
21,5,3,Fe5V3,0,-8.426229555,-8.941378056038406,-0.5151485010384054,GF3V006,-315257.4478949246
22,5,3,Fe5V3,1,-8.4317761925,-8.4317761925,0.0,GF3V007,78094.03853310097
25,5,3,Fe5V3,1,-8.43177588375,-8.43177588375,0.0,GF3V008,78094.27685105082
26,5,3,Fe5V3,0,-8.4269374125,-8.942085913538405,-0.5151485010384054,GF3V009,-315803.82894202333
28,5,3,Fe5V3,0,-8.42837332,-8.943521821038406,-0.5151485010384054,GF3V010,-316912.17722312425
35,5,3,Fe5V3,1,-8.43383938125,-8.43383938125,0.0,GF3V011,76501.50440075081
37,5,3,Fe5V3,1,-8.43384169125,-8.43384169125,0.0,GF3V012,76499.72135795
38,5,3,Fe5V3,1,-8.43177664375,-8.43177664375,0.0,GF3V013,78093.69022225027
41,5,3,Fe5V3,1,-8.43177831375,-8.43177831375,0.0,GF3V014,78092.40118265056
42,5,3,Fe5V3,1,-8.43384137125,-8.43384137125,0.0,GF3V015,76499.96835954986
44,5,3,Fe5V3,0,-8.42713069875,-8.942279199788405,-0.5151485010384054,GF3V016,-315953.022732674
49,5,3,Fe5V3,0,-8.42634495375,-8.941493454788406,-0.5151485010384054,GF3V017,-315346.52188207407
