config_index,config_name,n_fe,n_v,converged,energy_per_atom,sro,sublattice_diff,E_vegard,E_deviation
0,config_000_Fe8V0,8.0,0.0,0.0,-6.67449979875,0.0,0.0,-8.2748,1.6003002012500005
1,config_001_Fe7V1,7.0,1.0,0.0,-6.57593174625,1.0,-0.25,-8.360850000000001,1.7849182537500008
2,config_002_Fe7V1,7.0,1.0,0.0,-6.57589287375,1.0,-0.25,-8.360850000000001,1.784957126250001
3,config_003_Fe6V2,6.0,2.0,0.0,-8.4631206575,1.0,-0.5,-8.446900000000001,-0.016220657499998126
4,config_004_Fe7V1,7.0,1.0,0.0,-6.57588436125,1.0,-0.25,-8.360850000000001,1.784965638750001
5,config_005_Fe6V2,6.0,2.0,0.0,-6.5492552775,1.0,-0.5,-8.446900000000001,1.8976447225000008
6,config_006_Fe6V2,6.0,2.0,1.0,-8.523591745,1.0,-0.5,-8.446900000000001,-0.07669174499999798
7,config_007_Fe5V3,5.0,3.0,1.0,-8.45668461375,1.0,-0.75,-8.53295,0.07626538625000023
8,config_008_Fe7V1,7.0,1.0,0.0,-6.575882265,1.0,-0.25,-8.360850000000001,1.7849677350000013
9,config_009_Fe6V2,6.0,2.0,1.0,-8.52359192625,1.0,-0.5,-8.446900000000001,-0.07669192624999965
10,config_010_Fe6V2,6.0,2.0,0.0,-8.5114315425,1.0,-0.5,-8.446900000000001,-0.06453154249999926
11,config_011_Fe5V3,5.0,3.0,0.0,-6.4916758375,1.0,-0.75,-8.53295,2.0412741624999997
12,config_012_Fe6V2,6.0,2.0,0.0,-8.51143154625,1.0,-0.5,-8.446900000000001,-0.06453154624999868
13,config_013_Fe5V3,5.0,3.0,0.0,-6.49176491,1.0,-0.75,-8.53295,2.04118509
14,config_014_Fe5V3,5.0,3.0,1.0,-8.45667782875,1.0,-0.75,-8.53295,0.0762721712500003
15,config_015_Fe4V4,4.0,4.0,0.0,-6.4029730225,1.0,-1.0,-8.619,2.2160269774999994
16,config_016_Fe7V1,7.0,1.0,0.0,-6.58614820375,-1.0,0.25,-8.360850000000001,1.7747017962500014
17,config_017_Fe6V2,6.0,2.0,1.0,-8.264222295,0.0,0.0,-8.446900000000001,0.18267770500000147
18,config_018_Fe6V2,6.0,2.0,1.0,-8.28910494625,0.0,0.0,-8.446900000000001,0.1577950537500019
19,config_019_Fe5V3,5.0,3.0,0.0,-8.42591917875,0.33333333333333337,-0.25,-8.53295,0.10703082124999952
20,config_020_Fe6V2,6.0,2.0,1.0,-8.47505434125,0.0,0.0,-8.446900000000001,-0.028154341249999604
21,config_021_Fe5V3,5.0,3.0,0.0,-8.426229555,0.33333333333333337,-0.25,-8.53295,0.10672044499999878
22,config_022_Fe5V3,5.0,3.0,1.0,-8.4317761925,0.33333333333333337,-0.25,-8.53295,0.10117380750000038
23,config_023_Fe4V4,4.0,4.0,1.0,-8.6073922425,0.5,-0.5,-8.619,0.011607757500000204
24,config_024_Fe6V2,6.0,2.0,1.0,-8.26422612375,0.0,0.0,-8.446900000000001,0.18267387625000175
25,config_025_Fe5V3,5.0,3.0,1.0,-8.43177588375,0.33333333333333337,-0.25,-8.53295,0.10117411625000017
26,config_026_Fe5V3,5.0,3.0,0.0,-8.4269374125,0.33333333333333337,-0.25,-8.53295,0.10601258750000042
27,config_027_Fe4V4,4.0,4.0,1.0,-8.60738445,0.5,-0.5,-8.619,0.011615550000000141
28,config_028_Fe5V3,5.0,3.0,0.0,-8.42837332,0.33333333333333337,-0.25,-8.53295,0.1045766799999992
29,config_029_Fe4V4,4.0,4.0,1.0,-8.6076580475,0.5,-0.5,-8.619,0.011341952500000474
30,config_030_Fe4V4,4.0,4.0,1.0,-8.60737323375,0.5,-0.5,-8.619,0.011626766250000031
31,config_031_Fe3V5,3.0,5.0,1.0,-8.79875322,1.0,-0.75,-8.70505,-0.09370322000000009
32,config_032_Fe7V1,7.0,1.0,0.0,-6.5758801025,-1.0,0.25,-8.360850000000001,1.7849698975000008
33,config_033_Fe6V2,6.0,2.0,1.0,-8.26422342375,0.0,0.0,-8.446900000000001,0.18267657625000133
34,config_034_Fe6V2,6.0,2.0,1.0,-8.47508839125,0.0,0.0,-8.446900000000001,-0.02818839124999961
35,config_035_Fe5V3,5.0,3.0,1.0,-8.43383938125,0.33333333333333337,-0.25,-8.53295,0.09911061875000016
36,config_036_Fe6V2,6.0,2.0,1.0,-8.47508600375,0.0,0.0,-8.446900000000001,-0.028186003749999244
37,config_037_Fe5V3,5.0,3.0,1.0,-8.43384169125,0.33333333333333337,-0.25,-8.53295,0.0991083087499991
38,config_038_Fe5V3,5.0,3.0,1.0,-8.43177664375,0.33333333333333337,-0.25,-8.53295,0.10117335624999946
39,config_039_Fe4V4,4.0,4.0,1.0,-8.60739313125,0.5,-0.5,-8.619,0.011606868750000388
40,config_040_Fe6V2,6.0,2.0,1.0,-8.28910799875,0.0,0.0,-8.446900000000001,0.1577920012500016
41,config_041_Fe5V3,5.0,3.0,1.0,-8.43177831375,0.33333333333333337,-0.25,-8.53295,0.10117168624999984
42,config_042_Fe5V3,5.0,3.0,1.0,-8.43384137125,0.33333333333333337,-0.25,-8.53295,0.09910862874999893
43,config_043_Fe4V4,4.0,4.0,1.0,-8.6073851725,0.5,-0.5,-8.619,0.011614827499998981
44,config_044_Fe5V3,5.0,3.0,0.0,-8.42713069875,0.33333333333333337,-0.25,-8.53295,0.1058193012499995
45,config_045_Fe4V4,4.0,4.0,1.0,-8.60738452375,0.5,-0.5,-8.619,0.011615476250000256
46,config_046_Fe4V4,4.0,4.0,1.0,-8.61361553,0.5,-0.5,-8.619,0.005384469999999197
47,config_047_Fe3V5,3.0,5.0,0.0,-6.2939880925,1.0,-0.75,-8.70505,2.4110619074999997
48,config_048_Fe6V2,6.0,2.0,0.0,-6.54925527375,-1.0,0.5,-8.446900000000001,1.8976447262500011
49,config_049_Fe5V3,5.0,3.0,0.0,-8.42634495375,-0.33333333333333326,0.25,-8.53295,0.10660504624999945
50,config_050_Fe5V3,5.0,3.0,0.0,-8.42461324,-0.33333333333333326,0.25,-8.53295,0.10833676000000025
51,config_051_Fe4V4,4.0,4.0,0.0,-8.6114867025,0.0,0.0,-8.619,0.007513297499999183
52,config_052_Fe5V3,5.0,3.0,0.0,-6.44725611875,-0.33333333333333326,0.25,-8.53295,2.085693881249999
53,config_053_Fe4V4,4.0,4.0,1.0,-8.5472129,0.0,0.0,-8.619,0.07178709999999988
54,config_054_Fe4V4,4.0,4.0,1.0,-8.56566622,0.0,0.0,-8.619,0.05333377999999911
55,config_055_Fe3V5,3.0,5.0,0.0,-8.73486236875,0.19999999999999996,-0.25,-8.70505,-0.029812368750000928
56,config_056_Fe5V3,5.0,3.0,1.0,-8.43383795875,-0.33333333333333326,0.25,-8.53295,0.09911204124999884
57,config_057_Fe4V4,4.0,4.0,1.0,-8.56566677875,0.0,0.0,-8.619,0.05333322124999995
58,config_058_Fe4V4,4.0,4.0,1.0,-8.5472127975,0.0,0.0,-8.619,0.07178720249999948
59,config_059_Fe3V5,3.0,5.0,1.0,-8.73486939875,0.19999999999999996,-0.25,-8.70505,-0.029819398749999948
60,config_060_Fe4V4,4.0,4.0,1.0,-8.61157583125,0.0,0.0,-8.619,0.007424168749999183
