config_index,config_name,composition,n_fe,n_v,converged,total_energy,energy_per_atom,n_atoms,n_iterations,total_magnetization,magmom_per_atom,x_V,dH_f_eV,dH_f_Jmol,energy_per_atom_corrected,correction_applied,dH_f_eV_corrected,dH_f_Jmol_corrected,sublattice_order
0,config_000_Fe8V0,Fe8V0,8,0,True,-66.08789364,-8.260986705,8,1,17.4584265,,0.0,0.0,0.0,-8.260986705,0.0,0.0,0.0,0.0
1,config_001_Fe7V1,Fe7V1,7,1,True,-67.35087234,-8.4188590425,8,16,14.2349443,,0.125,-0.5722927574999908,-55217.666707386605,-8.4188590425,0.0,-0.5722927574999908,-55217.666707386605,0.25
2,config_002_Fe7V1,Fe7V1,7,1,True,-67.46199336,-8.43274917,8,14,14.221235,,0.125,-0.6834137774999895,-65939.17832208649,-8.43274917,0.0,-0.6834137774999895,-65939.17832208649,0.25
3,config_003_Fe6V2,Fe6V2,6,2,True,-68.35297029,-8.54412128625,8,13,10.3022597,,0.25,-0.8837047649999974,-85264.25425102474,-8.54412128625,0.0,-0.8837047649999974,-85264.25425102474,0.5
4,config_004_Fe7V1,Fe7V1,7,1,True,-67.47113032,-8.43389129,8,9,14.2148147,,0.125,-0.692550737499996,-66820.7579076871,-8.43389129,0.0,-0.692550737499996,-66820.7579076871,0.25
5,config_005_Fe6V2,Fe6V2,6,2,True,-68.34683322,-8.5433541525,8,22,10.3047578,,0.25,-0.8775676949999891,-84672.11905207395,-8.5433541525,0.0,-0.8775676949999891,-84672.11905207395,0.5
6,config_006_Fe6V2,Fe6V2,6,2,True,-68.18873541,-8.52359192625,8,15,9.6851872,,0.25,-0.7194698850000023,-69418.05185422522,-8.52359192625,0.0,-0.7194698850000023,-69418.05185422522,0.5
7,config_007_Fe5V3,Fe5V3,5,3,True,-69.10221599,-8.63777699875,8,7,6.0590511,,0.375,-0.9422645225000004,-90914.39245341254,-8.63777699875,0.0,-0.9422645225000004,-90914.39245341254,0.75
8,config_008_Fe7V1,Fe7V1,7,1,True,-67.35092256,-8.41886532,8,14,14.2315675,,0.125,-0.5723429774999964,-55222.51218408715,-8.41886532,0.0,-0.5723429774999964,-55222.51218408715,0.25
9,config_009_Fe6V2,Fe6V2,6,2,True,-68.18873563,-8.52359195375,8,16,9.6852168,,0.25,-0.7194701049999921,-69418.07308092424,-8.52359195375,0.0,-0.7194701049999921,-69418.07308092424,0.5
10,config_010_Fe6V2,Fe6V2,6,2,True,-68.37803859,-8.54725482375,8,20,10.2900976,,0.25,-0.9087730649999983,-87682.96917652484,-8.54725482375,0.0,-0.9087730649999983,-87682.96917652484,0.5
11,config_011_Fe5V3,Fe5V3,5,3,True,-69.19780754,-8.6497259425,8,25,6.064656,,0.375,-1.037856072499995,-100137.54315516201,-8.6497259425,0.0,-1.037856072499995,-100137.54315516201,0.75
12,config_012_Fe6V2,Fe6V2,6,2,False,-68.09150752,-8.51143844,8,37,10.2294887,,0.25,-0.6222419949999889,-60037.018887573926,-8.530506405648147,-0.019067965648147833,-0.7747857201851716,-74755.20021206628,0.5
13,config_013_Fe5V3,Fe5V3,5,3,True,-69.19780664,-8.64972583,8,16,6.0647825,,0.375,-1.0378551724999916,-100137.45631866169,-8.64972583,0.0,-1.0378551724999916,-100137.45631866169,0.75
14,config_014_Fe5V3,Fe5V3,5,3,True,-68.84921044,-8.606151305,8,37,6.0447671,,0.375,-0.6892589724999887,-66503.15196166141,-8.606151305,0.0,-0.6892589724999887,-66503.15196166141,0.75
