config_index,n_fe,n_v,composition,converged,energy_per_atom_original,energy_per_atom_corrected,correction_applied,gf_function,formation_energy_Jmol
0,8,0,Fe8V0,True,-8.260986705,-8.260986705,0.0,GF0V001,0.0
1,7,1,Fe7V1,True,-8.4188590425,-8.4188590425,0.0,GF1V001,-55217.666707386605
2,7,1,Fe7V1,True,-8.43274917,-8.43274917,0.0,GF1V002,-65939.17832208649
3,6,2,Fe6V2,True,-8.54412128625,-8.54412128625,0.0,GF2V001,-85264.25425102474
4,7,1,Fe7V1,True,-8.43389129,-8.43389129,0.0,GF1V003,-66820.7579076871
5,6,2,Fe6V2,True,-8.5433541525,-8.5433541525,0.0,GF2V002,-84672.11905207395
6,6,2,Fe6V2,True,-8.52359192625,-8.52359192625,0.0,GF2V003,-69418.05185422522
7,5,3,Fe5V3,True,-8.63777699875,-8.63777699875,0.0,GF3V001,-90914.39245341254
8,7,1,Fe7V1,True,-8.41886532,-8.41886532,0.0,GF1V004,-55222.51218408715
9,6,2,Fe6V2,True,-8.52359195375,-8.52359195375,0.0,GF2V004,-69418.07308092424
10,6,2,Fe6V2,True,-8.54725482375,-8.54725482375,0.0,GF2V005,-87682.96917652484
11,5,3,Fe5V3,True,-8.6497259425,-8.6497259425,0.0,GF3V002,-100137.54315516201
12,6,2,Fe6V2,False,-8.51143844,-8.530506405648147,-0.0190679656481478,GF2V006,-74755.20021206628
13,5,3,Fe5V3,True,-8.64972583,-8.64972583,0.0,GF3V003,-100137.45631866169
14,5,3,Fe5V3,True,-8.606151305,-8.606151305,0.0,GF3V004,-66503.15196166141
15,4,4,Fe4V4,True,-8.73311134375,-8.73311134375,0.0,GF4V001,-97860.23350989964
16,7,1,Fe7V1,True,-8.43274917,-8.43274917,0.0,GF1V005,-65939.17832208649
17,6,2,Fe6V2,True,-8.51883556625,-8.51883556625,0.0,GF2V007,-65746.71269742522
18,6,2,Fe6V2,True,-8.51927930875,-8.51927930875,0.0,GF2V008,-66089.22865832514
19,5,3,Fe5V3,True,-8.62204768,-8.62204768,0.0,GF3V005,-78773.24589666181
20,6,2,Fe6V2,True,-8.5192793525,-8.5192793525,0.0,GF2V009,-66089.2624280745
21,5,3,Fe5V3,True,-8.6085474625,-8.6085474625,0.0,GF3V006,-68352.6980127626
22,5,3,Fe5V3,True,-8.62676976,-8.62676976,0.0,GF3V007,-82418.1250070622
23,4,4,Fe4V4,True,-8.72134474375,-8.72134474375,0.0,GF4V002,-88777.83030189993
24,6,2,Fe6V2,True,-8.51927949,-8.51927949,0.0,GF2V010,-66089.36856157506
25,5,3,Fe5V3,True,-8.62676976,-8.62676976,0.0,GF3V008,-82418.1250070622
26,5,3,Fe5V3,True,-8.6220476775,-8.6220476775,0.0,GF3V009,-78773.24396696164
27,4,4,Fe4V4,True,-8.73372394375,-8.73372394375,0.0,GF4V003,-98333.08719789977
