Fe_exp,Ni_exp,Si_exp,Mn_exp,Mo_exp,Cr_exp,C_exp,P_exp,Fe_calc,Ni_calc,Si_calc,Mn_calc,Mo_calc,Cr_calc,C_calc,P_calc,Fe_w,Ni_w,Si_w,Mn_w,Mo_w,Cr_w
0.244,0.27,0.176,0.097,0,0.213,0,0,0.244,0.27,0.176,0.097,0,0.213,0,0,3.66,27,17.6,9.7,0,21.3
0.225,0.292,0.275,0.094,0,0.115,0,0,0.225,0.292,0.275,0.094,0,0.115,0,0,4.88,29.2,27.5,9.4,0,11.5
0.365606071,0.274101592,0.098959049,0.097288495,0.007799426,0.156245367,0,0,0.365606071,0.274101592,0.098959049,0.097288495,0.007799426,0.156245367,0,0,5.48,27.4101592,9.895904927,9.728849508,0.779942618,15.62453669
0.284069878,0.300413933,0.155563164,0.126864933,0.007047795,0.126040296,0,0,0.284069878,0.300413933,0.155563164,0.126864933,0.007047795,0.126040296,0,0,4.26,30.04139331,15.55631639,12.6864933,0.704779526,12.60402964
0.097,0.466,0.186,0.164,0.026,0.061,0,0,0.097,0.466,0.186,0.164,0.026,0.061,0,0,1.5,46.6,18.6,16.4,2.6,6.1
0.330472445,0.289062324,0.119302203,0.09293696,0.012750235,0.155475833,0,0,0.330472445,0.289062324,0.119302203,0.09293696,0.012750235,0.155475833,0,0,4.96,28.90623235,11.93022032,9.293695999,1.27502352,15.54758329
0.261548348,0.224406417,0.158755401,0.071830567,0.00747859,0.275980678,0,0,0.261548348,0.224406417,0.158755401,0.071830567,0.00747859,0.275980678,0,0,3.92,22.44064167,15.87554007,7.183056722,0.747859022,27.59806777
0.118,0.258,0.13,0.05,0.06,0.385,0.0001,0.0007,0.118,0.258,0.13,0.05,0.06,0.385,0.0001,0.0007,5.31,25.8,13,5,6,38.5
0.118,0.262,0.128,0.049,0.061,0.382,0.0001,0.0005,0.118,0.262,0.128,0.049,0.061,0.382,0.0001,0.0005,5.31,26.2,12.8,4.9,6.1,38.2
0.129,0.271,0.137,0.049,0.064,0.349,0.0001,0.0008,0.129,0.271,0.137,0.049,0.064,0.349,0.0001,0.0008,5.16,27.1,13.7,4.9,6.4,34.9
0.134,0.275,0.139,0.049,0.064,0.339,0.0001,0.0008,0.134,0.275,0.139,0.049,0.064,0.339,0.0001,0.0008,5.36,27.5,13.9,4.9,6.4,33.9
0.124,0.268,0.126,0.049,0.061,0.37,0.0001,0.0009,0.124,0.268,0.126,0.049,0.061,0.37,0.0001,0.0009,5.58,26.8,12.6,4.9,6.1,37
0.123,0.267,0.132,0.053,0.059,0.366,0.0001,0.0007,0.123,0.267,0.132,0.053,0.059,0.366,0.0001,0.0007,5.535,26.7,13.2,5.3,5.9,36.6
0.141,0.274,0.137,0.052,0.061,0.335,0.0001,0.0007,0.141,0.274,0.137,0.052,0.061,0.335,0.0001,0.0007,5.64,27.4,13.7,5.2,6.1,33.5
0.13,0.297,0.148,0.053,0.071,0.299,0.0002,0.001,0.13,0.297,0.148,0.053,0.071,0.299,0.0002,0.001,5.2,29.7,14.8,5.3,7.1,29.9
0.126,0.314,0.151,0.056,0.073,0.278,0.0003,0.0008,0.126,0.314,0.151,0.056,0.073,0.278,0.0003,0.0008,4.41,31.4,15.1,5.6,7.3,27.8
0.141,0.279,0.134,0.056,0.063,0.327,0.0001,0.0008,0.141,0.279,0.134,0.056,0.063,0.327,0.0001,0.0008,5.64,27.9,13.4,5.6,6.3,32.7
0.137,0.269,0.135,0.053,0.064,0.34,0.0001,0.001,0.137,0.269,0.135,0.053,0.064,0.34,0.0001,0.001,5.48,26.9,13.5,5.3,6.4,34
0.138,0.298,0.145,0.059,0.073,0.284,0.001,0.0011,0.138,0.298,0.145,0.059,0.073,0.284,0.001,0.0011,4.83,29.8,14.5,5.9,7.3,28.4
0.136,0.271,0.14,0.055,0.074,0.323,0.0003,0.0011,0.136,0.271,0.14,0.055,0.074,0.323,0.0003,0.0011,4.76,27.1,14,5.5,7.4,32.3
0.106,0.31,0.163,0.056,0.1,0.26,0.003,0.0014,0.106,0.31,0.163,0.056,0.1,0.26,0.003,0.0014,3.18,31,16.3,5.6,10,26
0.122,0.301,0.153,0.058,0.086,0.277,0.0014,0.0015,0.122,0.301,0.153,0.058,0.086,0.277,0.0014,0.0015,3.66,30.1,15.3,5.8,8.6,27.7
0.4188,0.2769,0.0517,0.0976,0.0004,0.1534,0.0002,0.0001,0.4188,0.2769,0.0517,0.0976,0.0004,0.1534,0.0002,0.0001,23.034,27.69,5.17,9.76,0.04,15.34
0.4027,0.2876,0.0603,0.1056,0.0005,0.142,0.0002,0.0003,0.4027,0.2876,0.0603,0.1056,0.0005,0.142,0.0002,0.0003,20.135,28.76,6.03,10.56,0.05,14.2
0.3412,0.3073,0.0825,0.1159,0.0006,0.1504,0.0002,0.0008,0.3412,0.3073,0.0825,0.1159,0.0006,0.1504,0.0002,0.0008,15.354,30.73,8.25,11.59,0.06,15.04
0.4027,0.2869,0.0548,0.1043,0.0006,0.1492,0.0001,0.0002,0.4027,0.2869,0.0548,0.1043,0.0006,0.1492,0.0001,0.0002,20.135,28.69,5.48,10.43,0.06,14.92
0.3709,0.3146,0.0648,0.1237,0.0005,0.1234,0.0002,0.0004,0.3709,0.3146,0.0648,0.1237,0.0005,0.1234,0.0002,0.0004,12.1905,31.46,6.48,12.37,0.05,12.34
0.309,0.3244,0.0966,0.1263,0.0008,0.1401,0.0001,0.0012,0.309,0.3244,0.0966,0.1263,0.0008,0.1401,0.0001,0.0012,12.36,32.44,9.66,12.63,0.08,14.01
0.4123,0.3052,0.0562,0.1132,0.0002,0.1117,0.0002,0.0001,0.4123,0.3052,0.0562,0.1132,0.0002,0.1117,0.0002,0.0001,18.5535,30.52,5.62,11.32,0.02,11.17
0.368,0.3187,0.0627,0.1275,0.0002,0.1401,0.0003,0.0004,0.368,0.3187,0.0627,0.1275,0.0002,0.1401,0.0003,0.0004,14.72,31.87,6.27,12.75,0.02,14.01
0.297,0.3392,0.1001,0.1284,0.0002,0.1322,0.0002,0.0019,0.297,0.3392,0.1001,0.1284,0.0002,0.1322,0.0002,0.0019,10.395,33.92,10.01,12.84,0.02,13.22
0.4123,0.2433,0.176,0.012,0.0127,0.1367,0,0,0.4123,0.2433,0.176,0.012,0.0127,0.1367,0,0,17.86633333,24.33,17.6,1.2,1.27,13.67
0.3165,0.1962,0.1721,0.0212,0.0644,0.2212,0,0,0.3165,0.1962,0.1721,0.0212,0.0644,0.2212,0,0,12.66,19.62,17.21,2.12,6.44,22.12
0.251,0.3013,0.1913,0.0468,0.061,0.1345,0,0,0.251,0.3013,0.1913,0.0468,0.061,0.1345,0,0,7.53,30.13,19.13,4.68,6.1,13.45
0.461,0.2002,0.1711,0.0062,0.0162,0.1419,0,0,0.461,0.2002,0.1711,0.0062,0.0162,0.1419,0,0,18.44,20.02,17.11,0.62,1.62,14.19
0.2748,0.3014,0.1894,0.0422,0.0466,0.1322,0,0,0.2748,0.3014,0.1894,0.0422,0.0466,0.1322,0,0,8.244,30.14,18.94,4.22,4.66,13.22
0.3057,0.2309,0.2127,0.0186,0.0487,0.1739,0,0,0.3057,0.2309,0.2127,0.0186,0.0487,0.1739,0,0,10.6995,23.09,21.27,1.86,4.87,17.39
0.2439,0.2949,0.2098,0.0473,0.0527,0.1387,0,0,0.2439,0.2949,0.2098,0.0473,0.0527,0.1387,0,0,7.317,29.49,20.98,4.73,5.27,13.87
0.5045,0.1761,0.1592,0.0036,0.0095,0.1445,0,0,0.5045,0.1761,0.1592,0.0036,0.0095,0.1445,0,0,17.6575,17.61,15.92,0.36,0.95,14.45
0.3471,0.2727,0.1812,0.0246,0.0315,0.1334,0,0,0.3471,0.2727,0.1812,0.0246,0.0315,0.1334,0,0,6.942,27.27,18.12,2.46,3.15,13.34
0.5039,0.2515,0.0615,0.0594,0.001,0.1143,0,0,0.5039,0.2515,0.0615,0.0594,0.001,0.1143,0,0,7.5585,25.15,6.15,5.94,0.1,11.43
0.4669,0.2115,0.0516,0.0592,0.0253,0.1856,0,0,0.4669,0.2115,0.0516,0.0592,0.0253,0.1856,0,0,11.6725,21.15,5.16,5.92,2.53,18.56
0.151,0.335,0.21,0.043,0.115,0.123,0.013,0,0.151,0.335,0.21,0.043,0.115,0.123,0.013,0,6.795,33.5,21,4.3,11.5,12.3
0.102,0.286,0.327,0.061,0.143,0.061,0.02,0,0.102,0.286,0.327,0.061,0.143,0.061,0.02,0,4.59,28.6,32.7,6.1,14.3,6.1
0.103,0.347,0.219,0.043,0.145,0.109,0.018,0,0.103,0.347,0.219,0.043,0.145,0.109,0.018,0,4.635,34.7,21.9,4.3,14.5,10.9
0,0.350649351,0.156843157,0.235764236,0,0,0,0,0,0.350649351,0.156843157,0.235764236,0,0,0,0,0,35.06493506,15.68431568,23.57642358,0,0
0,0.378,0.156530409,0.246,0,0,0,0,0,0.378,0.156530409,0.246,0,0,0,0,0,37.8,15.65304088,24.6,0,0
0,0.468,0.272,0.255,0,0,0,0,0,0.468,0.272,0.255,0,0,0,0,0,46.8,27.2,25.5,0,0
0,0.398,0.203,0.251,0,0,0,0,0,0.398,0.203,0.251,0,0,0,0,0,39.8,20.3,25.1,0,0
0,0.342,0.142,0.274,0,0,0,0,0,0.342,0.142,0.274,0,0,0,0,0,34.2,14.2,27.4,0,0
0,0.589,0.154845155,0.255744256,0,0,0,0,0,0.589,0.154845155,0.255744256,0,0,0,0,0,58.9,15.48451548,25.57442557,0,0
0,0.374,0.159,0.319,0,0,0,0,0,0.374,0.159,0.319,0,0,0,0,0,37.4,15.9,31.9,0,0
0,0.469,0.203,0.225,0,0,0,0,0,0.469,0.203,0.225,0,0,0,0,0,46.9,20.3,22.5,0,0
0,0.461,0.225,0.312,0,0,0,0,0,0.461,0.225,0.312,0,0,0,0,0,46.1,22.5,31.2,0,0
0,0.407,0.186,0.356,0,0,0,0,0,0.407,0.186,0.356,0,0,0,0,0,40.7,18.6,35.6,0,0
0,0.397,0.189,0.319,0,0,0,0,0,0.397,0.189,0.319,0,0,0,0,0,39.7,18.9,31.9,0,0
0,0.525,0.119,0.355,0,0,0,0,0,0.525,0.119,0.355,0,0,0,0,0,52.5,11.9,35.5,0,0
0.543,0.166,0.109,0.02,0.002,0.155,0,0,0.543,0.166,0.109,0.02,0.002,0.155,0,0,19.91,16.6,10.9,2,0.2,15.5
0.452,0.265,0.125,0.044,0.002,0.106,0,0,0.452,0.265,0.125,0.044,0.002,0.106,0,0,13.56,26.5,12.5,4.4,0.2,10.6
0.405,0.269,0.148,0.065,0.0014,0.105,0,0,0.405,0.269,0.148,0.065,0.0014,0.105,0,0,9.45,26.9,14.8,6.5,0.14,10.5
0.393,0.271,0.158,0.057,0.0017,0.112,0,0,0.393,0.271,0.158,0.057,0.0017,0.112,0,0,6.55,27.1,15.8,5.7,0.17,11.2
0.404851024,0.11351541,0.101341032,0.042831633,0.0360357,0.301425201,0,0,0.404851024,0.11351541,0.101341032,0.042831633,0.0360357,0.301425201,0,0,14.16978582,11.351541,10.1341032,4.28316334,3.603569994,30.14252012
0.158,0.264,0.14,0.027,0.157,0.254,0,0,0.158,0.264,0.14,0.027,0.157,0.254,0,0,6.32,26.4,14,2.7,15.7,25.4
0.348039258,0.281581958,0.109130626,0.095112728,0.010274831,0.1558606,0,0,0.348039258,0.281581958,0.109130626,0.095112728,0.010274831,0.1558606,0,0,5.22,28.15819578,10.91306262,9.511272754,1.027483069,15.58605999
0.114,0.3055,0.158,0.057,0.093,0.2685,0.0022,0.00145,0.114,0.3055,0.158,0.057,0.093,0.2685,0.0022,0.00145,2.85,30.55,15.8,5.7,9.3,26.85
0.1432,0.454,0.1922,0.1184,0.0193,0.0568,0,0,0.1432,0.454,0.1922,0.1184,0.0193,0.0568,0,0,2.86,45.4,19.22,11.84,1.93,5.68
0.0548,0.5145,0.2144,0.1711,0.0084,0.0243,0,0,0.0548,0.5145,0.2144,0.1711,0.0084,0.0243,0,0,1.5,51.45,21.44,17.11,0.84,2.43
