config_index,composition,n_v,x_V,sro_alpha,eta,y_V_A,y_V_B,dH_f_Jmol_corrected,dHf_deviation
0,Fe8V0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Fe7V1,1,0.125,-0.1428571428571428,0.25,0.0,0.25,-55217.666707386605,-20206.661082878745
2,Fe7V1,1,0.125,-0.1428571428571428,0.25,0.0,0.25,-65939.17832208649,-30928.17269757863
3,Fe6V2,2,0.25,-0.33333333333333326,0.5,0.0,0.5,-85264.25425102474,-23771.509688823586
4,Fe7V1,1,0.125,-0.1428571428571428,0.25,0.0,0.25,-66820.7579076871,-31809.752283179245
5,Fe6V2,2,0.25,-0.33333333333333326,0.5,0.0,0.5,-84672.11905207395,-23179.37448987279
6,Fe6V2,2,0.25,-0.33333333333333326,0.5,0.0,0.5,-69418.05185422522,-7925.307292024067
7,Fe5V3,3,0.375,-0.6000000000000001,0.75,0.0,0.75,-90914.39245341254,-12206.114528997903
8,Fe7V1,1,0.125,-0.1428571428571428,0.25,0.0,0.25,-55222.51218408715,-20211.50655957929
9,Fe6V2,2,0.25,-0.33333333333333326,0.5,0.0,0.5,-69418.07308092424,-7925.3285187230795
10,Fe6V2,2,0.25,-0.33333333333333326,0.5,0.0,0.5,-87682.96917652484,-26190.224614323684
11,Fe5V3,3,0.375,-0.6000000000000001,0.75,0.0,0.75,-100137.543155162,-21429.26523074736
12,Fe6V2,2,0.25,-0.33333333333333326,0.5,0.0,0.5,-74755.20021206628,-13262.455649865122
13,Fe5V3,3,0.375,-0.6000000000000001,0.75,0.0,0.75,-100137.45631866169,-21429.17839424705
14,Fe5V3,3,0.375,-0.6000000000000001,0.75,0.0,0.75,-66503.15196166141,12205.125962753227
15,Fe4V4,4,0.5,-1.0,1.0,0.0,1.0,-97860.23350989964,-11939.566687416635
16,Fe7V1,1,0.125,-0.1428571428571428,0.25,0.25,0.0,-65939.17832208649,-30928.17269757863
17,Fe6V2,2,0.25,0.0,0.0,0.25,0.25,-65746.71269742522,-4253.968135224059
18,Fe6V2,2,0.25,0.0,0.0,0.25,0.25,-66089.22865832514,-4596.484096123982
19,Fe5V3,3,0.375,-0.06666666666666665,0.25,0.25,0.5,-78773.24589666181,-64.96797224717739
20,Fe6V2,2,0.25,0.0,0.0,0.25,0.25,-66089.2624280745,-4596.517865873335
21,Fe5V3,3,0.375,-0.06666666666666665,0.25,0.25,0.5,-68352.6980127626,10355.579911652036
22,Fe5V3,3,0.375,-0.06666666666666665,0.25,0.25,0.5,-82418.1250070622,-3709.8470826475677
23,Fe4V4,4,0.5,-0.25,0.5,0.25,0.75,-88777.83030189993,-2857.163479416922
24,Fe6V2,2,0.25,0.0,0.0,0.25,0.25,-66089.36856157506,-4596.6239993739
25,Fe5V3,3,0.375,-0.06666666666666665,0.25,0.25,0.5,-82418.1250070622,-3709.8470826475677
26,Fe5V3,3,0.375,-0.06666666666666665,0.25,0.25,0.5,-78773.24396696164,-64.96604254700651
27,Fe4V4,4,0.5,-0.25,0.5,0.25,0.75,-98333.08719789976,-12412.420375416754
28,Fe5V3,3,0.375,-0.06666666666666665,0.25,0.25,0.5,-78773.24300211226,-64.96507769761956
29,Fe4V4,4,0.5,-0.25,0.5,0.25,0.75,-98332.88843879978,-12412.221616316776
30,Fe4V4,4,0.5,-0.25,0.5,0.25,0.75,-98332.8768606002,-12412.210038117191
31,Fe3V5,5,0.625,-0.6000000000000001,0.75,0.25,1.0,-81887.04020943717,505.93215830383997
32,Fe7V1,1,0.125,-0.1428571428571428,0.25,0.25,0.0,-65939.17832208649,-30928.17269757863
33,Fe6V2,2,0.25,0.0,0.0,0.25,0.25,-66089.31260027454,-4596.568038073383
34,Fe6V2,2,0.25,0.0,0.0,0.25,0.25,-31975.853119924446,29516.891442276712
35,Fe5V3,3,0.375,-0.06666666666666665,0.25,0.25,0.5,-78773.23914271193,-64.96121829729236
36,Fe6V2,2,0.25,0.0,0.0,0.25,0.25,-66089.48916782475,-4596.744605623593
37,Fe5V3,3,0.375,-0.06666666666666665,0.25,0.25,0.5,-78773.24589666181,-64.96797224717739
38,Fe5V3,3,0.375,-0.06666666666666665,0.25,0.25,0.5,-82418.12114766189,-3709.843223247255
39,Fe4V4,4,0.5,-0.25,0.5,0.25,0.75,-98332.9453649497,-12412.278542466694
40,Fe6V2,2,0.25,0.0,0.0,0.25,0.25,-66089.48434357504,-4596.739781373879
41,Fe5V3,3,0.375,-0.06666666666666665,0.25,0.25,0.5,-82418.11921796172,-3709.841293547084
42,Fe5V3,3,0.375,-0.06666666666666665,0.25,0.25,0.5,-78771.90089576159,-63.62297134695109
43,Fe4V4,4,0.5,-0.25,0.5,0.25,0.75,-98332.29505604936,-12411.628233566356
44,Fe5V3,3,0.375,-0.06666666666666665,0.25,0.25,0.5,-78773.24300211226,-64.96507769761956
45,Fe4V4,4,0.5,-0.25,0.5,0.25,0.75,-98332.97334559997,-12412.30652311696
