Alloy,No,S_Phase,Phase,a (Å),delta,Tm (K),Hmix (kJ/mol),Elec_nega,D_elec_nega,VEC,d_VEC,BulkModulus (GPa)
Ag2Al,2,IM,IM,1.544,0.051292719878817,1134.44333333333,-3.55555555555556,1.82333333333333,0.15084944665313,8.33333333333333,3.77123616632825,92.0
Ag5Cd8,2,IM,IM,1.58030769230769,0.00985133227466788,840.646923076923,-1.89349112426036,1.78230769230769,0.116761021298525,11.6153846153846,0.48650425541052,64.3076923076923
Ag2Ga3,2,IM,IM,1.4752,0.0690745480611309,675.718,-4.8,1.858,0.0587877538267962,6.2,3.91918358845309,40.0
Ag3Ga,2,IM,IM,1.548,0.0581825852671717,1001.925,-3.75,1.9,0.0519615242270663,9.0,3.46410161513775,75.0
AgMg3,2,IM,IM,1.60075,0.000270506138929942,1000.9825,-7.5,1.465,0.268467875173176,4.25,3.89711431702997,58.75
AgPt3,2,IM,IM,1.44025,0.0640386776622411,1839.7825,-0.75,2.1925,0.151554445662277,10.25,0.433012701892219,197.5
Ag3Sb,2,IM,IM,1.5325,0.0762893504149424,1152.1425,-3.0,1.96,0.0519615242270663,9.5,2.59807621135332,85.5
Ag7Sb,2,IM,IM,1.56625,0.0570114009566991,1193.53625,-1.75,1.945,0.0396862696659688,10.25,1.98431348329844,92.75
Ag3Sn,2,IM,IM,1.605,0.00539579690831426,1052.4675,-2.25,1.9375,0.0129903810567666,9.25,3.03108891324554,89.5
Ag4Sn,2,IM,IM,1.604,0.00498753117206983,1088.96,-1.92,1.936,0.012,9.6,2.8,91.6
Ag5Sn,2,IM,IM,1.60333333333333,0.00464878997401204,1113.28833333333,-1.66666666666667,1.935,0.011180339887499,9.83333333333333,2.60874597374975,93.0
AgTi3,2,IM,IM,1.4965,0.0399303393659381,1764.4825,-1.5,1.6375,0.168874953737966,5.75,3.03108891324554,107.5
AgZn3,2,IM,IM,1.44625,0.0613777727833397,828.2425,-3.0,1.72,0.121243556529821,11.75,0.433012701892219,77.5
AgZr,2,IM,IM,1.6015,0.000936621916952762,1681.465,-20.0,1.63,0.3,7.5,3.5,50.0
AlB12,2,IM,IM,0.894769230769231,0.173324203921095,2240.11307692308,0.0,2.00692307692308,0.114581822654556,3.0,0.0,212.615384615385
AlB2,2,IM,IM,1.044,0.262794474234081,1877.15666666667,0.0,1.89666666666667,0.202703943940144,3.0,0.0,174.666666666667
Al3Ca8,2,IM,IM,1.82763636363636,0.132562914850184,1065.49181818182,-15.8677685950413,1.16636363636364,0.271670680563225,2.27272727272727,0.445361771415123,33.0909090909091
Al4Ca,2,IM,IM,1.5408,0.14122533748702,969.776,-12.8,1.488,0.244,2.8,0.4,64.2
Al11Ce3,2,IM,IM,1.47871428571429,0.0604924479250938,962.297857142857,-25.5918367346939,1.505,0.201059692628831,3.21428571428571,0.410325903324145,64.4285714285714
Al2Ce,2,IM,IM,1.50466666666667,0.068298306734013,978.313333333333,-33.7777777777778,1.44666666666667,0.230988215187606,3.33333333333333,0.471404520791032,58.0
AlCe1,2,IM,IM,1.541,0.0707332900713822,1000.735,-38.0,1.365,0.245,3.5,0.5,49.0
Al13Co4,2,IM,IM,1.38941176470588,0.0552586605299731,1129.83,-13.6747404844291,1.67352941176471,0.114529275808856,4.41176470588235,2.54509501797458,100.470588235294
Al5Co2,2,IM,IM,1.38028571428571,0.0592395214748993,1171.90714285714,-15.5102040816327,1.68714285714286,0.121973566892209,4.71428571428571,2.71052370871575,105.714285714286
Al9Co2,2,IM,IM,1.39909090909091,0.0498972036626765,1085.20272727273,-11.3057851239669,1.65909090909091,0.104137544138382,4.09090909090909,2.31416764751961,94.9090909090909
AlCo,2,IM,IM,1.3415,0.0674617964964592,1350.735,-19.0,1.745,0.135,6.0,3.0,128.0
Al45Cr7,2,IM,IM,1.40736538461538,0.044380905414122,1101.27211538462,-4.65976331360947,1.61673076923077,0.0170656147589411,3.40384615384615,1.02393688553647,87.3076923076923
Al2Cu,2,IM,IM,1.38066666666667,0.0525806104793473,1074.90333333333,-0.888888888888889,1.70666666666667,0.136707311029399,5.66666666666667,3.77123616632825,97.3333333333333
Al4Cu3,2,IM,IM,1.366,0.0557908020007545,1115.31285714286,-0.979591836734694,1.73428571428571,0.143512781198564,6.42857142857143,3.95897327444315,103.428571428571
Al4Cu5,2,IM,IM,1.34644444444444,0.0568335481985423,1169.19222222222,-0.987654320987654,1.77111111111111,0.144102158549986,7.44444444444445,3.97523195999963,111.555555555556
