Solvent,Solute,Omega_f_percent
Al,Fe,-47.65
Al,Mo,-34.05
Al,Nb,-4.48
Al,Ni,-22.60
Co,V,4.54
Co,Zn,43.57
Co,Ti,37.44
Cr,Cu,3.33
Cr,Ti,46.17
Cr,Zn,26.50
Fe,Ta,38.06
Gd,Ho,-3.84
Gd,La,10.89
Gd,Tb,-3.28
Gd,Y,-0.12
Hf,Nb,-19.95
Hf,Ta,-19.63
Hf,Ti,-21.24
Hf,V,-40.81
Hf,Zr,4.31
Ho,Gd,9.23
Ho,La,25.61
Ho,Tb,3.21
Ho,Y,11.69
Ir,Re,0.19
Ir,Os,-0.11
La,Gd,-7.02
La,Ho,8.47
La,Tb,8.45
La,Y,-11.79
Mo,Al,-9.16
Mo,Co,-30.11
Mo,Fe,-26.17
Mo,Ni,-31.67
Mo,Zr,23.11
Nb,Al,-9.42
Nb,Cr,-28.97
Mn,Ti,28.86
Os,Ir,1.74
Os,Pd,4.77
Os,Pt,7.80
Os,Rh,-1.63
Pt,Os,-7.12
Re,Co,-26.46
Re,Fe,-23.94
Re,Ir,-5.61
Re,Mo,10.78
Re,Nb,26.86
Re,Rh,-6.70
Re,Ta,24.07
Re,W,12.92
Rh,Os,1.58
Rh,Re,4.17
Rh,Ru,0.23
Ru,Co,-18.28
Ru,Fe,-11.24
Ta,Al,-8.73
Ta,Fe,-38.90
Ta,Hf,21.93
Tb,Gd,9.86
Tb,Ho,3.08
Tb,La,41.35
Tb,Y,32.93
Ti,Nb,1.49
Ti,W,-17.11
V,Hf,64.64
V,Ni,-27.83
V,Ti,26.22
Y,Gd,0.42
Y,Ho,-15.18
Y,La,11.64
Y,Tb,-0.85
Zn,Cr,-36.15
Zn,Fe,-27.80
Zr,Ta,-25.02
