material_id,formula,element_A,element_B,count_A,count_B,lattice_constant,energy_per_atom,energy_above_hull,source,structure_type,lattice_constant_calc
mp-1002230,PuBi,Pu,Bi,1.0,1.0,3.88311615,-73.07098046,0.097358764999995,MP,B2,3.861859939312892
mp-1018042,UBi,U,Bi,1.0,1.0,3.829861,-69.28478042875001,0.11168422999999401,MP,B2,3.8428611540327866
mp-30083,TlBi,Tl,Bi,1.0,1.0,3.991709,-55.750542977833334,0.111888890499997,MP,B2,3.8563319228450337
mp-177,USb,U,Sb,1.0,1.0,3.75347873,-53.40049456,0.0,MP,B2,3.752169897477677
mp-20379,DyTh,Dy,Th,1.0,1.0,4.007679,-52.581058787500005,0.14747390000000102,MP,B2,3.965394810320165
mp-20773,PuAs,Pu,As,1.0,1.0,3.525792,-51.786406835,0.20704904000000102,MP,B2,3.513482852860769
mp-11473,TlHg,Tl,Hg,1.0,1.0,3.84461124,-51.276888655,0.014844768333325,MP,B2,3.6304442776373054
mp-10637,ThSb,Th,Sb,1.0,1.0,3.861407,-50.58537498999999,0.088406870000007,MP,B2,3.8888927143516345
mp-20895,NpAs,Np,As,1.0,1.0,3.501974,-50.034157015000005,0.146774564999994,MP,B2,3.501973939193882
mp-11452,HfOs,Hf,Os,1.0,1.0,3.24346549,-49.914235895,0.0,MP,B2,3.2342193906658947
mp-11455,HfPt,Hf,Pt,1.0,1.0,3.329778,-49.40755611,0.17259653499999603,MP,B2,3.3111572407163488
mp-19966,GdTl,Gd,Tl,1.0,1.0,3.81356485,-48.731326895,0.0,MP,B2,3.8789306441462714
mp-21087,UAs,U,As,1.0,1.0,3.506175,-48.340253794999995,0.130024100000007,MP,B2,3.4944840675806637
mp-635426,GdAu,Gd,Au,1.0,1.0,3.6172008908734203,-47.83441158,0.0,MP,B2,3.615064203049543
mp-11422,GdHg,Gd,Hg,1.0,1.0,3.73411382,-46.91849567,0.0,MP,B2,3.750270694525249
mp-1001913,HoBi,Ho,Bi,1.0,1.0,3.883022,-46.467209435,0.269877544999999,MP,B2,3.9139408881188698
