material_id,formula,structure_type,element_A,element_B,count_A,count_B,lattice_constant,energy_per_atom,energy_above_hull,source,lattice_constant_calc
oqmd-17624,LuPt3,L1$_2$,Lu,Pt,1,3,4.056816,-1.09078774875,0.001670882500000026,OQMD,4.088540190078727
oqmd-18021,TmPt3,L1$_2$,Pt,Tm,3,1,4.07286,-1.0708251575,0.0016288999999998222,OQMD,4.122656766234259
oqmd-30031,ErPt3,L1$_2$,Er,Pt,1,3,4.082216,-1.054195475,0.0013947950000006148,OQMD,4.115112439908384
oqmd-17997,ScPt3,L1$_2$,Pt,Sc,3,1,3.986949,-1.04670448375,0.001092692499999659,OQMD,4.00148097347567
oqmd-17472,HoPt3,L1$_2$,Ho,Pt,1,3,4.09139,-1.03721596583333,0.001626950000000127,OQMD,4.123209190097691
oqmd-29914,DyPt3,L1$_2$,Dy,Pt,1,3,4.101101,-1.01995835166667,0.0014078949999980495,OQMD,4.126018437142683
oqmd-18039,ZrPt3,L1$_2$,Pt,Zr,3,1,4.035236,-1.017251925,0.011098583749999946,OQMD,4.0336722465760975
oqmd-18031,YPt3,L1$_2$,Pt,Y,3,1,4.109083,-0.98113342625,0.0,OQMD,4.14391226175689
oqmd-17333,GdPt3,L1$_2$,Gd,Pt,1,3,4.122153,-0.977741224375,0.0015210725000004421,OQMD,4.129984835739884
oqmd-17622,LuPd3,L1$_2$,Lu,Pd,1,3,4.057276,-0.93506239625,0.0014361375000000454,OQMD,4.037557108965787
oqmd-17981,TmPd3,L1$_2$,Pd,Tm,3,1,4.073671,-0.92451966,0.0014887550000000083,OQMD,4.071673685121319
oqmd-18320,ErPd3,L1$_2$,Er,Pd,1,3,4.079866,-0.914086197500001,0.0,OQMD,4.064129358795444
oqmd-18000,SmPt3,L1$_2$,Pt,Sm,3,1,4.153828,-0.911126884375,0.0040556233333329805,OQMD,4.27062325917927
oqmd-17468,HoPd3,L1$_2$,Ho,Pd,1,3,4.09064,-0.904235833333333,0.001724717500000028,OQMD,4.07222610898475
oqmd-17908,PaRh3,L1$_2$,Pa,Rh,1,3,4.059346,-0.899696755000001,1.096999999972148e-05,OQMD,4.044036885567783
oqmd-18314,DyPd3,L1$_2$,Dy,Pd,1,3,4.098574,-0.893597686666667,0.001993465000000305,OQMD,4.075035356029742
oqmd-18693,GdPd3,L1$_2$,Gd,Pd,1,3,4.120659,-0.868430664374999,0.001931357500000619,OQMD,4.079001754626944
oqmd-17986,YPd3,L1$_2$,Pd,Y,3,1,4.108404,-0.85931583125,0.0024302299999998667,OQMD,4.09292918064395
oqmd-17945,ScPd3,L1$_2$,Pd,Sc,3,1,3.993458,-0.85439362875,0.0,OQMD,3.9504978923627294
oqmd-30987,TiPt3,L1$_2$,Pt,Ti,3,1,3.929917,-0.852271958446567,0.0046398378571419485,OQMD,3.877401593840626
oqmd-17507,PaIr3,L1$_2$,Ir,Pa,3,1,4.089028,-0.85001516,0.0,OQMD,4.104337114266586
oqmd-17573,LaPt3,L1$_2$,La,Pt,1,3,4.215406,-0.847711640000001,0.09790237583333206,OQMD,4.354172135568069
oqmd-17769,NdPt3,L1$_2$,Nd,Pt,1,3,4.183061,-0.84463081625,0.05712784916666602,OQMD,4.235045932997214
oqmd-18012,TbPt3,L1$_2$,Pt,Tb,3,1,4.111156,-0.835964081166668,0.0014974850000000206,OQMD,4.219383655630851
oqmd-17947,SmPd3,L1$_2$,Pd,Sm,3,1,4.147872,-0.825939259375001,0.0021758924999990548,OQMD,4.21964017806633
oqmd-17569,LaPd3,L1$_2$,La,Pd,1,3,4.215881,-0.81537576,0.00021774500000071306,OQMD,4.303189054455128
oqmd-17363,HfIr3,L1$_2$,Hf,Ir,1,3,3.960267,-0.80344056875,0.0,OQMD,3.9762201143732026
oqmd-18884,PrPt3,L1$_2$,Pr,Pt,1,3,4.201313,-0.803113476875,0.08803257750000004,OQMD,4.300089734953489
oqmd-18034,YbPt3,L1$_2$,Pt,Yb,3,1,4.055019,-0.790495415000001,0.07539047499999807,OQMD,4.118589261713167
oqmd-17765,NdPd3,L1$_2$,Nd,Pd,1,3,4.173466,-0.78414477875,0.003020099999999637,OQMD,4.184062851884274
oqmd-17387,HfRh3,L1$_2$,Hf,Rh,1,3,3.931873,-0.75821312375,0.0009227850000002036,OQMD,3.9159198856743993
oqmd-17940,PrPd3,L1$_2$,Pd,Pr,3,1,4.191399,-0.757986361875,0.0031743899999998604,OQMD,4.249106653840549
oqmd-17090,CePt3,L1$_2$,Ce,Pt,1,3,4.219709,-0.749716076875,0.10036981666666711,OQMD,4.338448257778388
oqmd-18071,ThRh3,L1$_2$,Rh,Th,3,1,4.134904,-0.726907635,0.0,OQMD,4.203375968201405
oqmd-18665,CePd3,L1$_2$,Ce,Pd,1,3,4.22557,-0.726107479375,0.0,OQMD,4.287465176665448
oqmd-17524,TiIr3,L1$_2$,Ir,Ti,3,1,3.862681,-0.721585048446567,0.0012413524999990155,OQMD,3.8406731675969366
oqmd-17965,TbPd3,L1$_2$,Pd,Tb,3,1,4.109408,-0.717657476166668,0.0017938774999998186,OQMD,4.168400574517911
oqmd-17544,ZrIr3,L1$_2$,Ir,Zr,3,1,3.984686,-0.7139492825,0.0,OQMD,3.996943820332408
oqmd-17988,YbPd3,L1$_2$,Pd,Yb,3,1,4.055501,-0.69754859,0.0,OQMD,4.067606180600227
oqmd-17518,TaIr3,L1$_2$,Ir,Ta,3,1,3.92376,-0.688220857500001,0.00012126250000099592,OQMD,3.9241969249942175
oqmd-18714,AlPt3,L1$_2$,Al,Pt,1,3,3.917671,-0.687711832500001,0.01557226749999896,OQMD,3.8584931586736055
oqmd-18089,ZrRh3,L1$_2$,Rh,Zr,3,1,3.953628,-0.682506185000001,0.001363719999998958,OQMD,3.9366435916336053
oqmd-17994,PuPt3,L1$_2$,Pt,Pu,3,1,4.104714,-0.681797285,0.0025993908333330484,OQMD,4.153893124768927
oqmd-18078,URh3,L1$_2$,Rh,U,3,1,4.022328,-0.672581106250002,0.0014078799999980296,OQMD,4.023772469396765
oqmd-30129,EuPd3,L1$_2$,Eu,Pd,1,3,4.11254,-0.67240313,0.01183876166666653,OQMD,4.205101741370105
oqmd-17972,TiPd3,L1$_2$,Pd,Ti,3,1,3.907033,-0.641766360946566,0.007792608749999985,OQMD,3.8264185127276855
oqmd-17578,LaSn3,L1$_2$,La,Sn,1,3,4.793182,-0.640333765138402,0.00014573249999894067,OQMD,4.7956014664648015
oqmd-17529,UIr3,L1$_2$,Ir,U,3,1,4.050155,-0.63875885625,7.830250000040451e-05,OQMD,4.084072698095568
oqmd-18074,TiRh3,L1$_2$,Rh,Ti,3,1,3.837165,-0.637218398446567,0.0011723049999989854,OQMD,3.7803729388981338
oqmd-18055,ScRh3,L1$_2$,Rh,Sc,3,1,3.914586,-0.615306173750001,0.0011009949999993829,OQMD,3.9044523185331776
oqmd-18066,TaRh3,L1$_2$,Rh,Ta,3,1,3.884966,-0.6129252475,0.0008480499999998781,OQMD,3.8638966962954147
oqmd-18834,EuSn3,L1$_2$,Eu,Sn,1,3,4.7445,-0.611539027638402,0.0005198599999997056,OQMD,4.697514153379778
oqmd-18866,ScIr3,L1$_2$,Ir,Sc,3,1,3.937579,-0.60624575125,0.005006264499999968,OQMD,3.9647525472319805
oqmd-17502,NbIr3,L1$_2$,Ir,Nb,3,1,3.917931,-0.5907102225,0.007446940000001456,OQMD,3.898950700934545
oqmd-29195,CeSn3,L1$_2$,Ce,Sn,1,3,4.787402,-0.575536184513401,0.0005257099999999015,OQMD,4.77987758867512
oqmd-18890,PrSn3,L1$_2$,Pr,Sn,1,3,4.769768,-0.572317017013401,0.00029298375000086363,OQMD,4.7415190658502215
