material_id,formula,element_A,element_B,count_A,count_B,lattice_constant,energy_per_atom,energy_above_hull,source,structure_type,lattice_constant_calc
vasp-Ag1Ag1,AgAg,Ag,Ag,1.0,1.0,3.3008639381824243,-2.717556515,,VASP,B2,3.3008639381824243
vasp-Ag1Al1,AgAl,Ag,Al,1.0,1.0,3.228309192849007,-3.200440035,,VASP,B2,3.228309192849007
vasp-Ag1As1,AgAs,Ag,As,1.0,1.0,3.3576427385396954,-3.44019939,,VASP,B2,3.3576427385396954
vasp-Ag1B1,AgB,Ag,B,1.0,1.0,2.8923697743314714,-3.34914593,,VASP,B2,2.8923697743314714
vasp-Ag1Ca1,AgCa,Ag,Ca,1.0,1.0,3.71172247036893,-2.66765954,,VASP,B2,3.71172247036893
vasp-Ag1Cd1,AgCd,Ag,Cd,1.0,1.0,3.383705570571453,-1.865944715,,VASP,B2,3.383705570571453
vasp-Ag1Ce1,AgCe,Ag,Ce,1.0,1.0,3.716409477364642,-4.400929095,,VASP,B2,3.716409477364642
vasp-Ag1Co1,AgCo,Ag,Co,1.0,1.0,3.06524863813598,-4.36563327,,VASP,B2,3.06524863813598
vasp-Ag1Cr1,AgCr,Ag,Cr,1.0,1.0,3.27565689672164,-5.52734528,,VASP,B2,3.27565689672164
vasp-Ag1Cu1,AgCu,Ag,Cu,1.0,1.0,3.108036572536563,-3.13849648,,VASP,B2,3.108036572536563
vasp-Ag1Fe1,AgFe,Ag,Fe,1.0,1.0,3.1280532538154793,-4.994498195,,VASP,B2,3.1280532538154793
vasp-Ag1Ga1,AgGa,Ag,Ga,1.0,1.0,3.3101895900910945,-2.79812808,,VASP,B2,3.3101895900910945
vasp-Ag1Gd1,AgGd,Ag,Gd,1.0,1.0,3.669226558929017,-8.97924562,,VASP,B2,3.669226558929017
vasp-Ag1Ge1,AgGe,Ag,Ge,1.0,1.0,3.3551313803865996,-3.39458683,,VASP,B2,3.3551313803865996
vasp-Ag1Hf1,AgHf,Ag,Hf,1.0,1.0,3.3999679212901897,-6.26144559,,VASP,B2,3.3999679212901897
vasp-Ag1In1,AgIn,Ag,In,1.0,1.0,3.512894804646917,-2.62422356,,VASP,B2,3.512894804646917
vasp-Ag1La1,AgLa,Ag,La,1.0,1.0,3.810284805640961,-4.08175564,,VASP,B2,3.810284805640961
vasp-Ag1Mg1,AgMg,Ag,Mg,1.0,1.0,3.330670747183015,-2.4069436,,VASP,B2,3.330670747183015
vasp-Ag1Mn1,AgMn,Ag,Mn,1.0,1.0,3.21442603782011,-5.55918447,,VASP,B2,3.21442603782011
vasp-Ag1Mo1,AgMo,Ag,Mo,1.0,1.0,3.215206439857441,-5.8702555,,VASP,B2,3.215206439857441
vasp-Ag1Na1,AgNa,Ag,Na,1.0,1.0,3.571239173708281,-1.995179095,,VASP,B2,3.571239173708281
vasp-Ag1Nb1,AgNb,Ag,Nb,1.0,1.0,3.316475510685323,-5.880335715,,VASP,B2,3.316475510685323
vasp-Ag1Ni1,AgNi,Ag,Ni,1.0,1.0,3.053053290740582,-3.825874755,,VASP,B2,3.053053290740582
vasp-Ag1Pd1,AgPd,Ag,Pd,1.0,1.0,3.214776746330491,-3.99743786,,VASP,B2,3.214776746330491
vasp-Ag1Ru1,AgRu,Ag,Ru,1.0,1.0,3.148564403879979,-5.113904235,,VASP,B2,3.148564403879979
vasp-Ag1Sb1,AgSb,Ag,Sb,1.0,1.0,3.5736853214366513,-3.234062385,,VASP,B2,3.5736853214366513
vasp-Ag1Sc1,AgSc,Ag,Sc,1.0,1.0,3.437297950448256,-4.794347615,,VASP,B2,3.437297950448256
vasp-Ag1Se1,AgSe,Ag,Se,1.0,1.0,3.4293892759389335,-2.899265505,,VASP,B2,3.4293892759389335
vasp-Ag1Si1,AgSi,Ag,Si,1.0,1.0,3.262432337243844,-3.60098199,,VASP,B2,3.262432337243844
vasp-Ag1Sn1,AgSn,Ag,Sn,1.0,1.0,3.564578477497716,-3.174912975,,VASP,B2,3.564578477497716
vasp-Ag1Sr1,AgSr,Ag,Sr,1.0,1.0,3.927575799062772,-2.47148557,,VASP,B2,3.927575799062772
vasp-Ag1Ta1,AgTa,Ag,Ta,1.0,1.0,3.291143648145928,-6.67602917,,VASP,B2,3.291143648145928
vasp-Ag1Tc1,AgTc,Ag,Tc,1.0,1.0,3.1628797804634594,-5.59352609,,VASP,B2,3.1628797804634594
vasp-Ag1Ti1,AgTi,Ag,Ti,1.0,1.0,3.2791766244975697,-5.111150695,,VASP,B2,3.2791766244975697
vasp-Ag1V1,AgV,Ag,V,1.0,1.0,3.2114988660669286,-5.268704675,,VASP,B2,3.2114988660669286
vasp-Ag1W1,AgW,Ag,W,1.0,1.0,3.2078375577853384,-6.700273645,,VASP,B2,3.2078375577853384
vasp-Ag1Y1,AgY,Ag,Y,1.0,1.0,3.640843634814146,-4.92703646,,VASP,B2,3.640843634814146
vasp-Ag1Zn1,AgZn,Ag,Zn,1.0,1.0,3.1827883974960534,-2.022808305,,VASP,B2,3.1827883974960534
vasp-Ag1Zr1,AgZr,Ag,Zr,1.0,1.0,3.442752764472836,-5.634221555,,VASP,B2,3.442752764472836
vasp-Al1Ag1,AlAg,Al,Ag,1.0,1.0,3.2283091947362603,-3.200440035,,VASP,B2,3.2283091947362603
vasp-Al1Al1,AlAl,Al,Al,1.0,1.0,3.2253523268910893,-3.691748835,,VASP,B2,3.2253523268910893
vasp-Al1As1,AlAs,Al,As,1.0,1.0,3.2851338271952257,-4.01311962,,VASP,B2,3.2851338271952257
vasp-Al1B1,AlB,Al,B,1.0,1.0,2.7835875077909935,-4.419980435,,VASP,B2,2.7835875077909935
vasp-Al1Ca1,AlCa,Al,Ca,1.0,1.0,3.7078407400414273,-3.010061025,,VASP,B2,3.7078407400414273
vasp-Al1Cd1,AlCd,Al,Cd,1.0,1.0,3.464276294150575,-2.026361025,,VASP,B2,3.464276294150575
vasp-Al1Ce1,AlCe,Al,Ce,1.0,1.0,3.94412928361621,-4.91347546,,VASP,B2,3.94412928361621
vasp-Al1Co1,AlCo,Al,Co,1.0,1.0,2.850770308278993,-6.00841891,,VASP,B2,2.850770308278993
vasp-Al1Cr1,AlCr,Al,Cr,1.0,1.0,3.040425890244642,-6.64748203,,VASP,B2,3.040425890244642
vasp-Al1Cu1,AlCu,Al,Cu,1.0,1.0,3.0008203631329526,-3.88576259,,VASP,B2,3.0008203631329526
vasp-Al1Fe1,AlFe,Al,Fe,1.0,1.0,2.8700803349495265,-6.31281239,,VASP,B2,2.8700803349495265
vasp-Al1Ga1,AlGa,Al,Ga,1.0,1.0,3.314784420394747,-3.26992552,,VASP,B2,3.314784420394747
vasp-Al1Gd1,AlGd,Al,Gd,1.0,1.0,3.643461472477475,-9.319892725,,VASP,B2,3.643461472477475
vasp-Al1Ge1,AlGe,Al,Ge,1.0,1.0,3.3142540595153096,-3.91188793,,VASP,B2,3.3142540595153096
vasp-Al1Hf1,AlHf,Al,Hf,1.0,1.0,3.350314829753942,-7.05321035,,VASP,B2,3.350314829753942
vasp-Al1In1,AlIn,Al,In,1.0,1.0,3.5754289409072504,-2.960461515,,VASP,B2,3.5754289409072504
vasp-Al1La1,AlLa,Al,La,1.0,1.0,3.8004196882268237,-4.673360215,,VASP,B2,3.8004196882268237
vasp-Al1Mg1,AlMg,Al,Mg,1.0,1.0,3.4021043893174383,-2.538205045,,VASP,B2,3.4021043893174383
vasp-Al1Mn1,AlMn,Al,Mn,1.0,1.0,2.911647707445484,-6.44761687,,VASP,B2,2.911647707445484
vasp-Al1Mo1,AlMo,Al,Mo,1.0,1.0,3.123223618855336,-7.263802355,,VASP,B2,3.123223618855336
