material_id,formula,element_A,element_B,count_A,count_B,lattice_constant,energy_per_atom,energy_above_hull,source,structure_type,lattice_constant_calc
vasp-Ag3Ag1,Ag3Ag,Ag,Ag,3.0,1.0,4.151952339060632,-2.7125350325,,VASP,L12,4.151952339060632
vasp-Ag3Al1,Ag3Al,Ag,Al,3.0,1.0,4.090204449429549,-3.0181630375,,VASP,L12,4.090204449429549
vasp-Ag3Au1,Ag3Au,Ag,Au,3.0,1.0,4.148055081387604,-2.8794156425,,VASP,L12,4.148055081387604
vasp-Ag3Ba1,Ag3Ba,Ag,Ba,3.0,1.0,4.634392006981845,-2.3533547175,,VASP,L12,4.634392006981845
vasp-Ag3Ca1,Ag3Ca,Ag,Ca,3.0,1.0,4.3847178810813805,-2.6659840825,,VASP,L12,4.3847178810813805
vasp-Ag3Cd1,Ag3Cd,Ag,Cd,3.0,1.0,4.206069717629163,-2.2763772475,,VASP,L12,4.206069717629163
vasp-Ag3Ce1,Ag3Ce,Ag,Ce,3.0,1.0,4.4753901544902845,-3.401204435,,VASP,L12,4.4753901544902845
vasp-Ag3Co1,Ag3Co,Ag,Co,3.0,1.0,4.015433502315025,-3.4236152425,,VASP,L12,4.015433502315025
vasp-Ag3Cr1,Ag3Cr,Ag,Cr,3.0,1.0,4.124003420992862,-4.150352815,,VASP,L12,4.124003420992862
vasp-Ag3Cu1,Ag3Cu,Ag,Cu,3.0,1.0,4.034699341740045,-2.8950726775,,VASP,L12,4.034699341740045
vasp-Ag3Dy1,Ag3Dy,Ag,Dy,3.0,1.0,3.9999999999491815,-4.18224606,,VASP,L12,3.9999999999491815
vasp-Ag3Er1,Ag3Er,Ag,Er,3.0,1.0,4.114572466780607,-3.5897247125,,VASP,L12,4.114572466780607
vasp-Ag3Eu1,Ag3Eu,Ag,Eu,3.0,1.0,3.9488700518211,-2.39059864,,VASP,L12,3.9488700518211
vasp-Ag3Fe1,Ag3Fe,Ag,Fe,3.0,1.0,4.064691906620455,-3.7342938025,,VASP,L12,4.064691906620455
vasp-Ag3Ga1,Ag3Ga,Ag,Ga,3.0,1.0,4.118629098231814,-2.76986922,,VASP,L12,4.118629098231814
vasp-Ag3Gd1,Ag3Gd,Ag,Gd,3.0,1.0,4.426342679525252,-5.6317707175,,VASP,L12,4.426342679525252
vasp-Ag3Ge1,Ag3Ge,Ag,Ge,3.0,1.0,4.150285582971348,-3.0824066425,,VASP,L12,4.150285582971348
vasp-Ag3Hf1,Ag3Hf,Ag,Hf,3.0,1.0,4.231000592722294,-4.313580385,,VASP,L12,4.231000592722294
vasp-Ag3Hg1,Ag3Hg,Ag,Hg,3.0,1.0,4.227700577683716,-2.0498883825,,VASP,L12,4.227700577683716
vasp-Ag3Ho1,Ag3Ho,Ag,Ho,3.0,1.0,4.205565893975459,-3.857395915,,VASP,L12,4.205565893975459
vasp-Ag3In1,Ag3In,Ag,In,3.0,1.0,4.233920849466686,-2.7156395625,,VASP,L12,4.233920849466686
vasp-Ag3Ir1,Ag3Ir,Ag,Ir,3.0,1.0,4.054251424501132,-3.851288885,,VASP,L12,4.054251424501132
vasp-Ag3La1,Ag3La,Ag,La,3.0,1.0,4.527641919455219,-3.2698943525,,VASP,L12,4.527641919455219
vasp-Ag3Lu1,Ag3Lu,Ag,Lu,3.0,1.0,4.338774167000734,-3.2872149575,,VASP,L12,4.338774167000734
vasp-Ag3Mg1,Ag3Mg,Ag,Mg,3.0,1.0,4.158546633975389,-2.5816396075,,VASP,L12,4.158546633975389
vasp-Ag3Mn1,Ag3Mn,Ag,Mn,3.0,1.0,4.112521575130599,-4.09551177,,VASP,L12,4.112521575130599
vasp-Ag3Mo1,Ag3Mo,Ag,Mo,3.0,1.0,4.181737899162778,-4.054079125,,VASP,L12,4.181737899162778
vasp-Ag3Nb1,Ag3Nb,Ag,Nb,3.0,1.0,4.2031411971948565,-4.0536542575,,VASP,L12,4.2031411971948565
vasp-Ag3Nd1,Ag3Nd,Ag,Nd,3.0,1.0,4.48439146006044,-3.9445790375,,VASP,L12,4.48439146006044
vasp-Ag3Ni1,Ag3Ni,Ag,Ni,3.0,1.0,3.997369602101982,-3.2292400075,,VASP,L12,3.997369602101982
vasp-Ag3Os1,Ag3Os,Ag,Os,3.0,1.0,4.051572918705813,-4.052332535,,VASP,L12,4.051572918705813
vasp-Ag3Pb1,Ag3Pb,Ag,Pb,3.0,1.0,4.347979965410436,-2.8586267575,,VASP,L12,4.347979965410436
vasp-Ag3Pd1,Ag3Pd,Ag,Pd,3.0,1.0,4.085422341152231,-3.39989955,,VASP,L12,4.085422341152231
vasp-Ag3Pr1,Ag3Pr,Ag,Pr,3.0,1.0,4.483693180967536,-3.6383946675,,VASP,L12,4.483693180967536
vasp-Ag3Pt1,Ag3Pt,Ag,Pt,3.0,1.0,4.083188392120755,-3.5536940125,,VASP,L12,4.083188392120755
