Solvent,Solute,Cmax_at_percent,Dsf_percent,lsf_percent,VLF_percent,source_page
Ag,Al,18,-9.18,-3.16,-8.89,6
Ag,As,8.5,10.35,3.33,-12.61,6
Ag,Au,34,-1.78,-0.6,-1.22,6
Ag,Bi,2.6,70.92,19.56,-17.59,6
Ag,Cd,12,14.84,4.71,-9.1,6
Ag,Cu,12,-27.75,-10.27,43.09,6
Ag,Ga,18,-5.09,-1.73,-17.38,6
Ag,Ge,7.5,1.66,0.53,-23.42,6
Ag,Hg,23,14,4.46,-17.06,6
Ag,In,12,23.5,7.28,-51.84,6
Ag,Mg,25,7.13,2.32,-21.38,6
Ag,Mn,15,0.09,0.02,-86.02,6
Ag,Pb,2.2,54.52,15.6,-13.09,6
Ag,Pd,21,-17.21,-6.1,-4.15,6
Ag,Pt,10,-20.05,-7.19,-9.4,6
Ag,Sb,6,44.93,13.16,18.21,6
Ag,Sn,10,32.4,9.81,-16.53,6
Ag,Tl,6.5,39.42,11.71,-16.85,6
Ag,Zn,35,-13.74,-4.8,-3.27,6
Al,Ag,20,0.12,0.03,-2.55,6
Al,Ca,1.1,177.1,40.46,6.12,6
Al,Cr,0.8,-57.23,-24.66,-40.82,6
Al,Cu,2.2,-37.77,-14.62,-12.52,6
Al,Ga,0.5,4.94,1.62,-11.06,6
Al,Ge,2,13.13,4.19,-17.03,6
Al,Li,12,-2.1,-0.7,-24.82,6
Al,Mg,15,40.82,12.08,0.58,6
Al,Mn,3.5,-46.81,-18.98,-27.7,6
Al,Pb,0.2,-53.63,-22.66,-84.67,6
Al,Si,1,-15.78,-5.56,-30.17,6
Al,Sn,0.1,24.09,7.45,-23.84,6
Al,Th,0.4,156.61,36.91,29.65,6
Al,Ti,1,-15.06,-5.22,-20.17,6
Al,V,0.6,-41.42,-16.37,-30.04,6
Al,Zn,25,-5.74,-1.95,2.89,6
As,Ge,16,-6.89,-2.35,-11.44,6
As,Sb,10,6.49,2.12,-24.2,6
As,Sn,22,14.19,4.51,-8.89,6
Au,Ag,32,-0.64,-0.21,-1.2,6
Au,Al,14,-10.17,-3.51,-8.26,6
Au,As,0.2,17.69,5.57,-7.31,6
Au,Cd,24,13.14,4.2,-10.94,6
Au,Co,8.5,-25.22,-9.23,-11.68,6
Au,Cr,20,-16.45,-5.82,18.08,6
Au,Cu,46,-27.81,-10.29,3.66,6
Au,Fe,16,-19.87,-7.12,10.16,6
Au,Ga,11,-4.32,-1.46,-17.17,6
Au,Ge,3,5.54,1.81,-20.94,6
Au,Hf,5,-3.3,-1.11,-26.01,6
Au,Hg,18,18.9,5.94,-13.95,6
Au,In,12,20.57,6.43,-21.86,6
Au,Li,15,-19.24,-6.88,-36.62,6
Au,Mn,7,-5.35,-1.82,31.46,6
Au,Mo,1.2,-14.86,-5.22,-7.3,6
Au,Ni,10,-21.92,-7.92,21.03,6
Au,Pd,40,-14.2,-4.98,-1.07,6
Au,Pt,30,-12.62,-4.4,-1.87,6
Au,Sb,1,34.62,10.41,-24.44,6
Au,Sn,5,28.78,8.8,-19.27,6
Au,Ta,6.5,3.4,1.11,-2.68,6
Au,Ti,12,-7.76,-2.66,-11.46,6
Au,Tl,0.8,23.82,-7.43,-26.45,6
Au,V,8,-8.94,-3.08,11.42,6
Au,Zn,18,-13.82,-4.84,-3.93,6
Au,Zr,7,13.19,4.21,-17.48,6
Ba,Ca,11,-10.03,-3.46,31.38,6
Ba,Sr,20,-9.32,-3.21,3.11,6
Be,Al,0.6,74.81,20.46,-15.11,6
Be,Ni,1.5,45.65,13.36,7.33,6
Bi,Sb,100,14.12,4.95,Nil,6
Ca,Ba,30,49.84,14.44,2.61,6
Ca,Sr,100,30.51,9.28,Nil,6
Cd,Ag,6,-34.45,-13.13,-16.98,6
Cd,Hg,25,4.43,1.45,-3.98,6
Cd,Mg,45,-1.6,-0.54,-8.32,6
Ce,Eu,5,9.32,3.01,-23.16,6
Ce,La,25,10.05,3.24,1.28,6
Ce,Pu,30,-28.49,-10.58,-1.42,6
Ce,Tm,50,-7.29,-2.49,-3.12,6
Co,Al,17,16.98,5.36,-21.5,6
Co,Au,30,59.12,16.74,4.43,6
Co,Cu,24,6.99,2.28,1.09,6
Co,Fe,20,5.24,1.71,-0.44,6
Co,Ga,13,17.42,5.49,-33.22,6
Co,Ge,17,15.08,4.79,-43.36,6
Co,Ir,50,25.85,7.96,-0.16,6
Co,Mn,40,7.33,2.39,-2.14,6
Co,Mo,18,29.44,8.98,-7.54,6
Co,Ni,100,-1.73,-0.61,Nil,6
Co,Os,25,21.93,6.82,-3.21,6
Co,Pd,20,40.08,11.89,6.74,7
Co,Pt,25,40.01,11.87,4.19,7
Co,Re,25,30.5,9.28,-1.61,7
Co,Rh,40,30.74,9.34,5.59,7
Co,Ru,50,21.67,6.75,-0.73,7
Co,Si,13,-6.39,-2.18,-47.87,7
Co,Sn,3,69.12,19.13,-30.35,7
Co,W,7,22.52,6.99,-14.2,7
Co,Zn,10,17.4,5.48,-13.58,7
Cr,Al,38,25.95,7.99,-8.97,7
Cr,Be,5,-18.17,-6.43,21.18,7
Cr,Co,25,-5.15,-1.75,1.52,7
Cr,Fe,30,-2.07,-0.7,-0.41,7
Cr,Ir,2.5,53.34,15.31,30.08,7
Cr,Mn,10,0.65,0.2,-0.83,7
Cr,Mo,40,33.66,10.14,2.98,7
Cr,Ni,11,-4.8,-1.63,4.41,7
Cr,Rh,15,17.57,5.53,2.47,7
Cr,Si,7.5,-15.05,-5.29,-49.07,7
Cr,Ta,2.5,43.98,12.91,-3.71,7
Cr,V,18,8.79,2.86,-5.95,7
Cr,W,20,37.35,11.15,3.76,7
Cs,K,25,-40.94,-16.1,-9.95,7
Cs,Rb,80,-20.8,-7.58,-0.44,7
Cs,Y,10,0.21,0.06,11.86,7
Cu,Ag,4.2,43.52,12.79,-0.6,7
Cu,Al,20,19.99,6.26,-14.66,7
Cu,As,4.2,38.77,11.53,-23.87,7
Cu,Au,40,47.59,13.85,2.79,7
Cu,Be,13,-26.45,-9.73,7.1,7
Cu,Cd,2.5,67.4,18.74,-8.22,7
Cu,Co,15,-3.78,-1.28,1.84,7
Cu,Cr,1.6,19.72,6.18,17.85,7
Cu,Fe,2.6,4.57,1.5,4.87,7
Cu,Ga,20,24.11,7.46,-25.18,7
Cu,Ge,11,27.77,8.51,-33.34,7
Cu,Hg,3,5.44,1.78,-47.1,7
Cu,In,10,79.03,21.42,-19.21,7
Cu,Mg,3.2,50.8,14.67,-23.37,7
Cu,Mn,15,34.19,10.30,28.69,7
