Element,Atomic_number,Atomic_volume_A3,Seitz_radius_A,source_page
Ac,89,37.48,2.076,11
Al,13,16.60,1.582,11
Co,27,11.13,1.385,11
Nd,60,34.18,2.013,11
Ag,47,17.06,1.598,11
Ni,28,10.94,1.377,11
Np,93,19.22,1.662,11
Am,95,33.77,2.005,11
Os,76,13.99,1.495,11
As,33,21.54,1.726,11
P,15,16.59,1.582,11
Au,79,16.96,1.594,11
Pa,91,24.94,1.812,11
B,5,7.67,1.22,11
Pb,82,30.33,1.949,11
Ba,56,62.59,2.463,11
Pd,46,14.72,1.521,11
Be,4,8.112,1.246,11
Po,84,37.43,2.075,11
Bi,83,35.38,2.036,11
Pr,59,34.15,2.013,11
C,6,5.678,1.107,11
Pt,78,15.10,1.534,11
Ca,20,43.48,2.181,11
Pu,94,23.4,1.77,11
Cd,48,21.58,1.726,11
Rb,37,92.67,2.80,11
Ce,58,34.37,2.017,11
Re,75,14.70,1.520,11
Rh,45,13.77,1.487,11
Cr,24,12.00,1.423,11
Ru,44,13.57,1.480,11
Cs,55,115.17,3.018,11
S,16,25.52,1.826,11
Cu,29,11.81,1.413,11
Sb,51,30.20,1.932,11
Dy,66,31.52,1.960,11
Sc,21,23.41,1.775,11
Er,68,30.64,1.941,11
Se,34,27.27,1.863,11
Eu,63,48.86,2.268,11
Si,14,20.02,1.669,11
Fe,26,11.77,1.411,11
Sm,62,33.01,1.990,11
Ga,31,19.59,1.672,11
Sn,50,27.65,1.862,11
Gd,64,33.10,1.992,11
Sr,38,56.32,2.378,11
Ge,32,22.64,1.755,11
Ta,73,18.01,1.626,11
Hf,72,22.16,1.743,11
Tb,65,31.14,1.954,11
Tc,43,14.213,1.503,11
Ho,67,31.12,1.951,11
Te,52,33.98,2.005,11
In,49,26.15,1.841,11
Th,90,32.86,1.987,11
Ir,77,14.14,1.500,11
Ti,22,17.65,1.614,11
K,19,75.31,2.618,11
La,57,37.12,2.069,11
Tm,69,30.10,1.930,11
Li,3,21.61,1.728,11
U,92,20.81,1.706,11
Lu,71,29.50,1.917,11
V,23,13.88,1.491,11
Mg,12,23.23,1.770,11
W,74,15.85,1.549,11
Mn,25,12.21,1.428,11
Y,39,33.01,1.990,11
Mo,42,15.58,1.550,11
Yb,70,33.02,1.990,11
Na,11,39.50,2.113,11
Zn,30,15.24,1.538,11
Nb,41,17.98,1.625,11
Zr,40,23.27,1.771,11
