directory,type,element_A,element_B,lattice_constant_A,energy_per_atom,magnetization
Ag1Ag1,B2,Ag,Ag,3.3008639381824243,-2.7175565,-1e-07
Ag1Al1,B2,Ag,Al,3.228309192849007,-3.20044005,-7e-07
Ag1As1,B2,Ag,As,3.3576427385396954,-3.4401994,-1e-07
Ag1Au1,B2,Ag,Au,3.300070106960072,-2.9866714,-1.5e-06
Ag1B1,B2,Ag,B,2.8923697743314714,-3.34914595,1e-06
Ag1Be1,B2,Ag,Be,2.9465642735615756,-3.08224605,4.78e-05
Ag1Ca1,B2,Ag,Ca,3.71172247036893,-2.66765955,2.8e-06
Ag1Cd1,B2,Ag,Cd,3.383705570571453,-1.8659447,-4e-07
Ag1Ce1,B2,Ag,Ce,3.716409477364642,-4.4009291,-1.2670651
Ag1Co1,B2,Ag,Co,3.066823507874242,-4.32951545,-1.6609289
Ag1Cr1,B2,Ag,Cr,3.2679070258326615,-5.5128255,4.2876755
Ag1Cu1,B2,Ag,Cu,3.108036572536563,-3.1384965,-1e-07
Ag1Dy1,B2,Ag,Dy,3.6339658181979595,-3.9629875,7e-07
Ag1Er1,B2,Ag,Er,3.601293770250497,-3.9533292,-1.4e-06
Ag1Fe1,B2,Ag,Fe,3.124836576513983,-4.96879355,-2.8923076
Ag1Ga1,B2,Ag,Ga,3.3101895900910945,-2.7981281,1.5e-06
Ag1Gd1,B2,Ag,Gd,3.669226558929017,-8.9792455,4.0855841
Ag1Ge1,B2,Ag,Ge,3.3551313803865996,-3.39458685,-7e-07
Ag1Hf1,B2,Ag,Hf,3.3999679212901897,-6.2614455,1.3e-06
Ag1In1,B2,Ag,In,3.512894804646917,-2.62422355,-2.1e-06
Ag1Ir1,B2,Ag,Ir,3.1743040904973103,-5.0025155,0.7530843
Ag1La1,B2,Ag,La,3.810284805640961,-4.08175565,0.2416071
Ag1Mg1,B2,Ag,Mg,3.330670747183015,-2.4069436,2e-07
Ag1Mn1,B2,Ag,Mn,3.0584300345497293,-4.83581745,-0.0001033
Ag1Mo1,B2,Ag,Mo,3.215206439857441,-5.8702555,4e-07
Ag1Na1,B2,Ag,Na,3.571239173708281,-1.9951791,-2e-07
Ag1Nb1,B2,Ag,Nb,3.316475510685323,-5.8803355,-0.0
Ag1Ni1,B2,Ag,Ni,3.0457545196043188,-3.78961955,-8e-06
Ag1Os1,B2,Ag,Os,3.150907906904845,-5.7638215,-1e-07
Ag1Pb1,B2,Ag,Pb,3.6588659538982102,-3.04936565,-3.6e-06
Ag1Pd1,B2,Ag,Pd,3.214776746330491,-3.99743785,0.0
Ag1Pt1,B2,Ag,Pt,3.2145466942223107,-4.23247275,-1.6e-05
Ag1Re1,B2,Ag,Re,3.1666109640984104,-6.3446725,1.13e-05
Ag1Rh1,B2,Ag,Rh,3.179837381277619,-4.53216335,1.1163335
Ag1Ru1,B2,Ag,Ru,3.148564403879979,-5.113904,0.0060453
Ag1Sb1,B2,Ag,Sb,3.5736853214366513,-3.2340624,1.4e-06
Ag1Sc1,B2,Ag,Sc,3.437297950448256,-4.7943476,0.0
Ag1Se1,B2,Ag,Se,3.4293892759389335,-2.8992655,-4e-07
Ag1Si1,B2,Ag,Si,3.262432337243844,-3.600982,1.4e-06
Ag1Sn1,B2,Ag,Sn,3.564578477497716,-3.17491295,1.1e-06
Ag1Sr1,B2,Ag,Sr,3.927575799062772,-2.47148555,3e-07
Ag1Ta1,B2,Ag,Ta,3.291143648145928,-6.676029,-0.0
Ag1Tb1,B2,Ag,Tb,3.651402481703355,-3.96852865,3.7e-06
Ag1Tc1,B2,Ag,Tc,3.1628797804634594,-5.593526,-0.0052559
Ag1Ti1,B2,Ag,Ti,3.2791766244975697,-5.1111505,1.1898849
Ag1V1,B2,Ag,V,3.2114988660669286,-5.2687045,2.4243268
Ag1W1,B2,Ag,W,3.2078375577853384,-6.7002735,-7e-07
Ag1Y1,B2,Ag,Y,3.640843634814146,-4.92703645,-3e-06
Ag1Zn1,B2,Ag,Zn,3.1827883974960534,-2.0228083,0.0
Ag1Zr1,B2,Ag,Zr,3.442752764472836,-5.6342215,4e-07
Al1Ag1,B2,Al,Ag,3.2283091947362603,-3.20044005,-7e-07
Al1Al1,B2,Al,Al,3.2253523268910893,-3.69174885,5e-07
Al1As1,B2,Al,As,3.2851338271952257,-4.0131196,1e-07
Al1Au1,B2,Al,Au,3.216845599282832,-3.73937445,-6e-07
Al1B1,B2,Al,B,2.7835875077909935,-4.41998045,-3.3e-06
Al1Be1,B2,Al,Be,2.908433420355546,-3.45840155,-4.1e-06
