element,material_id,spacegroup,nsites,volume_per_atom,lattice_constant_bcc
Al,mp-aaacevps,Im-3m,1,16.115716,3.182437
Au,mp-aaafupuc,Im-3m,1,18.207026,3.314538
Ag,mp-aaafupqp,Im-3m,1,18.15385,3.311308
Be,mp-aaaaaaau,Im-3m,1,7.871164,2.506242
Ca,mp-aaaaaaav,Im-3m,1,42.710594,4.40408
Co,mp-aaafuptx,Im-3m,1,11.030657,2.80464
Cr,mp-aaaaaadm,Im-3m,2,13.084479,2.968899
Cu,mp-aaacevqw,Im-3m,1,11.458094,2.840408
Dy,mp-aaaaapxn,Im-3m,1,32.018347,4.000764
Er,mp-aaaaapxp,Im-3m,1,30.952684,3.955877
Fe,mp-aaaaaaan,Im-3m,2,11.734084,2.863033
Hf,mp-aaaaaadw,Im-3m,1,22.086781,3.534984
Ir,mp-aaafuptn,Im-3m,1,15.171592,3.119036
La,mp-aaaaaovn,Im-3m,1,38.319506,4.247662
Mg,mp-aaaaaaeg,Im-3m,1,22.285025,3.545529
Mn,mp-aaacibzw,Im-3m,1,10.818557,2.786547
Mo,mp-aaaaaaez,Im-3m,1,15.891628,3.167618
Nb,mp-aaaaaacx,Im-3m,1,18.258067,3.317632
Ni,mp-aaacfkfg,Im-3m,1,10.597426,2.767431
Os,mp-aaafupsx,Im-3m,1,14.86761,3.098064
Pb,mp-aaaabhou,Im-3m,1,31.033555,3.959319
Pd,mp-aaafupqv,Im-3m,1,15.547139,3.144562
Pt,mp-aaafupqx,Im-3m,1,15.904004,3.16844
Re,mp-aaafuptd,Im-3m,1,15.214418,3.121968
Rh,mp-aaafuprs,Im-3m,1,14.707489,3.086902
Sc,mp-aaaaapth,Im-3m,4,25.157963,3.691774
Sn,mp-aaaaakpm,Im-3m,1,27.204968,3.789304
Ta,mp-aaaaaaby,Im-3m,1,18.129973,3.309856
Tb,mp-aaaaaqyg,Im-3m,1,32.527068,4.021842
Ti,mp-aaaaaacv,Im-3m,1,17.189995,3.251636
V,mp-aaaaaafq,Im-3m,1,13.26378,2.982399
W,mp-aaaaaadn,Im-3m,1,15.932264,3.170316
Zn,mp-aaafupwf,Im-3m,1,15.451105,3.138074
Zr,mp-aaaaaabp,Im-3m,1,22.973948,3.581695
