element,material_id,spacegroup,nsites,volume_per_atom,lattice_constant_fcc
Al,mp-aaaaaafe,Fm-3m,1,16.471718,4.03893
Au,mp-aaaaaadd,Fm-3m,1,18.144738,4.171289
Ag,mp-aaaaaaeu,Fm-3m,1,17.285231,4.104356
Ca,mp-aaaaaabt,Fm-3m,1,43.360964,5.576816
Co,mp-aaaaaady,Fm-3m,1,10.841543,3.513314
Cr,mp-aaaaamub,Fm-3m,1,11.500578,3.583108
Cu,mp-aaaaaabe,Fm-3m,1,11.445999,3.577431
Dy,mp-aaaaapxm,Fm-3m,4,31.503477,5.013482
Er,mp-aaaaapxo,Fm-3m,1,30.500206,4.959687
Fe,mp-aaaaaafu,Fm-3m,1,12.212332,3.655551
Hf,mp-aaaaamui,Fm-3m,1,22.33667,4.470535
Ir,mp-aaaaaadx,Fm-3m,1,14.310383,3.853929
La,mp-aaaaaaga,Fm-3m,1,37.698813,5.322666
Mg,mp-aaacidek,Fm-3m,1,22.607221,4.488512
Mn,mp-aaaaamuc,Fm-3m,1,10.443235,3.469751
Mo,mp-aaaaamuf,Fm-3m,1,15.73202,3.977542
Nb,mp-aaaaamue,Fm-3m,1,18.832514,4.223341
Ni,mp-aaaaaaax,Fm-3m,1,10.49202,3.475146
Os,mp-aaaaamul,Fm-3m,1,14.200976,3.844083
Pb,mp-aaaabehv,Fm-3m,1,31.053715,4.989509
Pd,mp-aaaaaaac,Fm-3m,1,15.027995,3.917302
Pt,mp-aaaaaaew,Fm-3m,1,15.327454,3.94315
Re,mp-aaaaamuk,Fm-3m,1,14.866098,3.903184
Rh,mp-aaaaaacw,Fm-3m,1,13.78278,3.805972
Ru,mp-aaaaamuh,Fm-3m,1,13.624838,3.791378
Sc,mp-aaaaaabk,Fm-3m,1,25.196081,4.653692
Sn,mp-aaacgexp,Fm-3m,1,27.362534,4.783423
Ta,mp-aaaaakis,Fm-3m,1,18.151565,4.171812
Tb,mp-aaaaakpn,Fm-3m,1,32.004686,5.03993
Ti,mp-aaaaakir,Fm-3m,1,17.345855,4.109149
V,mp-aaaaamua,Fm-3m,1,13.639764,3.792762
W,mp-aaaaamuj,Fm-3m,1,15.903935,3.991978
Y,mp-aaaaaaaj,Fm-3m,1,33.240492,5.103982
Zn,mp-aaafupqq,Fm-3m,1,15.169425,3.929552
Zr,mp-aaaaamud,Fm-3m,1,23.228233,4.529241
