structure,element_A,element_B,selected_source,available_sources,n_entries,a_mean,a_cv,Omega_sf_King
B2,Ag,Al,OQMD,OQMD+VASP,1,3.228544,,-0.000305
B2,Ag,Au,OQMD,OQMD,1,3.289139,,0.045738
B2,Ag,Be,OQMD,OQMD,1,2.934411,,0.003795
B2,Ag,Ca,OQMD,OQMD+VASP,1,3.698354,,-0.166509
B2,Ag,Co,OQMD,OQMD+VASP,1,3.059184,,0.017619
B2,Ag,Cr,OQMD,OQMD+VASP,1,3.240892,,0.171018
B2,Ag,Cu,OQMD,OQMD+VASP,1,3.095603,,0.027481
B2,Ag,Dy,MP,MP+OQMD,1,3.606705,,-0.034646
B2,Ag,Er,MP,MP+OQMD,1,3.573981,,-0.043363
B2,Ag,Fe,OQMD,OQMD+VASP,1,3.109345,,0.042453
B2,Ag,Hf,OQMD,OQMD+VASP,1,3.400252,,-0.00153
B2,Ag,Ir,OQMD,OQMD,1,3.171832,,0.022241
B2,Ag,La,MP,MP+OQMD+VASP,1,3.807989,,0.018252
B2,Ag,Mg,MP,MP+OQMD+VASP,1,3.303938,,-0.105089
B2,Ag,Mn,OQMD,OQMD+VASP,1,3.208205,,0.128103
B2,Ag,Mo,OQMD,OQMD+VASP,1,3.214485,,0.017492
B2,Ag,Nb,OQMD,OQMD+VASP,1,3.299175,,0.02486
B2,Ag,Ni,OQMD,OQMD+VASP,1,3.050897,,0.01413
B2,Ag,Os,OQMD,OQMD,1,3.146869,,0.00402
B2,Ag,Pb,OQMD,OQMD,1,3.636279,,0.014748
B2,Ag,Pd,OQMD,OQMD+VASP,1,3.192069,,0.023538
B2,Ag,Pt,OQMD,OQMD,1,3.208888,,0.027547
B2,Ag,Re,OQMD,OQMD,1,3.159782,,-0.007083
B2,Ag,Rh,OQMD,OQMD,1,3.172163,,0.035868
B2,Ag,Ru,OQMD,OQMD+VASP,1,3.14978,,0.020153
B2,Ag,Sc,MP,MP+OQMD+VASP,1,3.421103,,-0.047746
B2,Ag,Sn,OQMD,OQMD+VASP,1,3.545429,,0.010253
B2,Ag,Ta,OQMD,OQMD+VASP,1,3.289318,,0.014659
B2,Ag,Tb,MP,MP+OQMD,1,3.623457,,-0.032085
B2,Ag,Ti,OQMD,OQMD+VASP,1,3.262912,,0.000833
B2,Ag,V,OQMD,OQMD+VASP,1,3.200539,,0.061504
B2,Ag,W,OQMD,OQMD+VASP,1,3.212093,,0.006986
B2,Ag,Y,MP,MP+OQMD+VASP,1,3.625051,,-0.048768
B2,Ag,Zn,MP,MP+OQMD+VASP,1,3.142336,,-0.038419
B2,Ag,Zr,OQMD,OQMD+VASP,1,3.437833,,0.007206
B2,Al,Au,MP,MP+OQMD,1,3.223942,,-0.001757
B2,Al,Be,OQMD,OQMD,1,2.911784,,-0.001031
B2,Al,Ca,OQMD,OQMD+VASP,1,3.712195,,-0.150692
B2,Al,Co,MP,MP+OQMD+VASP,1,2.819403,,-0.190188
