element,King_V,MP_V_BCC,MP_a_BCC,MP_V_FCC,MP_a_FCC
Ag,17.061,18.1538,3.3113,17.2852,4.1044
Al,16.602,16.1157,3.1824,16.4717,4.0389
Au,16.966,18.207,3.3145,18.1447,4.1713
Be,8.111,7.8712,2.5062,,
Ca,43.63,42.7106,4.4041,43.361,5.5768
Ce,34.367,,,,
Co,11.073,11.0307,2.8046,10.8415,3.5133
Cr,12.008,13.0845,2.9689,11.5006,3.5831
Cu,11.81,11.4581,2.8404,11.446,3.5774
Dy,31.54,32.0183,4.0008,31.5035,5.0135
Er,30.66,30.9527,3.9559,30.5002,4.9597
Fe,11.776,11.7341,2.863,12.2123,3.6556
Hf,22.312,22.0868,3.535,22.3367,4.4705
Ir,14.155,15.1716,3.119,14.3104,3.8539
La,37.168,38.3195,4.2477,37.6988,5.3227
Mg,23.24,22.285,3.5455,22.6072,4.4885
Mn,12.21,10.8186,2.7865,10.4432,3.4698
Mo,15.583,15.8916,3.1676,15.732,3.9775
Nb,17.978,18.2581,3.3176,18.8325,4.2233
Ni,10.941,10.5974,2.7674,10.492,3.4751
Os,13.977,14.8676,3.0981,14.201,3.8441
Pb,30.321,31.0336,3.9593,31.0537,4.9895
Pd,14.716,15.5471,3.1446,15.028,3.9173
Pt,15.095,15.904,3.1684,15.3275,3.9432
Re,14.712,15.2144,3.122,14.8661,3.9032
Rh,13.754,14.7075,3.0869,13.7828,3.806
Ru,13.571,,,13.6248,3.7914
Sc,24.987,25.158,3.6918,25.1961,4.6537
Sn,27.053,27.205,3.7893,27.3625,4.7834
Ta,18.014,18.13,3.3099,18.1516,4.1718
Tb,32.09,32.5271,4.0218,32.0047,5.0399
Ti,17.649,17.19,3.2516,17.3459,4.1091
V,13.824,13.2638,2.9824,13.6398,3.7928
W,15.85,15.9323,3.1703,15.9039,3.992
Y,33.018,,,33.2405,5.104
Zn,15.207,15.4511,3.1381,15.1694,3.9296
Zr,23.279,22.9739,3.5817,23.2282,4.5292
