element,radius
Ac,1.97392587
Ag,1.4243424180907944
Al,1.3585157046533378
As,1.4092391035763052
Au,1.395229305145291
B,1.0930815667614895
Ba,2.084874463333333
Be,1.0966555844191195
Bi,1.7112451558991444
Ca,1.7580209114387624
Cd,1.5215318681108054
Ce,1.7877846931984878
Co,1.168011591352951
Cr,1.3206729060392863
Cs,2.14142718
Cu,1.2569237904601427
Dy,1.7001803888623712
Er,1.6680625129504318
Eu,1.8967788241945007
Fe,1.2198298213647727
Ga,1.355741356516606
Gd,1.7372869856929198
Hf,1.539163652960381
Hg,1.515690015252925
Ho,1.6783066717111585
In,1.55328446168341
Ir,1.2637693338901548
La,1.8703668657346917
Li,1.3216780125071246
Lu,1.6304818263498546
Mg,1.5449116932195883
Mn,1.3097978957856982
Mo,1.429842917487879
Nb,1.508620621509936
Nd,1.8085321688816967
Ni,1.180502502426403
Np,1.623559343823383
Os,1.2644890999941931
Pb,1.7321535853119403
Pd,1.3126614333733926
Pm,1.8060111229087898
Pr,1.8272045112077513
Pt,1.3314088257343208
Pu,1.6340405153985216
Rb,2.105087375
Re,1.2875072998695023
Rh,1.2584663161717737
Ru,1.2434429975593495
Sb,1.6327829797663713
Sc,1.5364307670264368
Si,1.2996786814280012
Sm,1.7637124826348132
Sn,1.6162055363971455
Sr,1.9385829805567893
Ta,1.4914290125539353
Tb,1.718161735810759
Tc,1.2741174680974285
Th,1.7349257392238606
Ti,1.4105599294574755
Tl,1.6273344840242425
Tm,1.6528597450773266
U,1.6168447441813891
V,1.3101340665803243
W,1.4345922008020011
Y,1.7100908324534194
Yb,1.6331414670326676
Zn,1.3424395838841425
Zr,1.5657245520342422
