element,radius
Ac,1.9083254016226352
Ag,1.4264426860773138
Al,1.388952801460413
As,1.4250140247646474
Au,1.4330424597685016
B,0.5005453019680552
Ba,2.122470473850793
Be,1.0526106009134006
Bi,1.7227328780177553
Ca,1.8650443458169916
Cd,1.5121840287540878
Ce,1.6855326327316895
Co,1.1807874150226516
Cr,1.263757124645592
Cs,2.2578361134859004
Cu,1.1761468435182083
Dy,1.7197744865260078
Er,1.6831648423506191
Eu,1.8458942434822472
Fe,1.2308032453818152
Ga,1.4320861642543936
Gd,1.75020182855813
Ge,1.452517245407899
Hf,1.5212985512929227
Hg,1.5679955091995699
Ho,1.7236754820460265
In,1.5960602632391283
Ir,1.3110358066571461
K,2.0998508106983538
La,1.780233782099666
Li,1.434802468826131
Lu,1.6437177628979178
Mg,1.5300197339882136
Mn,1.2373924901325144
Mo,1.4045683088474468
Na,1.7281618601452329
Nb,1.4470382025631945
Nd,1.7881009539881045
Ni,1.080318537229887
Np,1.5250466173130823
Os,1.302408321732138
Pa,1.5847149841058097
Pb,1.6766771133101805
Pd,1.2749519246665353
Pm,1.7423200251168827
Pr,1.7945135584479905
Pt,1.3125884758581212
Pu,1.5623305910074357
Rb,2.2440099748718696
Re,1.3692262374790805
Rh,1.2753428782688312
Ru,1.2296356869746954
Sb,1.6399518234962889
Sc,1.5406613392186144
Si,1.3140015630908695
Sm,1.764622097098108
Sn,1.6244219256914991
Sr,1.96654010387196
Ta,1.43282392371539
Tb,1.717517178693015
Tc,1.347037725254733
Th,1.7576634863887521
Ti,1.416869087131989
Tl,1.6671807001320267
Tm,1.6667931734718477
U,1.4869618905922988
V,1.3486294309894582
W,1.3685747452111265
Y,1.7311967879457846
Yb,1.647660414567601
Zn,1.3448369358029173
Zr,1.5507760833598607
