element,radius
Ac,1.9110308186025766
Ag,1.4467853355972429
Al,1.4064016308063603
As,1.4121739126940498
Au,1.4290855330774097
B,1.0704635366813264
Ba,2.0348977740769865
Be,1.194751432129262
Bi,1.692056039030513
Ca,1.8279580037635998
Cd,1.5476624737165188
Ce,1.8245776264764395
Co,1.1853514891589028
Cr,1.3253379021982188
Cs,2.2592601898111404
Cu,1.278855425045215
Dy,1.7109616072096019
Er,1.6908336039956655
Eu,1.8226067229131744
Fe,1.2120826890732805
Ga,1.4056270088135987
Gd,1.734305510663438
Ge,1.4104792089718035
Hf,1.4976000384072774
Hg,1.5543364126403427
Ho,1.7110396442607865
In,1.5857237838882008
Ir,1.2852762726047624
K,2.0699883708683817
La,1.8301794186437512
Li,1.3678097069859314
Lu,1.6630712717357952
Mg,1.5379233607779497
Mn,1.2769198437035507
Mo,1.3343288351844653
Na,1.6987987070663806
Nb,1.4062222132403202
Nd,1.7899052980800259
Ni,1.196943562248414
Np,1.6016471545615296
Os,1.271375089814242
Pa,1.6285568229164418
Pb,1.680650683175068
Pd,1.335329387894137
Pm,1.7749493257270774
Pr,1.8136949178100177
Pt,1.334220819538191
Pu,1.628727755906351
Rb,2.2109065349682453
Re,1.2893205829821959
Rh,1.280538473105702
Ru,1.2653947878910101
Sb,1.606582057565169
Sc,1.5480181721235093
Si,1.3343379101012594
Sm,1.7649589161453048
Sn,1.5980019362542448
Sr,1.98747978532276
Ta,1.3972961556724715
Tb,1.724153861127295
Tc,1.2850784089085538
Th,1.7709966902261913
Ti,1.3816200672909742
Tl,1.634796786976946
Tm,1.6849554233702357
U,1.6026953489272509
V,1.3203766213613597
W,1.3327907942926913
Y,1.7321175841746246
Yb,1.7835531703204686
Zn,1.3680116554316373
Zr,1.5287040098381437
