element,radius
Ag,1.4263658024412464
Al,1.398068353878092
Au,1.4330341124782708
Bi,1.2687829961016035
Ca,1.7665691760326803
Cd,1.5032121811573327
Ce,1.737447859120145
Co,1.1102311564994831
Cr,1.4111912198308443
Cu,1.262702272554175
Dy,1.5872372924223963
Er,1.5795255878224215
Eu,1.679208115500989
Fe,1.1057215341726139
Ga,1.4148152798568232
Gd,1.5900419597673656
Ge,1.3560129983263947
Hf,1.5072848018409482
Hg,1.5717636852474715
Ho,1.5852508547868538
In,1.621745502409391
Ir,1.304327404522693
La,1.7485663197317771
Li,1.4400910173309536
Lu,1.5607361697764883
Mg,1.4931624895264364
Mn,1.2662407477789948
Na,1.7666418832161708
Nb,1.4526470756201666
Nd,1.6643313740769237
Ni,1.1741805040489226
Np,1.60777408584404
Pa,1.5978772012508358
Pb,1.7173283820618646
Pd,1.2942478414011718
Pr,1.7103242875143605
Pt,1.3302983237819155
Pu,1.6069476730663699
Rh,1.2616887039026696
Ru,1.270785653328616
Sb,1.4201703438365278
Sc,1.4991760073516778
Si,1.2802015588201914
Sm,1.6894883426767409
Sn,1.642435997073635
Sr,2.302686076451034
Ta,1.4704988518521158
Tb,1.6532564715423432
Th,1.7105469470891133
Ti,1.4114386366063183
Tl,1.6742232396025452
Tm,1.584860232126932
U,1.5835480951595224
V,1.3596710159529353
Y,1.599890137148465
Yb,1.5819840720975606
Zn,1.3553727778560793
Zr,1.5219386748560184
