number_of_elements,mean_atomic_mass,mean_fie,mean_atomic_radius,mean_Density,mean_ElectronAffinity,mean_FusionHeat,mean_ThermalConductivity,mean_Valence,critical_temp
2,82.76819,711.8,161.5,6946.5,104.05,29.3,57.0,4.5,6.4
4,76.4445625,794.0,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,91.2
5,88.936744,743.42,170.6,4617.8858,71.69,7.8044,89.605316,2.4,38.0
4,76.5177175,787.05,151.75,4434.35725,79.6075,6.9055,112.006645,2.25,19.0
3,104.60849,722.1,162.666666666667,7081.66666666667,106.466666666667,15.9,50.84,5.0,11.0
5,72.32465,787.02,162.8,4963.4858,65.23,9.3044,102.805316,2.4,62.0
5,74.23165,816.36,160.0,4816.6858,62.09,8.0144,111.005316,2.2,84.0
5,88.936744,743.42,170.6,4617.8858,71.69,7.8044,89.605316,2.4,50.1
5,103.41069,767.32,160.4,5602.2858,82.626,7.8244,91.205316,3.0,35.0
4,76.5177175,787.05,151.75,4434.35725,79.6075,6.9055,112.006645,2.25,8.02
3,206.854566666667,669.0,151.0,10990.0,50.0,6.62333333333333,29.6666666666667,4.0,7.214
3,27.661,731.766666666667,136.0,2901.66666666667,12.9333333333333,25.8,69.6666666666667,3.0,37.5
6,97.0657083333333,753.616666666667,166.166666666667,7295.40483333333,61.255,11.8703333333333,85.1710966666667,3.33333333333333,33.5
5,103.010254,770.22,150.0,5503.4858,82.226,7.7044,91.205316,2.8,33.0
3,87.5133333333333,724.733333333333,170.666666666667,5909.66666666667,92.1433333333333,16.4666666666667,58.1733333333333,4.66666666666667,5.0
5,102.68448,850.28,161.4,7257.0858,70.55,11.9224,113.065316,2.8,40.0
2,82.76819,711.8,161.5,6946.5,104.05,29.3,57.0,4.5,21.8
6,83.8915416666667,754.516666666667,162.0,4825.5715,56.75,7.672,114.50443,2.5,80.0
5,74.23165,816.36,160.0,4816.6858,62.09,8.0144,111.005316,2.2,77.0
4,96.4516525,787.4,167.0,5447.85725,82.3375,9.5305,108.756645,2.25,90.1
3,118.160533333333,743.9,166.666666666667,10469.0,61.2666666666667,26.3,64.3333333333333,5.0,4.65
2,143.99519,765.85,187.5,15010.0,147.2,23.4,62.5,5.5,8.111
4,81.75669875,741.475,168.75,6502.75,44.3375,16.425,61.75,3.5,18.9
2,80.767925,687.7,168.5,4897.5,75.8,21.6,38.5,3.5,2.35
5,60.93397464,1047.9,111.0,3950.025,123.64,9.6564,28.410856,2.8,14.3
5,70.40625,781.46,162.8,5268.6858,74.686,13.7444,118.205316,3.0,43.0
3,89.2368173,691.666666666667,185.666666666667,4857.33333333333,86.9,7.09666666666667,38.5066666666667,3.33333333333333,29.2
7,101.10465,730.857142857143,161.142857142857,5829.06128571429,51.6,7.176,104.718082857143,2.57142857142857,92.0
3,103.959373333333,688.9,176.333333333333,4915.33333333333,100.833333333333,4.97666666666667,8.735,4.33333333333333,4.33
7,99.00849,697.757142857143,181.857142857143,5533.48985714286,73.0042857142857,9.97457142857143,75.2895114285714,3.14285714285714,18.4
2,61.78575,705.05,148.0,5716.5,86.3,27.3,45.5,4.5,6.5
3,99.294373,863.466666666667,151.0,8677.33333333333,136.933333333333,42.9666666666667,159.0,4.0,10.1
3,117.368,722.166666666667,172.0,7972.0,75.7333333333333,18.7333333333333,56.6666666666667,3.66666666666667,1.17
4,76.4445625,794.0,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,92.1
5,95.50928,742.52,177.4,4334.2858,67.176,7.4044,98.405316,2.2,82.0
3,90.6108333333333,697.333333333333,177.666666666667,5954.33333333333,68.5833333333333,24.9666666666667,79.6666666666667,3.33333333333333,2.91
4,69.835425,909.65,131.25,4241.56275,99.3,8.665,27.0364575,3.25,24.1
4,139.8905,708.35,170.5,11302.25,58.975,10.265,84.75,3.75,0.194
5,88.900002,777.16,163.4,6139.8858,88.57,11.0644,105.205316,2.2,86.0
4,90.1422625,781.2,156.25,5572.60725,91.35,6.4305,106.006645,3.0,16.0
4,95.45068,783.65,168.0,5316.60725,82.3375,9.5805,108.506645,2.25,68.5
4,76.797975,656.575,191.5,4491.75,40.5125,12.9575,61.75,2.75,34.0
3,95.1024,828.533333333333,168.666666666667,6927.80966666667,90.3333333333333,12.4706666666667,76.00886,3.0,1.76
5,88.936744,743.42,170.6,4617.8858,71.69,7.8044,89.605316,2.4,89.3
4,17.25963465,658.65,129.25,1858.25,33.7,18.1,126.75,2.25,25.1
6,95.6241166666667,767.683333333333,159.5,5753.5715,50.6533333333333,6.727,126.671096666667,2.16666666666667,93.0
5,88.45565,796.32,162.4,7416.6858,63.206,13.1444,100.005316,3.2,43.1
5,85.29888,799.58,158.8,5324.2858,66.17,7.1544,111.005316,2.2,72.7
6,91.7065916666667,725.716666666667,168.0,5057.23816666667,55.5866666666667,7.577,113.50443,2.33333333333333,86.1
5,83.39017064,1044.32,113.4,3676.625,163.54,4.0024,4.251856,3.6,3.5
5,89.90228,809.48,162.8,5735.4858,66.17,9.7144,110.605316,2.2,32.0
4,117.108375,738.7,167.0,11505.25,85.85,27.2,84.5,4.5,1.63
3,95.6501166666667,750.933333333333,167.333333333333,6819.66666666667,108.8,16.1766666666667,50.0683333333333,5.0,1.8
4,104.3656,891.65,154.25,6501.35725,69.8375,5.903,106.581645,2.0,96.0
4,90.2786,773.025,163.0,4870.35725,82.3375,7.1055,108.756645,2.25,85.0
5,69.17125,753.08,170.4,3698.6858,62.564,8.2524,127.005316,2.2,34.85
5,72.942289,786.82,162.0,5168.6858,74.83,9.7844,107.005316,2.6,50.6
2,69.5455,658.75,191.0,5509.0,25.85,19.85,22.5,4.0,1.8
2,146.6435,789.2,179.0,17465.0,127.65,25.85,135.0,6.0,0.11
1,207.2,715.2,154.0,11340.0,36.6,4.77,35.0,4.0,7.175
6,110.320616666667,790.816666666667,161.166666666667,6567.5715,50.6533333333333,6.05866666666667,112.05443,2.16666666666667,34.0
5,61.48468,757.04,138.2,5915.8,80.14,43.4,61.0,3.4,2.94
2,141.56819,741.7,191.5,15580.0,97.6,28.9,70.5,5.5,0.94
5,89.74688,728.22,174.2,4422.2858,67.176,7.2844,94.005316,2.2,75.0
5,78.481359,774.34,163.4,6630.2,35.77,14.61,73.4,3.2,5.0
6,90.7824,720.983333333333,176.833333333333,5398.5715,68.2133333333333,12.0703333333333,101.50443,2.83333333333333,22.5
3,93.7797933333333,650.166666666667,159.666666666667,7261.33333333333,75.6,13.13,50.0,4.0,14.6
4,54.5368875,826.2,133.75,5303.75,67.475,45.775,63.75,3.5,21.0
5,74.23165,816.36,160.0,4816.6858,62.09,8.0144,111.005316,2.2,84.7
4,45.71635,714.95,143.0,5981.5,64.5,21.725,68.5,2.5,7.4
5,101.94881,726.82,184.8,4871.0858,76.17,7.5044,89.005316,2.6,41.0
5,104.07756,768.3,152.2,5676.2858,82.626,7.8644,92.005316,2.8,55.28
3,94.91885,823.6,157.333333333333,8660.66666666667,88.8666666666667,50.4666666666667,109.0,4.33333333333333,14.8
2,101.861925,586.7,184.0,5891.0,30.75,7.33,49.5,3.0,0.78
