element,r_calc,r_pauling
Ag,1.5098495086778367,1.44
Al,1.5135777477334422,1.43
As,1.441556859662799,1.21
Ca,1.7769061406194362,1.97
Cd,1.5876863835580441,1.52
Ce,1.7566843069181577,1.83
Co,1.785522555620073,1.25
Cr,1.6540099180022425,1.29
Cu,1.7074173082195965,1.28
Fe,1.7074173082195967,1.26
Ga,1.4950599091086012,1.53
Gd,1.8000719740330644,1.8
Ge,1.4768127538508635,1.22
Hf,1.5842363808149054,1.59
In,1.640133184737526,1.67
La,1.7997639492004456,1.87
Mg,1.614279988943727,1.6
Mn,1.5812032259727102,1.37
Mo,1.548441422090993,1.4
Na,1.7561051112271846,1.9
Nb,1.4874475458093364,1.47
Ni,1.684658366222835,1.25
Pd,1.624677446756725,1.37
Ru,1.6640296411046902,1.34
Sb,1.623423209107504,1.61
Sc,1.6096314308837267,1.64
Se,1.4296403501067247,1.17
Si,1.5125678955044357,1.17
Sn,1.624841421977069,1.58
Sr,1.8816943838034546,2.15
Ta,1.5106279965964107,1.47
Ti,1.6184685291478837,1.47
V,1.5792722193726,1.35
W,1.5502165825393392,1.41
Y,1.7215042743289022,1.82
Zn,1.51065269650374,1.37
Zr,1.584433275210512,1.6
