element,r_B2,r_L12,r_combined,r_pauling
Ag,1.4491950257145652,1.4862081844280328,1.4762875937309818,1.44
Al,1.3885399968244405,1.4474924006835703,1.4329211654933227,1.43
As,1.4164527421233077,,1.3945206664206944,1.21
Au,,1.4883229746209594,1.4903230051249228,1.44
B,1.052101008575011,,1.0301689331930866,0.98
Ba,,1.9076433810856421,1.9096305046582778,2.22
Ca,1.8166678248203048,1.7599452738220531,1.768297213810448,1.97
Cd,1.5531694732537162,1.5302827895905688,1.5320660574550833,1.52
Ce,1.7616998303681042,1.6148164564191645,1.6406721695510667,1.83
Co,1.1806610821153884,1.2865737954086423,1.26312452141437,1.25
Cr,1.2846223060583188,1.3380217866596493,1.3247440334226857,1.29
Cu,1.27315028136178,1.3462965011128203,1.3293322503155893,1.28
Dy,,1.6414438808713774,1.6433950845068592,1.77
Er,,1.5253577057813283,1.5274381751526536,1.75
Eu,,1.7027124584199036,1.7047257751126121,2.04
Fe,1.2062697262092574,1.303754106419984,1.2817722267931726,1.26
Ga,1.4063554482693446,1.4720190206574386,1.4563192894178394,1.53
Gd,1.8482037890911744,1.691692939709605,1.7085702370465121,1.8
Ge,1.4183470883409635,1.4806489314475568,1.4656129259691866,1.22
Hf,1.5088623764820381,1.555442825459616,1.543360216195992,1.59
Hg,,1.5795589095408973,1.581509065986053,1.55
Ho,,1.6201402188663163,1.6221244502898127,1.76
In,1.5963231818850687,1.63254428851585,1.6227780978409918,1.67
Ir,,1.380622243846844,1.3825724002629032,1.36
La,1.8458534432533071,1.752098456489213,1.76766937774482,1.87
Lu,,1.654939005121834,1.6568891614586,1.74
Mg,1.5214461754823532,1.558643600029093,1.5485641082023816,1.6
Mn,1.2337939256182249,1.328754271423188,1.3075376467927744,1.37
Mo,1.347547481995269,1.4461737773186418,1.4241300054140806,1.4
Na,1.6970462101570374,,1.6751141344683085,1.9
Nb,1.4109672021830737,1.5036528881785083,1.4826176887482314,1.47
Nd,,1.6409478794514332,1.6429484891734563,1.81
Ni,1.2006379745186282,1.301219466645085,1.2789070744100115,1.25
Os,,1.3918480087099232,1.3937981650809819,1.35
Pb,,1.7169656559583317,1.718915812371882,1.75
Pd,1.345905188022712,1.4039089773209907,1.389721898654902,1.37
Pr,,1.6421064133812393,1.6441462753983813,1.82
Pt,,1.4144667758483924,1.4164169322382287,1.39
Re,,1.3998410690232557,1.4016610096329325,1.37
Rh,,1.363499860757938,1.3654626557840093,1.34
Ru,1.2664873967273944,1.3895489999501498,1.3628544087363512,1.34
Sb,1.6067361812123193,,1.584804105502127,1.61
Sc,1.550101718846969,1.5823404417926,1.5731659657591526,1.64
Se,1.4518880272854067,,1.4299559516051223,1.17
Si,1.3293363226205746,1.3944285776719327,1.3788416447438185,1.17
Sm,,1.6938948975420218,1.6955850757140607,1.8
Sn,1.6066084143776305,1.6469426217840224,1.6362438163703783,1.58
Sr,2.000406728356629,1.803552880213984,1.8389113860845738,2.15
Ta,1.401934107431021,1.4786295313457616,1.4607513838098485,1.47
Tb,,1.5917846257171304,1.593840903586091,1.78
Tc,1.287213859023662,1.389079845867971,1.3662328794532201,1.35
Ti,1.3826604308035715,1.4372298434590087,1.4237591061231245,1.47
Tm,,1.6011795540541198,1.6032193896346674,1.74
V,1.3058639972511366,1.387681637661488,1.3690270088278622,1.35
W,1.3303354008728823,1.4558677188781994,1.4283474154036846,1.41
Y,1.724349741693306,1.7129647144896178,1.712476151234389,1.82
Zn,1.366831960844757,1.41683296215479,1.4042252519160658,1.37
Zr,1.533709320200704,1.5803979096083283,1.5684445209513296,1.6
