element,r_B2,r_L12,r_combined,r_pauling
Ag,1.4489658819428157,1.4661881600085651,1.4587793322589802,1.44
Al,1.3600410157736393,1.4071946029449858,1.392639770102303,1.43
Au,,1.4638746732575056,1.46761020565066,1.44
Co,1.2017941617989003,1.2582587441634085,1.2419495998520271,1.25
Cr,1.2651872214019009,1.3028628040984773,1.2908150825371254,1.29
Cu,1.2575132522045938,1.3169940503403799,1.3000008158467735,1.28
Fe,1.1989311607216386,1.2852807354190678,1.2621935516683536,1.26
Hf,1.5237597722077896,1.548745432868998,1.5393513871863662,1.59
Mg,1.506310344357044,1.5293652453045845,1.5204206886878093,1.6
Mn,1.2216686576873461,1.298691298391056,1.2777195018663035,1.37
Mo,1.3642615114802643,1.404326923243188,1.3917371786563988,1.4
Nb,1.4353974288655253,1.4758222070694165,1.4631509566314784,1.47
Ni,1.2043050449021144,1.2673982406739945,1.2495856997508707,1.25
Pd,1.362254301129807,1.3895784671479847,1.3798784895221978,1.37
Pt,,1.3963637224140466,1.3999518918424256,1.39
Re,,1.3750951903637,1.378521970827819,1.37
Sc,1.5582695068004044,1.5742399687402766,1.5671150580649618,1.64
Si,1.3012735157031865,1.3611517594473759,1.3436345728298684,1.17
Ta,1.4238661037839038,1.4709782899134707,1.4567903077357747,1.47
Ti,1.3908536090336414,1.4341066310563324,1.4207939232580302,1.47
V,1.3025509033313565,1.350481543292833,1.3361079322658644,1.35
W,1.3515411731149927,1.4110983663648078,1.3940878053312016,1.41
Y,1.7407682210734128,1.6995061579706572,1.7055348626981714,1.82
Zn,1.3391835811641422,1.3781066495727268,1.3657759929920323,1.37
Zr,1.5512513549821154,1.5683135158518446,1.5607640944569974,1.6
