directory,composition,structure_type,element_A,element_B,a_DFT,a_calc,error,rel_error_pct
Ag1Ag1,Ag2,B2,Ag,Ag,3.30086,3.3467725528182837,0.04591255281828355,1.3909269953370802
Ag1Al1,Ag1Al1,B2,Ag,Al,3.22831,3.276734158303448,0.04842415830344793,1.4999847692274884
Ag1As1,Ag1As1,B2,Ag,As,3.35764,3.3089650203276926,-0.048674979672307384,-1.4496783357449692
Ag1B1,Ag1B1,B2,Ag,B,2.89237,2.8882478774400613,-0.004122122559938823,-0.14251712470876213
Ag1Ca1,Ag1Ca1,B2,Ag,Ca,3.71172,3.771093591785412,0.059373591785411683,1.5996247503963574
Ag1Cd1,Ag1Cd1,B2,Ag,Cd,3.38371,3.466831903369427,0.0831219033694266,2.456531539919987
Ag1Ce1,Ag1Ce1,B2,Ag,Ce,3.71641,3.707622018997828,-0.008787981002172263,-0.23646424915906109
Ag1Co1,Ag1Co1,B2,Ag,Co,3.06525,3.0366962635712107,-0.02855373642878911,-0.9315304274949551
Ag1Cr1,Ag1Cr1,B2,Ag,Cr,3.27566,3.1567403448286786,-0.11891965517132119,-3.630402885870976
Ag1Cu1,Ag1Cu1,B2,Ag,Cu,3.10804,3.1434935917352855,0.03545359173528562,1.1407057739052784
Ag1Fe1,Ag1Fe1,B2,Ag,Fe,3.12805,3.066266578693564,-0.061783421306436104,-1.9751417434643344
Ag1Ga1,Ag1Ga1,B2,Ag,Ga,3.31019,3.297305669678348,-0.012884330321651927,-0.38923234985459826
Ag1Gd1,Ag1Gd1,B2,Ag,Gd,3.66923,3.807508186707294,0.13827818670729375,3.7685886877435792
Ag1Ge1,Ag1Ge1,B2,Ag,Ge,3.35513,3.3111524229250966,-0.04397757707490335,-1.3107562769521106
Ag1Hf1,Ag1Hf1,B2,Ag,Hf,3.39997,3.4156704748731483,0.015700474873148185,0.4617827472933051
Ag1In1,Ag1In1,B2,Ag,In,3.51289,3.516661513959111,0.003771513959110795,0.10736214225639844
Ag1La1,Ag1La1,B2,Ag,La,3.81028,3.8047942411029307,-0.0054857588970693705,-0.143972592488462
Ag1Mg1,Ag1Mg1,B2,Ag,Mg,3.33067,3.4302009943536684,0.09953099435366841,2.9883174962895875
Ag1Mn1,Ag1Mn1,B2,Ag,Mn,3.21443,3.098048786569557,-0.11638121343044316,-3.6205863381826067
Ag1Mo1,Ag1Mo1,B2,Ag,Mo,3.21521,3.229400079360684,0.01419007936068395,0.441342225256949
Ag1Na1,Ag1Na1,B2,Ag,Na,3.57124,3.6329664489319415,0.06172644893194157,1.7284318312950564
Ag1Nb1,Ag1Nb1,B2,Ag,Nb,3.31648,3.3026308644054034,-0.01384913559459644,-0.41758537951672975
Ag1Ni1,Ag1Ni1,B2,Ag,Ni,3.05305,3.059763591984376,0.006713591984376155,0.21989787210743864
Ag1Pd1,Ag1Pd1,B2,Ag,Pd,3.21478,3.2275037216263955,0.012723721626395346,0.39578825382748883
Ag1Ru1,Ag1Ru1,B2,Ag,Ru,3.14856,3.1357999552608016,-0.012760044739198229,-0.4052660498513044
Ag1Sb1,Ag1Sb1,B2,Ag,Sb,3.57369,3.52868540988843,-0.045004590111569875,-1.2593311146621524
Ag1Sc1,Ag1Sc1,B2,Ag,Sc,3.4373,3.4632895657043408,0.025989565704340745,0.7561040847275695
