material_id,formula,structure_type,element_A,element_B,count_A,count_B,lattice_constant,energy_per_atom,energy_above_hull
mp-1187447,ThPa3,L1$_2$,Th,Pa,1.0,3.0,4.736582,-75.93405369000001,0.07677548249999601
mp-1186796,Pu3Ta,L1$_2$,Pu,Ta,3.0,1.0,4.199416,-75.85687789410416,1.058341397500001
mp-568042,Np3Tl,L1$_2$,Np,Tl,3.0,1.0,4.647348,-75.02390899333335,0.539075800104157
mp-979114,Th3U,L1$_2$,Th,U,3.0,1.0,4.926054,-74.84719079625002,0.24476497249999302
mp-1002230,PuBi,B2,Pu,Bi,1.0,1.0,3.88311615,-73.07098046,0.097358764999995
mp-1184544,GdNp3,L1$_2$,Gd,Np,1.0,3.0,4.609486,-72.44244101000001,0.674968963437493
mp-580329,Pu3Sn,L1$_2$,Pu,Sn,3.0,1.0,4.7515794,-71.618475575,0.0
mp-1005727,TmNp3,L1$_2$,Tm,Np,1.0,3.0,4.616898,-70.37746385416666,0.6709568667708361
mp-614895,Pu3In,L1$_2$,Pu,In,3.0,1.0,4.346444,-70.25080465812499,0.38907912250000704
mp-1006245,ErNp3,L1$_2$,Er,Np,1.0,3.0,4.691813,-70.06570605666667,0.6838113834375
mp-1186385,Pa3Hg,L1$_2$,Pa,Hg,3.0,1.0,4.628743,-69.832105226875,0.151860038750001
mp-1184926,HoNp3,L1$_2$,Ho,Np,1.0,3.0,4.638694,-69.79966866875,0.688825958437504
mp-1187049,Th3Pb,L1$_2$,Th,Pb,3.0,1.0,4.98454339,-69.402885245,0.056559346875005
mp-1018042,UBi,B2,U,Bi,1.0,1.0,3.829861,-69.28478042875001,0.11168422999999401
mp-981435,LaNp3,L1$_2$,La,Np,1.0,3.0,4.5676369999999995,-68.998301465,0.7060522346875041
mp-581934,Pu3Ge,L1$_2$,Pu,Ge,3.0,1.0,4.58766757,-68.8821095375,0.0
mp-1184404,EuU3,L1$_2$,Eu,U,1.0,3.0,4.491149,-68.858468235,0.728279912499999
mp-981662,YbU3,L1$_2$,Yb,U,1.0,3.0,4.486130253248775,-68.5175046525,0.5713675125000031
mp-571075,Np3Sn,L1$_2$,Np,Sn,3.0,1.0,4.592665,-68.28716850583335,0.274282721666665
mp-607223,Np3In,L1$_2$,Np,In,3.0,1.0,4.58106,-67.4724703575,0.44033588593750006
mp-20486,Pu3Ga,L1$_2$,Pu,Ga,3.0,1.0,4.131532,-67.43411455375,0.47477692249999803
mp-1183992,CsNp3,L1$_2$,Cs,Np,1.0,3.0,4.671867,-66.94068761198277,1.6045842864547382
mp-1185105,LaU3,L1$_2$,La,U,1.0,3.0,4.54601,-66.82206661625,0.5706559037499941
mp-1187600,YbPa3,L1$_2$,Yb,Pa,1.0,3.0,4.663464431180695,-66.6435648675,0.130793463749995
mp-1187864,YNp3,L1$_2$,Y,Np,1.0,3.0,4.669545,-66.62629872166666,0.720260166770842
mp-978994,TmPa3,L1$_2$,Tm,Pa,1.0,3.0,4.706554,-66.25895295166667,0.163322755833334
mp-1184331,ErPa3,L1$_2$,Er,Pa,1.0,3.0,4.703785,-65.95051937416667,0.17285305250000202
mp-1184733,GdTh3,L1$_2$,Gd,Th,1.0,3.0,5.196684,-65.8884742325,0.067223705000003
mp-1183793,DyPa3,L1$_2$,Dy,Pa,1.0,3.0,4.702978,-65.44851070375,0.18895373750000002
mp-1100784,U3In,L1$_2$,U,In,3.0,1.0,4.466263,-65.376107315,0.32591329500000604
mp-1183709,CePa3,L1$_2$,Ce,Pa,1.0,3.0,4.64910066,-65.2939903575,0.05818046750000801
mp-978511,SmPa3,L1$_2$,Sm,Pa,1.0,3.0,4.72605,-64.84543397375,0.22981074125000503
mp-974754,NdPa3,L1$_2$,Nd,Pa,1.0,3.0,4.7463619999999995,-64.74013459000001,0.25638129062500004
mp-1184384,EuTh3,L1$_2$,Eu,Th,1.0,3.0,5.104766,-64.59043303875,0.146234252499994
mp-973556,LuTh3,L1$_2$,Lu,Th,1.0,3.0,5.02881203,-64.5870117125,0.039404945833339006
mp-1183064,Ac3Au,L1$_2$,Ac,Au,3.0,1.0,5.244383,-64.46144038958334,0.131701262916664
mp-862862,Pa3Sb,L1$_2$,Pa,Sb,3.0,1.0,4.595117770000235,-64.4533125925,0.0
mp-862863,Pa3Te,L1$_2$,Pa,Te,3.0,1.0,4.57029893,-64.406971205,0.0
mp-972044,YbTh3,L1$_2$,Yb,Th,1.0,3.0,5.033559501010655,-64.2015427175,0.037248591250005
mp-980014,TmTh3,L1$_2$,Tm,Th,1.0,3.0,5.038114055788945,-63.843850582500004,0.042858102500012006
mp-31434,Np3Al,L1$_2$,Np,Al,3.0,1.0,4.306809,-63.720507706875,0.38105517203125305
mp-972422,U3Ge,L1$_2$,U,Ge,3.0,1.0,4.28812556,-63.613471675,0.0
mp-976588,HoTh3,L1$_2$,Ho,Th,1.0,3.0,5.0438091,-63.279501945,0.047280646250008
mp-1184093,DyTh3,L1$_2$,Dy,Th,1.0,3.0,5.04835248,-63.0546545425,0.047242876250003
mp-1187390,TbTh3,L1$_2$,Tb,Th,1.0,3.0,5.05192507,-62.86601428,0.047040870000003
mp-1183732,CeTh3,L1$_2$,Ce,Th,1.0,3.0,4.98917423,-62.7995844175,0.017019385000011
mp-1183930,CsPa3,L1$_2$,Cs,Pa,1.0,3.0,4.756457,-62.782228841982764,1.13689804301724
mp-1185929,MgNp3,L1$_2$,Mg,Np,1.0,3.0,4.586796,-62.62470617875,0.6857783659375011
mp-978507,SmTh3,L1$_2$,Sm,Th,1.0,3.0,5.06620012,-62.4830492825,0.056628410000008005
mp-1186380,Pa3Cd,L1$_2$,Pa,Cd,3.0,1.0,4.625337,-62.47068019500001,0.19758036249999802
mp-1186658,PmTh3,L1$_2$,Pm,Th,1.0,3.0,5.0728964,-62.43087638,0.060723348125009007
mp-974779,NdTh3,L1$_2$,Nd,Th,1.0,3.0,5.080630420012464,-62.3947046025,0.066244255625008
mp-570637,U3Si,L1$_2$,U,Si,3.0,1.0,4.24041411,-62.3881011575,0.032221368749993005
mp-1100774,U3N,L1$_2$,U,N,3.0,1.0,4.031553,-62.07234781499999,0.9572085000000071
mp-972103,U3C,L1$_2$,U,C,3.0,1.0,4.043269,-62.04892596249999,0.522137270000001
mp-19762,UPb3,L1$_2$,U,Pb,1.0,3.0,4.839177,-62.04199507375,0.157364665000002
mp-862864,Pa3Ge,L1$_2$,Pa,Ge,3.0,1.0,4.47460569,-61.434581555,0.0
mp-1187624,U3Cl,L1$_2$,U,Cl,3.0,1.0,4.245442,-61.41624633958334,0.8152360608333351
mp-1187064,Th3In,L1$_2$,Th,In,3.0,1.0,4.95489198,-60.9686243475,0.0
mp-1183059,Ac3Yb,L1$_2$,Ac,Yb,3.0,1.0,5.48551210596988,-60.558120295,0.052333960624999
mp-862861,Pa3Si,L1$_2$,Pa,Si,3.0,1.0,4.440774621050497,-60.1509647375,0.0
mp-983497,Pa3Zn,L1$_2$,Pa,Zn,3.0,1.0,4.508804,-59.831995516078436,0.080064038333333
mp-21844,UTl3,L1$_2$,U,Tl,1.0,3.0,4.763456,-59.657582068749996,0.21240552249999903
mp-1186381,Pa3Al,L1$_2$,Pa,Al,3.0,1.0,4.51652992,-59.4517010425,0.011261787500004
mp-30741,PaIr3,L1$_2$,Pa,Ir,1.0,3.0,4.06933556,-59.40801936,0.0
mp-1183105,Ac3Ce,L1$_2$,Ac,Ce,3.0,1.0,5.412265,-59.060794782500004,0.127471966874999
mp-2061,ThTl3,L1$_2$,Th,Tl,1.0,3.0,4.80347449,-58.4883097775,0.0
mp-1187452,ThPt3,L1$_2$,Th,Pt,1.0,3.0,4.21705778,-58.124491545,0.015857318750001
mp-861939,Ac3Sn,L1$_2$,Ac,Sn,3.0,1.0,5.31714098,-58.0463753275,0.115386579999999
mp-1187180,Pa3H,L1$_2$,Pa,H,3.0,1.0,4.285465999999999,-58.002141171354175,0.64460052677083
mp-1187074,Th3S,L1$_2$,Th,S,3.0,1.0,4.742042,-57.392733930000006,0.735964227499998
mp-1183927,CsAc3,L1$_2$,Cs,Ac,1.0,3.0,5.804523,-57.33851790073276,0.416704908642238
mp-1187484,TlBi3,L1$_2$,Tl,Bi,1.0,3.0,5.035145,-57.08873128416666,0.09362152250000101
mp-1183058,Ac3Zr,L1$_2$,Ac,Zr,3.0,1.0,5.320169,-56.89804255999999,0.26751497562500504
mp-979412,Th3B,L1$_2$,Th,B,3.0,1.0,4.660912,-56.409703930781255,0.736521494374997
