material_id,formula,structure_type,element_A,element_B,count_A,count_B,lattice_constant,energy_per_atom,energy_above_hull
mp-1187447,ThPa3,L1$_2$,Th,Pa,1.0,3.0,4.736582,-75.93405369000001,0.07677548249999601
mp-1002230,PuBi,B2,Pu,Bi,1.0,1.0,3.88311615,-73.07098046,0.097358764999995
mp-580329,Pu3Sn,L1$_2$,Pu,Sn,3.0,1.0,4.7515794,-71.618475575,0.0
mp-1187049,Th3Pb,L1$_2$,Th,Pb,3.0,1.0,4.98454339,-69.402885245,0.056559346875005
mp-581934,Pu3Ge,L1$_2$,Pu,Ge,3.0,1.0,4.58766757,-68.8821095375,0.0
mp-1184733,GdTh3,L1$_2$,Gd,Th,1.0,3.0,5.196684,-65.8884742325,0.067223705000003
mp-1183709,CePa3,L1$_2$,Ce,Pa,1.0,3.0,4.64910066,-65.2939903575,0.05818046750000801
mp-973556,LuTh3,L1$_2$,Lu,Th,1.0,3.0,5.02881203,-64.5870117125,0.039404945833339006
mp-862862,Pa3Sb,L1$_2$,Pa,Sb,3.0,1.0,4.595117770000235,-64.4533125925,0.0
mp-862863,Pa3Te,L1$_2$,Pa,Te,3.0,1.0,4.57029893,-64.406971205,0.0
mp-972044,YbTh3,L1$_2$,Yb,Th,1.0,3.0,5.033559501010655,-64.2015427175,0.037248591250005
mp-980014,TmTh3,L1$_2$,Tm,Th,1.0,3.0,5.038114055788945,-63.843850582500004,0.042858102500012006
mp-972422,U3Ge,L1$_2$,U,Ge,3.0,1.0,4.28812556,-63.613471675,0.0
mp-976588,HoTh3,L1$_2$,Ho,Th,1.0,3.0,5.0438091,-63.279501945,0.047280646250008
mp-1184093,DyTh3,L1$_2$,Dy,Th,1.0,3.0,5.04835248,-63.0546545425,0.047242876250003
mp-1187390,TbTh3,L1$_2$,Tb,Th,1.0,3.0,5.05192507,-62.86601428,0.047040870000003
mp-1183732,CeTh3,L1$_2$,Ce,Th,1.0,3.0,4.98917423,-62.7995844175,0.017019385000011
mp-978507,SmTh3,L1$_2$,Sm,Th,1.0,3.0,5.06620012,-62.4830492825,0.056628410000008005
mp-1186658,PmTh3,L1$_2$,Pm,Th,1.0,3.0,5.0728964,-62.43087638,0.060723348125009007
mp-974779,NdTh3,L1$_2$,Nd,Th,1.0,3.0,5.080630420012464,-62.3947046025,0.066244255625008
mp-570637,U3Si,L1$_2$,U,Si,3.0,1.0,4.24041411,-62.3881011575,0.032221368749993005
mp-862864,Pa3Ge,L1$_2$,Pa,Ge,3.0,1.0,4.47460569,-61.434581555,0.0
mp-1187064,Th3In,L1$_2$,Th,In,3.0,1.0,4.95489198,-60.9686243475,0.0
mp-1183059,Ac3Yb,L1$_2$,Ac,Yb,3.0,1.0,5.48551210596988,-60.558120295,0.052333960624999
mp-862861,Pa3Si,L1$_2$,Pa,Si,3.0,1.0,4.440774621050497,-60.1509647375,0.0
mp-983497,Pa3Zn,L1$_2$,Pa,Zn,3.0,1.0,4.508804,-59.831995516078436,0.080064038333333
mp-1186381,Pa3Al,L1$_2$,Pa,Al,3.0,1.0,4.51652992,-59.4517010425,0.011261787500004
mp-30741,PaIr3,L1$_2$,Pa,Ir,1.0,3.0,4.06933556,-59.40801936,0.0
mp-2061,ThTl3,L1$_2$,Th,Tl,1.0,3.0,4.80347449,-58.4883097775,0.0
mp-1187452,ThPt3,L1$_2$,Th,Pt,1.0,3.0,4.21705778,-58.124491545,0.015857318750001
mp-1187484,TlBi3,L1$_2$,Tl,Bi,1.0,3.0,5.035145,-57.08873128416666,0.09362152250000101
mp-865246,EuBi3,L1$_2$,Eu,Bi,1.0,3.0,4.999636723140972,-54.0031392375,0.040842896249998005
mp-11447,UTe,B2,U,Te,1.0,1.0,3.752685999999999,-53.55368887958333,0.09633641708333501
mp-1076927,GdPb3,L1$_2$,Gd,Pb,1.0,3.0,4.86990628,-53.44027841,0.0
mp-177,USb,B2,U,Sb,1.0,1.0,3.75347873,-53.40049456,0.0
mp-20828,Pt3Pb,L1$_2$,Pt,Pb,3.0,1.0,4.09973384,-52.808339165,0.034657805000001006
mp-1186902,Re3Ir,L1$_2$,Re,Ir,3.0,1.0,3.88196526,-52.50265132,0.0
mp-1184761,Ir3Os,L1$_2$,Ir,Os,3.0,1.0,3.84807393,-52.494420455,0.021401844999999
mp-1187532,Tl3Au,L1$_2$,Tl,Au,3.0,1.0,4.73532544,-52.4901764975,0.074874852500002
mp-972185,Tl3Hg,L1$_2$,Tl,Hg,3.0,1.0,4.850267390000227,-52.20823689,0.027282111666664003
mp-265,TaIr3,L1$_2$,Ta,Ir,1.0,3.0,3.90530826,-52.17511517,0.0
mp-1187243,TaOs3,L1$_2$,Ta,Os,1.0,3.0,3.91497248,-52.049900465,0.0
mp-867248,LaBi3,L1$_2$,La,Bi,1.0,3.0,5.0117565944042894,-51.89655375,0.063453869999996
mp-1184759,IrPt3,L1$_2$,Ir,Pt,1.0,3.0,3.951253,-51.62398874749999,0.08163729000000301
mp-21430,YbPb3,L1$_2$,Yb,Pb,1.0,3.0,4.827551692421106,-51.61984883,0.0
mp-11473,TlHg,B2,Tl,Hg,1.0,1.0,3.84461124,-51.276888655,0.014844768333325
