element,radius_combined,pauling_radius
Ac,1.980206918656509,
Ag,1.471223769798395,1.44
Al,1.4313950018295964,1.43
As,1.48817229418725,1.21
Au,1.4507296049674028,1.44
B,1.3623456068490407,0.98
Ba,2.136252468890073,2.22
Be,1.1456991468434792,1.12
Bi,1.749708703660083,1.82
Br,1.584851981295367,1.14
C,1.0961187544998872,0.77
Ca,1.902983553891365,1.97
Cd,1.5568732313224527,1.52
Ce,1.7157347926012587,1.83
Cl,1.4430813640675597,0.99
Co,1.224545369618493,1.25
Cr,1.3532165947892494,1.29
Cs,2.2401001388501594,2.67
Cu,1.3227858990167163,1.28
Dy,1.7363682875369868,1.77
Er,1.70250273529225,1.75
Eu,1.9076775465404545,2.04
F,1.4705730434510116,
Fe,1.2624213080065663,1.26
Ga,1.4725537971091271,1.53
Gd,1.7639787160588358,1.8
Ge,1.5060031116077401,1.22
H,0.9568433431007377,0.53
Hf,1.532984463653618,1.59
Hg,1.5979024806166626,1.55
Ho,1.729674455570594,1.76
I,1.85356620328045,1.33
In,1.6246147722388098,1.67
Ir,1.3577377712434047,1.36
K,2.19410428655048,2.35
La,1.8180179020613623,1.87
Li,1.4862155911109611,1.55
Lu,1.6647766640010873,1.74
Mg,1.553842484896869,1.6
Mn,1.3113514870263712,1.37
Mo,1.4278430705323621,1.4
N,1.1048376454800437,0.75
Na,1.76534936579438,1.9
Nb,1.4603701549430774,1.47
Nd,1.8001508487460576,1.81
Ni,1.242513001003069,1.25
Np,1.6021765851969072,
O,1.6112537496899562,0.73
Os,1.3833318934848144,1.35
P,1.4067694156000854,1.1
Pa,1.628980686768898,1.63
Pb,1.7058612885783473,1.75
Pd,1.4056760174535254,1.37
Pm,1.780884302483556,
Pr,1.817933577786116,1.82
Pt,1.3941524760341646,1.39
Pu,1.6111050661291377,1.64
Rb,2.33140901584869,2.48
Re,1.539920386223277,1.37
Rh,1.3780466461281966,1.34
Ru,1.340212893600107,1.34
S,1.6952463415363295,1.04
Sb,1.6359915671759016,1.61
Sc,1.5073453431411479,1.64
Se,1.8392112349324652,1.17
Si,1.3850992058554241,1.17
Sm,1.792109388043607,1.8
Sn,1.662190557841885,1.58
Sr,2.0330395508345696,2.15
Ta,1.4929834006355465,1.47
Tb,1.7268493473026125,1.78
Tc,1.3785120709523593,1.35
Te,1.6319408112093512,1.43
Th,1.7747389723971647,1.8
Ti,1.4414784594984245,1.47
Tl,1.6851935616514708,1.71
Tm,1.6781042473947378,1.74
U,1.5461259753836436,1.54
V,1.3310633757775494,1.35
W,1.3542791071599436,1.41
Y,1.7443513652298475,1.82
Yb,1.699467583502198,1.93
Zn,1.375063165980273,1.37
Zr,1.5625542895646416,1.6
