element,radius_combined,pauling_radius
Ac,1.973621888478225,
Ag,1.4342622206433917,1.44
Al,1.4344913138046282,1.43
As,1.4886394302899597,1.21
Au,1.4182385047488468,1.44
Ba,2.1999692284420806,2.22
Be,1.110867825497188,1.12
Bi,1.7493350857550591,1.82
Br,1.3642034137403392,1.14
Ca,1.8796580478093474,1.97
Cd,1.5590862257884934,1.52
Ce,1.7270963917160258,1.83
Cl,1.2042543804633032,0.99
Co,1.2368198780505655,1.25
Cr,1.3162335044982842,1.29
Cs,2.4706632882142836,2.67
Cu,1.2680632485999366,1.28
Dy,1.7431949059973417,1.77
Er,1.7116381179818765,1.75
Eu,1.9141885413848212,2.04
F,1.4918365748149252,
Fe,1.271056954997692,1.26
Ga,1.4643831785532495,1.53
Gd,1.7720933151878404,1.8
Ge,1.4818195413593882,1.22
H,0.9826847717508675,0.53
Hf,1.4833940299562303,1.59
Hg,1.565822237319008,1.55
Ho,1.7284415721008948,1.76
I,1.6502712702047535,1.33
In,1.6248208275457658,1.67
Ir,1.34855861472949,1.36
K,2.262057287170148,2.35
La,1.82393403324076,1.87
Li,1.3828909773221576,1.55
Lu,1.640793735604599,1.74
Mg,1.5745881523597425,1.6
Mn,1.29900178186532,1.37
Mo,1.4081603496111932,1.4
N,2.0600819779922865,0.75
Na,1.849155376263644,1.9
Nb,1.4705351778272797,1.47
Nd,1.8046279062829798,1.81
Ni,1.227831118438055,1.25
Np,1.555558826837007,
O,1.7946580576846418,0.73
Os,1.329555703636106,1.35
Pa,1.6112751375606418,1.63
Pb,1.7117093176846392,1.75
Pd,1.4020402633346616,1.37
Pm,1.7645480183407936,
Pr,1.812799986310442,1.82
Pt,1.3912567017985327,1.39
Pu,1.633704357516029,1.64
Rb,2.4152918969778847,2.48
Re,1.552623231041761,1.37
Rh,1.3727252401726568,1.34
Ru,1.3085389080690308,1.34
S,2.9999999999999996,1.04
Sb,1.6197010434764205,1.61
Sc,1.5217391140004182,1.64
Se,2.9999999999999996,1.17
Si,1.3734555092621887,1.17
Sm,1.7829941471513915,1.8
Sn,1.6518416660227322,1.58
Sr,2.005810785784646,2.15
Ta,1.4325473634983286,1.47
Tb,1.7376030261355295,1.78
Tc,1.3181050053667813,1.35
Te,1.6431963985548277,1.43
Th,1.7829915811357167,1.8
Ti,1.4250446134388912,1.47
Tl,1.6803539926511346,1.71
Tm,1.6785464810494224,1.74
U,1.526078140171118,1.54
V,1.2900906266598693,1.35
W,1.0974970915195819,1.41
Y,1.7554621377056798,1.82
Yb,1.651335490401741,1.93
Zn,1.3542607954348074,1.37
Zr,1.5538670688578518,1.6
