T,E
549.1783343505633,176502670812.93353
492.88995456382446,180140258249.86807
522.6244591445799,176905198512.4378
463.51334668428694,184120080887.95773
476.910625807141,181756714375.0049
539.6782606261277,176665105755.14276
299.86720354367435,200216202666.48386
395.7699854572562,188907257339.27716
288.4837767278409,202699127528.546
595.0672031986587,172289157353.22964
577.6237358746453,171624837722.0511
215.77072454740235,208035225985.3238
482.23006900627536,182062858490.09738
570.0993269662663,173324524093.36038
272.2301380509334,203435530467.57947
427.17809222105177,189292395316.6612
566.1953190352167,173203520868.98428
213.57839143431954,207843863612.0296
478.968106898736,180723870082.11188
318.9396029490203,197375109665.15604
569.7584781506122,172991025212.06497
588.423298066147,172952228056.9031
577.7065956453736,171711729136.42645
389.6856866629855,191255219285.34033
544.8170603957253,175501871064.3547
537.8197594140281,177406417332.0453
327.64018929730224,199762913496.1434
531.566189660271,176312512261.05258
214.80305388619706,208030255168.8621
438.5079513928212,187193365737.78696
292.0035349150812,201481537998.1182
248.22675431091153,207024031894.64487
230.78128065168366,207505800120.1576
478.5155103512559,181789156874.08737
335.9499855072264,196995656279.96967
489.9067086115046,182118032719.43243
226.14253631957695,208206228549.2397
326.11613513224415,197895660517.8829
415.7965169501349,189487022994.57565
516.2892659355855,179540368996.88712
327.50100117282796,198632058873.75473
450.35655057480363,185613054830.10925
554.3910992944748,174393771990.23566
446.34527527292187,185512186159.1411
293.1837899014535,201888129976.36298
209.7603126226152,208207033066.75122
548.0395495603719,175564718352.8357
208.50776434015486,208755884753.65714
549.8806690736798,175040677915.56683
411.5748536108848,190120966501.51883
575.6270794051585,172628391127.50406
519.5132943094661,178095107117.20953
599.1736442133349,168722779437.68658
340.28472618068406,196717780947.95883
506.87531557245075,179957952623.896
360.77236544369686,196086018178.93576
391.9502481215635,190497196952.89066
451.002185287348,185118931798.92914
549.4708456745354,175302299116.25723
593.633387679718,172214114511.7917
507.3093655458073,179173767913.0323
367.1067128669335,193568350239.07697
368.5428009108281,193753616418.63376
495.0329206355566,180683317059.6007
295.5108583073209,200002480554.71735
244.18964525255785,205775125467.64255
341.8488630563106,196888745444.22873
314.8955966616327,197483925034.42566
318.52324818239606,198280644855.9073
293.44310041996397,199955569143.06442
216.83727585454474,209511319043.47037
207.14957389336553,207761855705.87964
595.0889558944126,169932182563.28717
371.1092534943449,193266286525.63004
353.7306588638727,196192458142.84708
471.85891307722795,182748358431.20422
287.30155514602563,200714644958.70422
579.9844735800901,173882709711.43158
514.5380057662207,177098185522.9617
235.7644009249038,204224753950.88953
367.0323103139714,193736783418.65622
551.647323024866,174333213473.1608
577.892808916564,171189486291.2129
386.96060449994786,192012295997.30457
445.3645556842831,185707345145.3429
266.8135784368301,202754563525.58026
596.4674504547907,169072950555.85004
292.6686805533774,201605589272.9424
577.0927096540503,172940930212.55362
459.8586595969474,183914958176.52588
443.09471795154366,187537165200.8933
405.0754044066034,188422374793.01352
292.26792468710346,199247682360.36493
270.61121280220334,202246970649.8984
288.19448362807015,201134965620.8375
274.5753048577018,202785808963.5525
511.83378942670134,178575384999.47354
340.05010366669205,196347045029.8451
223.13707062535855,206434753513.2737
587.6410520563245,172679659398.44083
