Al_frac,C_frac,Co_frac,Cr_frac,Cu_frac,Fe_frac,Hf_frac,Mn_frac,Mo_frac,Nb_frac,Ni_frac,Si_frac,Ta_frac,Ti_frac,V_frac,Zr_frac,mean_atomic_radius_pm,std_atomic_radius_pm,atomic_size_mismatch_pct,mean_atomic_mass_gmol,std_atomic_mass_gmol,mean_electronegativity,std_electronegativity,VEC_avg,mixing_entropy_J_per_molK,mixing_entropy_over_R,n_elements,temperature_C,processing_ANNEAL,processing_CAST,processing_OTHER,processing_WROUGHT,phase_BCC,phase_FCC,phase_other,source_MPEA_dataset,test_type_T,year,yield_strength_MPa,ys_log10
0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,125.75,1.47902,1.176159,56.366923,2.800658,1.82,0.096695,8.25,11.526293,1.386294,4,25.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2014,274.0,2.437750562820388
0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,126.0,1.581139,1.254872,56.140174,2.869603,1.75,0.150499,8.0,11.526293,1.386294,4,25.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2014,282.0,2.450249108319361
0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,125.666667,1.699673,1.352525,56.540898,3.215148,1.816667,0.111455,8.333333,9.134371,1.098612,3,25.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2014,300.0,2.4771212547196626
0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,125.5,1.118034,0.890864,57.102398,1.742754,1.7925,0.142894,8.5,11.526293,1.386294,4,25.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2014,170.0,2.230448921378274
0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,125.0,0.816497,0.653197,57.823865,1.402689,1.873333,0.032998,9.0,9.134371,1.098612,3,25.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2014,211.0,2.3242824552976926
0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,125.333333,1.247219,0.995122,57.521531,1.829454,1.78,0.163095,8.666667,9.134371,1.098612,3,25.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2014,231.0,2.3636119798921444
0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,125.666667,1.247219,0.992482,56.492133,1.599967,1.763333,0.154344,8.333333,9.134371,1.098612,3,25.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2014,221.0,2.3443922736851106
0.0,0.0,0.24372410431391667,0.24372410431391667,0.0,0.24372410431391667,0.0,0.0,0.0,0.025103582744333414,0.24372410431391667,0.0,0.0,0.0,0.0,0.0,126.258348,3.488296,2.762824,57.284195,6.349958,1.814477,0.101488,8.168413,12.212112,1.46878,5,25.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2015,318.0,2.5024271199844326
0.0,0.0,0.24067388688327315,0.24067388688327315,0.0,0.24067388688327315,0.0,0.0,0.0,0.03730445246690734,0.24067388688327315,0.0,0.0,0.0,0.0,0.0,126.505415,4.102731,3.243127,57.730008,7.449793,1.811793,0.103631,8.128761,12.420645,1.49386,5,25.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2015,322.0,2.507855871695831
0.0,0.0,0.2377555872563005,0.2377555872563005,0.0,0.2377555872563005,0.0,0.0,0.0,0.0489776509747979,0.2377555872563005,0.0,0.0,0.0,0.0,0.0,126.741797,4.602238,3.631192,58.15654,8.345561,1.809225,0.105577,8.090823,12.587189,1.513891,5,25.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2015,403.0,2.6053050461411096
0.0,0.0,0.23207240659085634,0.23207240659085634,0.0,0.23207240659085634,0.0,0.0,0.0,0.0717103736365746,0.23207240659085634,0.0,0.0,0.0,0.0,0.0,127.202135,5.415503,4.257399,58.987181,9.80603,1.804224,0.109094,8.016941,12.845209,1.544924,5,25.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2015,479.0,2.680335513414563
0.0,0.0,0.22665457842248413,0.22665457842248413,0.0,0.22665457842248413,0.0,0.0,0.0,0.09338168631006347,0.22665457842248413,0.0,0.0,0.0,0.0,0.0,127.640979,6.058032,4.74615,59.779039,10.96109,1.799456,0.112136,7.94651,13.029866,1.567133,5,25.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2015,638.0,2.8048206787211623
0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,125.75,1.47902,1.176159,56.366923,2.800658,1.82,0.096695,8.25,11.526293,1.386294,4,25.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2015,148.0,2.1702617153949575
0.038461538461538464,0.0,0.1923076923076923,0.1923076923076923,0.0,0.1923076923076923,0.0,0.1923076923076923,0.0,0.0,0.1923076923076923,0.0,0.0,0.0,0.0,0.0,126.653846,3.551189,2.803854,54.961922,6.137091,1.76,0.138952,7.807692,14.222388,1.71056,6,25.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2014,220.0,2.342422680822206
