Al_frac,C_frac,Co_frac,Cr_frac,Cu_frac,Fe_frac,Hf_frac,Mn_frac,Mo_frac,Nb_frac,Ni_frac,Si_frac,Ta_frac,Ti_frac,V_frac,Zr_frac,mean_atomic_radius_pm,std_atomic_radius_pm,atomic_size_mismatch_pct,mean_atomic_mass_gmol,std_atomic_mass_gmol,mean_electronegativity,std_electronegativity,VEC_avg,mixing_entropy_J_per_molK,mixing_entropy_over_R,n_elements,temperature_C,processing_ANNEAL,processing_CAST,processing_OTHER,processing_WROUGHT,source_MPEA_dataset,test_type_T,year,grain_size_um_log10,grain_size_missing,calc_density_gcm3,micro_FCC,micro_BCC,micro_B2,micro_L12,micro_HCP,micro_Sec,micro_Laves,micro_n_phases,yield_strength_MPa
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.0,0.25,149.75,5.931905,3.961206,103.236312,48.362826,1.4925,0.100343,4.5,11.526293,1.386294,4,25.0,0.0,1.0,0.0,0.0,1.0,1.0,2019,2.6989700043360187,0.0,8.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1144.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,151.0,6.377042,4.223207,77.332457,20.846542,1.49,0.115758,4.333333,9.134371,1.098612,3,25.0,0.0,1.0,0.0,0.0,1.0,1.0,2019,2.6989700043360187,0.0,6.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,956.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,146.333333,0.471405,0.322144,107.240417,55.267403,1.546667,0.041096,4.666667,9.134371,1.098612,3,25.0,0.0,1.0,0.0,0.0,1.0,1.0,2019,2.6989700043360187,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,620.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3749531308586426,0.0,0.0,0.2500937382827146,0.2500937382827146,0.0,0.124859392575928,147.998125,4.553024,3.076407,103.450876,48.32232,1.526273,0.084071,4.625047,10.981823,1.32081,4,25.0,0.0,1.0,0.0,0.0,1.0,1.0,2019,2.6989700043360187,0.0,9.2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,822.0
0.0,0.0,0.0,0.0,0.0,0.0,0.1249062265566391,0.0,0.0,0.1249062265566391,0.0,0.0,0.1249062265566391,0.3750937734433608,0.0,0.2501875468867217,151.5015,6.344643,4.187842,97.278336,51.240199,1.459981,0.111689,4.249812,12.421324,1.493942,5,25.0,0.0,1.0,0.0,0.0,1.0,1.0,2016,0.921304619805281,1.0,8.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,903.0
0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.2,151.6,6.468385,4.266744,118.28705,52.699802,1.454,0.118254,4.4,13.381611,1.609438,5,25.0,0.0,0.0,0.0,1.0,1.0,1.0,2015,0.921304619805281,1.0,9.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1173.5
0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.2,151.6,6.468385,4.266744,118.28705,52.699802,1.454,0.118254,4.4,13.381611,1.609438,5,25.0,0.0,0.0,0.0,1.0,1.0,1.0,2015,0.921304619805281,1.0,9.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1303.0
0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.2,151.6,6.468385,4.266744,118.28705,52.699802,1.454,0.118254,4.4,13.381611,1.609438,5,25.0,0.0,0.0,0.0,1.0,1.0,1.0,2016,0.921304619805281,1.0,9.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,944.0
0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.2,151.6,6.468385,4.266744,118.28705,52.699802,1.454,0.118254,4.4,13.381611,1.609438,5,25.0,0.0,0.0,0.0,1.0,1.0,1.0,2018,0.921304619805281,1.0,9.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,940.0
0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.2,151.6,6.468385,4.266744,118.28705,52.699802,1.454,0.118254,4.4,13.381611,1.609438,5,25.0,0.0,0.0,0.0,1.0,1.0,1.0,2018,2.0,0.0,9.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,830.0
0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.2,151.6,6.468385,4.266744,118.28705,52.699802,1.454,0.118254,4.4,13.381611,1.609438,5,25.0,0.0,0.0,0.0,1.0,1.0,1.0,2019,1.6020599913279623,0.0,9.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,985.0
0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.2,151.6,6.468385,4.266744,118.28705,52.699802,1.454,0.118254,4.4,13.381611,1.609438,5,25.0,0.0,0.0,0.0,1.0,1.0,1.0,2019,1.9395192526186185,0.0,9.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,972.0
0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.2,151.6,6.468385,4.266744,118.28705,52.699802,1.454,0.118254,4.4,13.381611,1.609438,5,25.0,0.0,0.0,0.0,1.0,1.0,1.0,2019,2.0492180226701815,0.0,9.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,967.0
0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.2,151.6,6.468385,4.266744,118.28705,52.699802,1.454,0.118254,4.4,13.381611,1.609438,5,25.0,0.0,0.0,1.0,0.0,1.0,1.0,2018,-1.3010299956639813,0.0,9.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1900.0
0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.2,151.6,6.468385,4.266744,118.28705,52.699802,1.454,0.118254,4.4,13.381611,1.609438,5,25.0,0.0,0.0,1.0,0.0,1.0,1.0,2018,-1.3010299956639813,0.0,9.9,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1520.0
0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.2,151.6,6.468385,4.266744,118.28705,52.699802,1.454,0.118254,4.4,13.381611,1.609438,5,25.0,0.0,0.0,1.0,0.0,1.0,1.0,2018,-1.0,0.0,9.9,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,795.0
0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.2,151.6,6.468385,4.266744,118.28705,52.699802,1.454,0.118254,4.4,13.381611,1.609438,5,25.0,0.0,0.0,1.0,0.0,1.0,1.0,2018,0.921304619805281,1.0,9.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1134.0
0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.2,151.6,6.468385,4.266744,118.28705,52.699802,1.454,0.118254,4.4,13.381611,1.609438,5,25.0,0.0,0.0,1.0,0.0,1.0,1.0,2018,1.3873898263387294,0.0,9.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1107.0
0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.2,151.6,6.468385,4.266744,118.28705,52.699802,1.454,0.118254,4.4,13.381611,1.609438,5,25.0,0.0,0.0,1.0,0.0,1.0,1.0,2018,1.4955443375464486,0.0,9.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1115.0
0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.2,151.6,6.468385,4.266744,118.28705,52.699802,1.454,0.118254,4.4,13.381611,1.609438,5,25.0,0.0,0.0,1.0,0.0,1.0,1.0,2018,1.5843312243675307,0.0,9.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1114.0
0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.2,151.6,6.468385,4.266744,118.28705,52.699802,1.454,0.118254,4.4,13.381611,1.609438,5,25.0,0.0,1.0,0.0,0.0,1.0,1.0,2016,0.921304619805281,1.0,9.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,823.5
0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.2,151.6,6.468385,4.266744,118.28705,52.699802,1.454,0.118254,4.4,13.381611,1.609438,5,25.0,0.0,1.0,0.0,0.0,1.0,1.0,2019,2.6989700043360187,0.0,9.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1155.0
0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,153.0,6.519202,4.260917,124.63222,57.186367,1.4175,0.104013,4.25,11.526293,1.386294,4,25.0,0.0,1.0,0.0,0.0,1.0,1.0,2017,0.921304619805281,1.0,10.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1500.0
0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.25,153.0,6.519202,4.260917,102.621842,47.377134,1.4425,0.129687,4.25,11.526293,1.386294,4,25.0,0.0,1.0,0.0,0.0,1.0,1.0,2014,0.921304619805281,1.0,8.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,879.0
0.0,0.0,0.0,0.0,0.0,0.0,0.2753673897830651,0.0,0.0,0.0496850944716584,0.0,0.0,0.0496850944716584,0.3498950314905528,0.0,0.2753673897830651,153.784815,6.344734,4.125722,104.62534,54.546234,1.417078,0.114689,4.09937,11.440712,1.376001,5,25.0,0.0,0.0,0.0,1.0,1.0,1.0,2016,0.921304619805281,1.0,8.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,540.0
0.0,0.0,0.0,0.0,0.0,0.0,0.2777777777777778,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.2777777777777778,0.0,0.2777777777777778,153.777778,6.416607,4.172649,118.374924,56.939508,1.408333,0.105738,4.166667,11.35815,1.366071,4,25.0,0.0,1.0,0.0,0.0,1.0,1.0,2017,0.921304619805281,1.0,9.6,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,800.0
0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.1428571428571428,0.2857142857142857,0.0,0.2857142857142857,154.0,6.369571,4.136085,116.587126,56.742181,1.405714,0.10608,4.142857,11.239357,1.351784,4,25.0,0.0,1.0,0.0,0.0,1.0,1.0,2017,0.921304619805281,1.0,9.4,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,700.0
0.0,0.0,0.0,0.0,0.0,0.0,0.2941176470588235,0.0,0.0,0.0,0.0,0.0,0.1176470588235294,0.2941176470588235,0.0,0.2941176470588235,154.235294,6.310863,4.091711,114.694162,56.470839,1.402941,0.106371,4.117647,11.071325,1.331574,4,25.0,0.0,1.0,0.0,0.0,1.0,1.0,2017,0.921304619805281,1.0,9.2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,400.0
0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,125.666667,1.247219,0.992482,56.492133,1.599967,1.763333,0.154344,8.333333,9.134371,1.098612,3,25.0,0.0,0.0,0.0,1.0,1.0,1.0,2014,1.4771212547196624,0.0,8.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,221.0
0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,125.666667,1.247219,0.992482,56.492133,1.599967,1.763333,0.154344,8.333333,9.134371,1.098612,3,25.0,0.0,0.0,0.0,1.0,1.0,1.0,2019,-0.06449273417528721,0.0,8.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,529.0
0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,125.666667,1.247219,0.992482,56.492133,1.599967,1.763333,0.154344,8.333333,9.134371,1.098612,3,25.0,0.0,0.0,0.0,1.0,1.0,1.0,2019,-0.04866248120408232,0.0,8.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,522.0
0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,125.666667,1.247219,0.992482,56.492133,1.599967,1.763333,0.154344,8.333333,9.134371,1.098612,3,25.0,0.0,0.0,0.0,1.0,1.0,1.0,2019,0.09691001300805642,0.0,8.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,460.0
0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,125.666667,1.247219,0.992482,56.492133,1.599967,1.763333,0.154344,8.333333,9.134371,1.098612,3,25.0,0.0,0.0,0.0,1.0,1.0,1.0,2019,0.24303804868629444,0.0,8.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,407.0
