material_id,formula,structure_type,element_A,element_B,count_A,count_B,lattice_constant,energy_per_atom,energy_above_hull,source,lattice_constant_calc
oqmd-305933,LuPt,B2,Lu,Pt,1,1,3.412875,-1.3033713675,0.03748552749999989,OQMD,3.463678314363625
oqmd-304976,TmPt,B2,Pt,Tm,1,1,3.439968,-1.27811281,0.0,OQMD,3.48699648213105
oqmd-306894,ErPt,B2,Er,Pt,1,1,3.455692,-1.258697505,0.05710157874999999,OQMD,3.495357597111484
oqmd-305191,HoPt,B2,Ho,Pt,1,1,3.470082,-1.23865127666666,0.06305995499999995,OQMD,3.5164368122605536
oqmd-306889,ScPt,B2,Pt,Sc,1,1,3.291543,-1.2303479075,0.005941910000000217,OQMD,3.3356393716133335
oqmd-305590,DyPt,B2,Dy,Pt,1,1,3.483736,-1.21786032833333,0.06976702125000522,OQMD,3.5177129594592196
oqmd-307016,LaAs,B2,As,La,1,1,3.740045,-1.2148172375,0.3556552799999999,OQMD,3.741567809276623
oqmd-307860,YPt,B2,Pt,Y,1,1,3.495364,-1.1958981625,0.06476733124999945,OQMD,3.537257904459112
oqmd-305047,GdPt,B2,Gd,Pt,1,1,3.517559,-1.17067709375,0.08224389749999994,OQMD,3.543007749456099
oqmd-304662,AcAs,B2,Ac,As,1,1,3.869305,-1.13728818125,0.34855016000000005,OQMD,3.8488389628153197
oqmd-304477,ThAs,B2,As,Th,1,1,3.650586,-1.1127434925,0.28571836000000017,OQMD,3.6744949193831853
oqmd-306672,YbPt,B2,Pt,Yb,1,1,3.416408,-1.10604483,0.0,OQMD,3.581322501255334
oqmd-307418,SmPt,B2,Pt,Sm,1,1,3.558588,-1.10270694375,0.09507663625000018,OQMD,3.573402360262658
oqmd-304528,AlRh,B2,Al,Rh,1,1,3.004274,-1.097203725,0.0,OQMD,3.102662687524044
oqmd-306644,EuPt,B2,Eu,Pt,1,1,3.522959,-1.09458795,0.012958018333332655,OQMD,3.644672127901658
oqmd-306657,PmPt,B2,Pm,Pt,1,1,3.575334,-1.07909115625,0.09407293000000072,OQMD,3.585616617311242
oqmd-307784,PmAs,B2,As,Pm,1,1,3.657316,-1.07898622375,0.44966629999999985,OQMD,3.6782177805330853
oqmd-307028,NdAs,B2,As,Nd,1,1,3.68575,-1.07559834,0.43825117,OQMD,3.698021819847803
oqmd-306994,PrAs,B2,As,Pr,1,1,3.711811,-1.07419545125,0.42794730999999997,OQMD,3.7189320856125083
oqmd-307577,LaPt,B2,La,Pt,1,1,3.650857,-1.07345822,0.11392738250000001,OQMD,3.6489666460547796
oqmd-307714,SmAs,B2,As,Sm,1,1,3.643071,-1.07230506625,0.45699490499999995,OQMD,3.6660035234845014
oqmd-306111,CeAs,B2,As,Ce,1,1,3.742329,-1.06849639625,0.4177306649999999,OQMD,3.7410297526646867
oqmd-307855,GdAs,B2,As,Gd,1,1,3.603508,-1.06753246125,0.47492543500000006,OQMD,3.6356089126779425
oqmd-307842,YAs,B2,As,Y,1,1,3.578801,-1.06114391,0.4947168650000011,OQMD,3.6298590676809552
oqmd-307323,DyAs,B2,As,Dy,1,1,3.572828,-1.04792640083333,0.48778605000000996,OQMD,3.6103141226810633
oqmd-305301,NdPt,B2,Nd,Pt,1,1,3.605847,-1.0423922675,0.10647141375000002,OQMD,3.60542065662596
oqmd-305051,HoAs,B2,As,Ho,1,1,3.558942,-1.03495423916667,0.49315340999999013,OQMD,3.6090379754823974
oqmd-307004,ScIr,B2,Ir,Sc,1,1,3.221548,-1.0307804225,0.0,OQMD,3.285739848856039
oqmd-304752,ScRh,B2,Rh,Sc,1,1,3.220262,-1.0278396175,0.0,OQMD,3.276931381554721
oqmd-304677,ErAs,B2,As,Er,1,1,3.545176,-1.0204168475,0.49793329500000016,OQMD,3.5879587603333274
oqmd-307590,LaSb,B2,La,Sb,1,1,3.962057,-1.0157238825,0.2601247249999996,OQMD,3.9594901438129395
oqmd-306527,LuRh,B2,Lu,Rh,1,1,3.346909,-1.0137608625,2.4569999999668468e-05,OQMD,3.4049703243050127
oqmd-305861,PrPt,B2,Pr,Pt,1,1,3.630184,-1.00792767375,0.11042859499999991,OQMD,3.626330922390665
oqmd-305945,AcPt,B2,Ac,Pt,1,1,3.771867,-1.00678809875,0.16269584500000045,OQMD,3.828171050535057
oqmd-307353,TmAs,B2,As,Tm,1,1,3.531125,-1.0011958675,0.5014688450000002,OQMD,3.579597645352894
oqmd-307667,ThPt,B2,Pt,Th,1,1,3.631306,-0.99671332,0.22461628749999996,OQMD,3.581893756161342
oqmd-304567,EuAs,B2,As,Eu,1,1,3.705398,-0.9959129475,0.21873629333333,OQMD,3.737273291123502
oqmd-304951,EuAu,B2,Au,Eu,1,1,3.662463,-0.984254085,0.006701770000000051,OQMD,3.754059356101255
oqmd-306902,HfPt,B2,Hf,Pt,1,1,3.323157,-0.9837018425,0.1681978175000015,OQMD,3.28130498301513
oqmd-305608,LuIr,B2,Ir,Lu,1,1,3.347684,-0.9727213675,0.0009769750000009347,OQMD,3.413778791606331
oqmd-306881,LuPd,B2,Lu,Pd,1,1,3.427872,-0.9724016975,0.0,OQMD,3.4645547362057996
oqmd-305563,TmRh,B2,Rh,Tm,1,1,3.373793,-0.96706178,0.0,OQMD,3.4282884920724377
oqmd-304828,CePt,B2,Ce,Pt,1,1,3.658605,-0.96684605875,0.11207814500000002,OQMD,3.648428589442843
oqmd-305401,AcSb,B2,Ac,Sb,1,1,4.091652,-0.96641578125,0.25630153,OQMD,4.066761297351636
oqmd-305103,LuAs,B2,As,Lu,1,1,3.506317,-0.96373351,0.5078149000000001,OQMD,3.5562794775854685
oqmd-305691,YbAu,B2,Au,Yb,1,1,3.555425,-0.958798995,0.011023458749999993,OQMD,3.690709729454931
oqmd-305003,TmPd,B2,Pd,Tm,1,1,3.452356,-0.948770245,0.01768432124999908,OQMD,3.4878729039732246
oqmd-306229,AlIr,B2,Al,Ir,1,1,3.018601,-0.946324645000001,0.0,OQMD,3.111471154825362
oqmd-306542,AlPt,B2,Al,Pt,1,1,3.090272,-0.93677085,0.11154429249999986,OQMD,3.161370677582657
oqmd-305006,ErRh,B2,Er,Rh,1,1,3.388599,-0.93596486,0.0,OQMD,3.4366496070528716
oqmd-306096,ErPd,B2,Er,Pd,1,1,3.477002,-0.932736664999999,0.023033888750001008,OQMD,3.4962340189536585
oqmd-305214,TmIr,B2,Ir,Tm,1,1,3.37337,-0.921421115,0.0,OQMD,3.437096959373756
oqmd-304418,YbAs,B2,As,Yb,1,1,3.600899,-0.9166930725,0.20659257333333003,OQMD,3.6739236644771776
oqmd-307841,HoPd,B2,Ho,Pd,1,1,3.484543,-0.914762076666665,0.023948471249999992,OQMD,3.517313234102727
oqmd-304821,ZrPt,B2,Pt,Zr,1,1,3.351555,-0.913219914999999,0.17385267999999965,OQMD,3.3140351769315743
oqmd-307352,ScPd,B2,Pd,Sc,1,1,3.305014,-0.9081567375,0.0,OQMD,3.336515793455508
oqmd-307745,EuSb,B2,Eu,Sb,1,1,3.946705,-0.9080005725,0.13717165244355356,OQMD,3.955195625659818
oqmd-307512,HoRh,B2,Ho,Rh,1,1,3.403974,-0.905029986666666,0.0,OQMD,3.45772882220194
oqmd-306798,LuAu,B2,Au,Lu,1,1,3.513291,-0.902009872499999,0.0,OQMD,3.573065542563222
oqmd-304500,CeSb,B2,Ce,Sb,1,1,3.95641,-0.89942054125,0.2991265249999999,OQMD,3.958952087201003
oqmd-304633,DyPd,B2,Dy,Pd,1,1,3.506905,-0.897187923333335,0.033739445000000035,OQMD,3.5185893813013935
oqmd-305458,TmAu,B2,Au,Tm,1,1,3.550481,-0.89548866,0.007071975000000008,OQMD,3.596383710330647
oqmd-306123,PrSb,B2,Pr,Sb,1,1,3.926289,-0.89226553625,0.30526055500000004,OQMD,3.9368544201488245
oqmd-307609,HfIr,B2,Hf,Ir,1,1,3.28052,-0.892184217499999,0.09496925500000031,OQMD,3.231405460257835
oqmd-305547,ScAs,B2,As,Sc,1,1,3.376678,-0.890288545,0.48652468000000004,OQMD,3.4282405348351768
oqmd-306604,ErIr,B2,Er,Ir,1,1,3.387351,-0.887455415000001,0.0,OQMD,3.44545807435419
