element,radius
Ac,1.9641780490847833
Ag,1.4547618481298152
Al,1.3505496832736121
As,1.4389580326815776
Au,1.4269935980742658
B,0.8112674673516456
Ba,2.0908913776851783
Be,1.0903308414312112
Bi,1.712787723489669
Br,1.6053426796674528
C,0.9718449337946592
Ca,1.7563456694128001
Cd,1.5486939868923824
Ce,1.7439781353410215
Cl,1.4663841411152028
Co,1.196357803572879
Cr,1.2546901219814757
Cs,2.238128147173571
Cu,1.3242695146740635
Dy,1.6765555252962916
Er,1.6237629986137554
Eu,1.873731451814628
F,0.9244715180820424
Fe,1.2113395389610346
Ga,1.3225663087609185
Gd,1.7139601042827368
Ge,1.5542290033762318
H,1.0876258943838801
Hf,1.4589553952238823
Hg,1.5463693305983184
Ho,1.6369796927008378
I,1.8223051804210446
In,1.578060038294539
Ir,1.392388914728514
K,1.900956638575878
La,1.8202808429636097
Li,1.2521227537006885
Lu,1.5997646738276183
Mg,1.5454662228432692
Mn,1.286363880695918
Mo,1.325294899305294
N,1.0931124483700674
Na,1.452671317577505
Nb,1.6168319061501493
Nd,1.7691640112043059
Ni,1.1853725749801427
Np,1.5709541818855952
O,1.3069107823285993
Os,1.4560322948599402
P,1.3398886332790305
Pb,1.8108396183220066
Pd,1.3264351686128597
Pm,1.8054565934143583
Pr,1.786901965173434
Pt,1.3853749818912198
Pu,1.6209023324243133
Rb,2.074902378120561
Re,1.5985471070949213
Rh,1.2838832739819177
Ru,1.2768428586422307
S,1.3653342936380624
Sb,1.640694495431379
Sc,1.4978297900657536
Se,1.4468253981937884
Si,1.2769231924671405
Sm,1.7408151942298893
Sn,1.6485854993189815
Sr,1.8599429380292045
Ta,1.374715411737715
Tb,1.6876623253436314
Tc,1.5559315675051617
Te,1.653753392820909
Th,1.7333683360710985
Ti,1.3846356858861044
Tl,1.6832940127946443
Tm,1.6160915691935078
U,1.6018823089090406
V,1.2361668399533163
W,1.40081216924024
Y,1.6737342108283033
Yb,1.5929444272771522
Zn,1.3513274256140444
Zr,1.5066783135452717
