element,radius,std,ci_lower,ci_upper
Ac,1.97392587,0.0008225580576951123,1.9739257883303711,1.9739259031663112
Ag,1.4277384493329586,0.009622729351761776,1.4069926655419374,1.4439168524841006
Al,1.3590618708494273,0.013208353681008178,1.3316455566215248,1.3829915523411924
As,1.4102381255051528,0.00826718725094473,1.3942622333767691,1.4260635476304526
Au,1.3992248369436342,0.009091428351123051,1.381568140803735,1.4158272816857989
B,0.9548852875411216,0.02801440488149259,0.9234205827762514,1.0450971960497542
Ba,2.084874463333333,0.024548805497395944,2.0392566699983945,2.1259867000002344
Be,1.0949475161537792,0.0191215679095065,1.0544130806518528,1.1324972015355161
Bi,1.7119415324690992,0.026911338066292034,1.664140123782844,1.7696791238399894
Ca,1.75284274,0.02108982344101522,1.7223158320080305,1.8134125756148811
Cd,1.5232005393578683,0.007988541720495424,1.5089510562647952,1.5397179862383494
Ce,1.786815622523008,0.01621246367668041,1.7531342919844675,1.8134593979328242
Co,1.1709163486685996,0.020186022436489554,1.11865585512987,1.2025261327371024
Cr,1.3202262718783844,0.017093985164517475,1.2880860895039057,1.3540151371322764
Cu,1.2494614813856322,0.01680654554697748,1.2107796208644763,1.2766609773085942
Dy,1.6996533589427447,0.00908109759455239,1.6784171023908665,1.7162668420788683
Er,1.667388002791346,0.009044663800230992,1.6491035818690871,1.68368849
Eu,1.891526921625552,0.034326687086325205,1.8291992584922883,1.958427205
Fe,1.2225048923409705,0.05203712952586787,1.1201437908446752,1.3334153837027434
Ga,1.3542472240108243,0.018797629156816303,1.319124666955274,1.3937000176245824
Gd,1.7315125992090157,0.009448597501563561,1.7176041733987428,1.7539811874676485
Hf,1.5329602311446082,0.015018986472406654,1.505815479205038,1.565021924369958
Hg,1.51631709331816,0.014061296468237559,1.4906577870907454,1.5477989663566363
Ho,1.6776307055524688,0.009858331266482346,1.6585713873605505,1.694971665
In,1.55459051883508,0.008487139754893848,1.5382845119427981,1.5725828920976694
Ir,1.2654069154153482,0.009554984910183745,1.245969635076648,1.2836916309724091
La,1.8698872090875946,0.008932169432195892,1.8479954402121495,1.8842106148236444
Lu,1.6290692708127117,0.009178681426698318,1.6118618211705493,1.6482154082066922
Mg,1.5432642811760442,0.01070808717126421,1.5183619860364435,1.5649220925624578
Mn,1.309454292486311,0.024608115366457586,1.2605313553554058,1.3581679566183844
Mo,1.426938114450893,0.02016067484856329,1.3958601778071436,1.4780231349403932
Nb,1.505298274405087,0.015460066065776278,1.4751224037327704,1.537832169583745
Nd,1.8071590882741446,0.014161069496832547,1.7796831020389559,1.8350031567682916
Ni,1.180584968153811,0.015014501776597031,1.1517428147613609,1.2095100844043705
Np,1.6225602692278098,0.008393889466511656,1.6050202229869852,1.6385664170423773
Os,1.267955922584284,0.01781136344884408,1.235137364596948,1.3025734962862192
Pd,1.3184653566685576,0.01201596431150546,1.2941103645600627,1.3412969362990335
Pm,1.8076585421862232,0.01101874959681181,1.7854194547713538,1.8327181949128202
Pr,1.8258991004145957,0.015078315754196837,1.7955658443344726,1.8541226045817334
Pt,1.3345860552405346,0.010771747533468497,1.3116031471578695,1.3556230230715844
Pu,1.6325272808332953,0.020405272005267094,1.5871648151819489,1.6726520824873472
Re,1.2888904429338988,0.012324308567201592,1.2643377526580255,1.3154989151671108
Rh,1.254502133961178,0.011305891724713336,1.2299646078654891,1.2772098448288982
Ru,1.24718284203214,0.012054508240922933,1.222490556302699,1.271105708491103
Sb,1.633400600391242,0.016889959998639768,1.6015944500883474,1.6667056215792233
Sc,1.5353842125839314,0.007246646358938318,1.522573649424637,1.5507312336891734
Si,1.2983400505530571,0.025802767626363198,1.245151107907821,1.347005723440353
Sm,1.760283972301671,0.01049150787709638,1.7442053094117411,1.7865216744250731
Sn,1.616861281805006,0.02220920080287803,1.575265515632547,1.6636603431127548
Sr,1.9384324428530177,0.03609294562861556,1.8902111833045432,2.017814985
Ta,1.4742622606597753,0.028959758228947176,1.4098211682540622,1.5245658356243488
Tb,1.710057545,0.009995675766442724,1.694036088594822,1.733802074876584
Tc,1.3189730099449473,0.033288984157870224,1.2471626161616438,1.3582105916124667
Th,1.7344792828294935,0.021856599355150944,1.686735988627935,1.7724154260588312
Ti,1.4072475707353715,0.011571459193089658,1.3861532237837817,1.430898177972316
Tl,1.6277398781395913,0.028353983885581118,1.576921219055104,1.6872519965780877
Tm,1.6522102033604356,0.01008388760823362,1.6326389719244918,1.6728377102327066
U,1.6160738501396783,0.017492728021862886,1.5752442004918152,1.645188961785871
V,1.3005843499657155,0.0391483713770643,1.214941858099708,1.3656644746780275
W,1.4316873977652478,0.019826356450405626,1.3994442334191126,1.48261496438996
Y,1.708166995,0.007258578104578429,1.6899569281119293,1.7220849681747508
Yb,1.6312798816261176,0.009769926325121059,1.6108573581804908,1.64798722046245
Zn,1.3444997816269206,0.011623618109149383,1.3148151920344282,1.3614380254116802
Zr,1.5647816565025152,0.014547175380327624,1.5380796159816212,1.5943237575999363
