element,radius
Ac,1.9731550836634943
Ag,1.4852673728909782
Al,1.452845653039649
As,1.5070976062766617
Au,1.4747245882559146
B,1.3975528960212955
Ba,2.155593600237402
Be,1.1875180209785914
Bi,1.7503073922149597
Br,1.6847130773960648
C,1.147715522412266
Ca,1.9228178312271893
Cd,1.574351244897684
Ce,1.7157618935474208
Cl,1.6160892688122623
Co,1.2447629311265407
Cr,1.3560204292367755
Cs,2.2929124369481437
Cu,1.3317660954266255
Dy,1.7502227873827618
Er,1.7276520537472981
Eu,1.92319734085221
F,1.5377145469222122
Fe,1.281014669464125
Ga,1.482143143533774
Gd,1.7734149626064535
Ge,1.5024283078795568
H,0.9562917209701564
Hf,1.553706990968639
Hg,1.6234319214451383
Ho,1.7478084719000966
I,1.9329364091150485
In,1.6387312220328132
Ir,1.3610156482468294
K,2.2085942952077247
La,1.8211584563335097
Li,1.5748172424842792
Lu,1.6827645770716582
Mg,1.5756572924966785
Mn,1.3276456352957513
Mo,1.4309853998550393
N,1.183107166384967
Na,1.7852830412800946
Nb,1.4481907671546372
Nd,1.8027927714891274
Ni,1.254261873278959
Np,1.5998068630309603
O,1.7427591252278174
Os,1.3804440284728081
P,1.4967124345586469
Pa,1.625510084371351
Pb,1.7078630129830414
Pd,1.3885061777191354
Pm,1.775880836293241
Pr,1.8204007300546061
Pt,1.393384298973838
Pu,1.6086816942497573
Rb,2.3522576978100953
Re,1.529068819376964
Rh,1.3583619598952115
Ru,1.3593220193425364
S,1.527477388595087
Sb,1.643689511697701
Sc,1.5354316477237122
Se,1.5517892220101583
Si,1.4138555157396016
Sm,1.7974262297141357
Sn,1.6624180275630114
Sr,2.055119685989909
Ta,1.5048112135811456
Tb,1.7354395994800704
Tc,1.3447389928375426
Te,1.641441613808899
Th,1.7821740448138965
Ti,1.4553804845087812
Tl,1.6947530247625016
Tm,1.6950039265836374
U,1.5335138098517131
V,1.349136150486625
W,1.33765221630204
Y,1.7633321971150118
Yb,1.7116115076301515
Zn,1.4009541731132622
Zr,1.572434519665539
