element,radius,std,ci_lower,ci_upper
Ac,1.9082069801189914,0.01289722228892745,1.8853894852075042,1.9356583885086587
Ag,1.4297406645850794,0.009865171576190924,1.4042964517684375,1.4445653102538185
Al,1.3905989587593686,0.012022207137726873,1.3611870578774714,1.4118962484857944
As,1.4491864147742333,0.03075518663223118,1.3863921677471733,1.5087414103321755
Au,1.424228686946101,0.006075458821972128,1.4204205779363241,1.4420456974730966
B,0.98,3.3306690738754696e-16,0.98,0.98
Ba,2.1224684283014996,0.04544113594005975,2.032635473115157,2.2139609298099514
Be,1.0519454372595984,0.03720636509616487,1.003652756399656,1.1451611468656155
Bi,1.7225552876735322,0.010697651423061111,1.6990145932122918,1.7395774604796679
Ca,1.8651019903224384,0.019274148993263775,1.830027310075027,1.9017656033280652
Cd,1.5127296917801962,0.010702068426291681,1.4941077839414896,1.535868027109333
Ce,1.6826827415535952,0.011014165607240426,1.6585581370213978,1.7012639656807258
Co,1.180771102429976,0.02288145149285274,1.1332266415864023,1.220179251092379
Cr,1.2637580092766254,0.022850396482719356,1.2498490192656697,1.3328183909351343
Cs,2.2578550558220973,0.1148584170025192,1.982344776356273,2.399447404411184
Cu,1.1735630259854448,0.03659348623687813,1.0974450305716237,1.2392695425640092
Dy,1.7202355886883998,0.01084627710295752,1.698336459787978,1.7441341892195341
Er,1.6872707388457164,0.019268611644946775,1.6537733047088368,1.7348836987451697
Eu,1.845801106244694,0.019801839928917486,1.815050340854094,1.8909925624942685
Fe,1.232294935703254,0.028204326095190333,1.1618909561742834,1.2771541904683914
Ga,1.4015333776171512,0.01726372076460026,1.3847288200462393,1.4431189597526852
Gd,1.7500467074756467,0.021322895859550578,1.7065949890344998,1.78953155518624
Ge,1.452088717949364,0.01625005034902638,1.4164048619424445,1.4803172131926068
Hf,1.5210341440798247,0.010416291218870418,1.4999317918306663,1.5405681775733449
Hg,1.5679045563395437,0.009839785983404991,1.5455118001507548,1.5847951928566812
Ho,1.7149047106650352,0.0120912568738454,1.6937058056948064,1.7445125276048934
In,1.5970568355110903,0.009644677590013077,1.57780138532276,1.615657467828846
Ir,1.3111945749487546,0.02349680190601886,1.2533337749636972,1.3441563571114212
K,2.0998739688301886,0.017571663553201448,2.0698264490025386,2.1373597703011735
La,1.780059969372296,0.009416965002037937,1.762452793409754,1.799535687980992
Li,1.4360766055236638,0.01836235304191998,1.3940865186339495,1.4633491743263836
Lu,1.6446213988438598,0.014148124128140505,1.6118891549461722,1.6662917377644129
Mg,1.5270568746147732,0.01005175907787313,1.508078957020345,1.5433803380431341
Mn,1.236831298835447,0.03724464554933368,1.1569406826561928,1.2974253758581027
Mo,1.4031034920440302,0.017742686212213334,1.3641549598235414,1.441066305676269
Na,1.7290374482182467,0.016065362878134263,1.696086124841741,1.761319869600625
Nb,1.4474076712380928,0.007951331489312458,1.4324291723708806,1.462729242392645
Nd,1.7880741433628247,0.012580605062017608,1.7632353743679519,1.8119976229451682
Ni,1.0820197874002306,0.03689261868785481,1.0067774473560054,1.1447631931028075
Np,1.533827396146987,0.030797493491173285,1.4655173339593697,1.5830376743437893
Os,1.3020642116847099,0.021612871679630077,1.2706287928052276,1.357912955940469
Pa,1.585381246492328,0.017556522436596885,1.5467894827549584,1.6142272863156963
Pb,1.6782618096089965,0.01356690843603782,1.649117339472064,1.70238783860303
Pd,1.2769675865578143,0.0192136844239798,1.2329140325655539,1.3085210863087582
Pm,1.74205302499398,0.016671128516901453,1.7101832132212482,1.7754528713975386
Pr,1.7942474640574417,0.011417602588243848,1.7691242261228468,1.8151612466361247
Pt,1.313547262377448,0.017008549168339205,1.2750356749913494,1.3415596202727336
Pu,1.5199009162720742,0.030412484444921464,1.4931722602361965,1.641048974446913
Rb,2.2439107703648986,0.030677196712798015,2.1899126486211826,2.3094015957189122
Re,1.3692262373887087,0.00523710547348485,1.365970385234453,1.3724819820769671
Rh,1.2767049099677177,0.023182842273797098,1.2229374939576305,1.3112450097476622
Ru,1.228757938699857,0.022203287172329153,1.1862526310999582,1.2757921046971066
Sb,1.6405296900187307,0.030419440475319925,1.5718643723025174,1.6891841807104122
Sc,1.5424925823587416,0.019029105870204007,1.4974451400862685,1.5733190603764418
Si,1.3133765813915916,0.034224333163454364,1.2674598774888217,1.3895252826613573
Sm,1.7642754078929954,0.011871064040455317,1.7389256513225897,1.7857715940782493
Sn,1.6255834443072503,0.012667385803958027,1.5986564767007112,1.6473182996817721
Sr,1.9666714866534751,0.0186543836379179,1.9346475392905416,2.0053377630257874
Ta,1.4331648601081632,0.022746908260994597,1.3719811085042097,1.4607889436204913
Tb,1.7195216792808679,0.011987120855909356,1.6960625210309341,1.7422390854910534
Tc,1.3481027136623347,0.031831179942715934,1.2382517075196995,1.3839207543136727
