element,radius
Ac,1.9558173446725124
Ag,1.4417218643654923
Al,1.401338159632483
As,1.407110441495342
Au,1.4240220619277748
B,1.0667898243671983
Ba,2.124131770137249
Be,1.1945471165469164
Bi,1.6888654970440533
Ca,1.8554858071939493
Cd,1.5425990025248202
Ce,1.8353045905197372
Co,1.1829134756497295
Cr,1.3287836766718504
Cs,2.4140528994478725
Cu,1.278941935664603
Dy,1.707970017515556
Er,1.6875124684239284
Eu,1.8436503040376093
Fe,1.2166949245690055
Ga,1.4042691978153998
Gd,1.7314353468767412
Ge,1.4069624130219267
Hf,1.4947065561315647
Hg,1.5516942611188473
Ho,1.7073964612741974
In,1.5825695761104996
Ir,1.2755671211760649
K,2.1401126853081345
La,1.8393043514964358
Li,1.3836681235727104
Lu,1.6608096010369038
Mg,1.538575411216072
Mn,1.2910389247097707
Mo,1.340087411796795
Na,1.6956229942894545
Nb,1.406917701430591
Nd,1.7920255895038042
Ni,1.194543652547033
Np,1.5982554487148586
Os,1.2604794615907755
Pa,1.6203282837279662
Pb,1.6755872120422561
Pd,1.3256140859212542
Pm,1.7748743467120964
Pr,1.8134778181833868
Pt,1.3213317016520145
Pu,1.6279626193194277
Rb,2.2815475238422653
Re,1.2778271381851605
Rh,1.2675769728680704
Ru,1.2467584891823624
Sb,1.6001911145257062
Sc,1.546084718130111
Si,1.3338018489790169
Sm,1.7626181041295852
Sn,1.5922486101582631
Sr,1.9977255270715293
Ta,1.3864376792335604
Tb,1.7190903898815681
Tc,1.2771407799504104
Th,1.7681032078114718
Ti,1.388241999307333
Tl,1.6306958573129682
Tm,1.6798919521876712
U,1.6004156968222234
V,1.3426680987116488
W,1.3356829921169684
Y,1.729224101804737
Yb,1.7784896990452026
Zn,1.3762777597957503
Zr,1.5236810927465108
