element,radius,std,ci_lower,ci_upper
Ac,1.9108242534568183,0.006779881024910491,1.8935120999221786,1.9201790837199981
Ag,1.4602106246254176,0.005485510297619003,1.4467315984050724,1.4672987912584445
Al,1.4133761120161885,0.008722921412393902,1.3912144076302637,1.4255605154561506
As,1.4314125494168521,0.006933526712357678,1.4167733117888426,1.4430827639156327
Au,1.44740341758826,0.006067503341328799,1.434374929586048,1.458239846823605
B,0.9184837650842881,0.03845454647226162,0.8980148671727188,1.020665831226517
Ba,1.9803629295242355,0.017161664390790986,1.9632422482657559,2.0218637069295093
Be,1.1468059742975034,0.013865202868265423,1.116209098771273,1.1735722767701997
Bi,1.6916054999999586,0.004926590444710702,1.6916042097460298,1.7097135503776826
Ca,1.7256981601021,0.009520951467379146,1.7154967131257164,1.7542120336995934
Cd,1.5436214999999684,0.006080892770382346,1.5430259128448698,1.5602947492229282
Ce,1.8213017060829568,0.005643734145508798,1.8072722809773665,1.8281375000000006
Co,1.1304118583890432,0.009088496452522549,1.1155748167312518,1.1501998112527347
Cr,1.3062471626466723,0.016101702150509697,1.2844489999999698,1.3378401975508263
Cu,1.289330739606711,0.007372657596873889,1.2716943716430142,1.3009212274314672
Dy,1.7105391227945506,0.005524737178330109,1.6960467638895111,1.716923500000013
Er,1.6919505104216892,0.005598948502130265,1.6763608512299295,1.6981219999999855
Eu,1.7281699615930115,0.009768333205458031,1.7184512329753963,1.755245500000144
Fe,1.1971653066604635,0.010498040047190939,1.183445670435796,1.2234008009429402
Ga,1.4202065364857817,0.008261418217429121,1.402782294232087,1.4350192574157445
Gd,1.7313340000000033,0.005198662724500378,1.7174996660040367,1.7400563888574203
Ge,1.4291793162276143,0.0071516619662617105,1.414315606867797,1.4420544756296831
Hf,1.5171021113601997,0.005144781849418733,1.5062874800032142,1.526281026010035
Hg,1.567165233690951,0.006018992590336328,1.5534038605959626,1.5760670000000014
Ho,1.70762350888847,0.006531075768015079,1.688590110236505,1.715166368099137
In,1.5720845000000314,0.008593858719973613,1.5617586579523106,1.5951227417414244
Ir,1.2248070893208178,0.023334317010240718,1.2019917494235013,1.2958002725410718
La,1.8114863689797962,0.005854421959122155,1.8000328621059847,1.8191736471826254
Lu,1.6583793912125189,0.006277017147080113,1.648649499999978,1.6709663824512622
Mg,1.5089599999999161,0.010194057442888114,1.5059920334899868,1.5445675869524038
Mn,1.2712086408349583,0.016065577471234688,1.241223685930582,1.3057903274936609
Mo,1.3484585473808586,0.007880257226147777,1.3316795523520482,1.3629361876522923
Nb,1.4222786695589764,0.007291137363638712,1.407156897434464,1.4354854335498863
Nd,1.7822017199508435,0.0058770223546583174,1.7703944999999912,1.7933629999999998
Ni,1.1800684697137034,0.007595884403834192,1.1683497441676307,1.1996111162168694
Np,1.5907655339850686,0.011599454935771887,1.5791987699059085,1.621489991398361
Os,1.2094872264684842,0.013030165587936514,1.1885484210975072,1.2433936463998343
Pa,1.6423399596140318,0.0074326815272308736,1.6269991521682754,1.6565257826848643
Pb,1.6792299999999614,0.00422856095408317,1.6702695000000196,1.6906324672993032
Pd,1.3428913851777746,0.01093045760040194,1.3214967065786278,1.3646263850836058
Pm,1.763063424552602,0.005518133784500623,1.7542147024856243,1.7754840344733072
Pr,1.8029514869467478,0.005874573530240471,1.7876675600513783,1.8097324999999933
Pt,1.2988565914714434,0.025228023205545052,1.2843357058135068,1.3611201233877686
Pu,1.5449534999997654,0.01749513489448479,1.5449534999997245,1.5941600563620864
Re,1.284211503489588,0.007021826644281646,1.2762157759075055,1.3042454833436505
Rh,1.2382737843497127,0.01435368865715212,1.2114882195997887,1.2776748609797146
Ru,1.2137616363325188,0.010876087526311888,1.1892736073040395,1.2357287081769674
Sb,1.5867239999999043,0.015175011309178135,1.5867239999998939,1.62614237781843
Sc,1.5567945174400621,0.006691274887596254,1.542399125560776,1.5685261835085322
Si,1.3531518681900487,0.007753172499149445,1.3361115883496377,1.365150789588806
Sm,1.750661999999978,0.005873436690719596,1.7403735000000993,1.766038790366226
Sn,1.5865779999999279,0.007341986402196345,1.5858297971496702,1.6106314957171715
Sr,1.882482533177953,0.011431933220314631,1.8637464686062835,1.9094755000000554
Ta,1.3419149013877838,0.03406113629178156,1.3271534240726686,1.422545050035
Tb,1.7203769852887807,0.005073765818517762,1.7072955485421093,1.7266059986322038
Tc,1.2437702825990773,0.016224602441152706,1.2242517441925576,1.278931670882864
Th,1.770516668316714,0.0072078116200685015,1.7566551424343542,1.7841875080410308
Ti,1.3982130940106232,0.0064510356062834765,1.3849788082125012,1.4102297357158813
Tl,1.628929960782023,0.007854550276724034,1.62177600000002,1.6481179672429975
Tm,1.6845573705433547,0.006076699658138924,1.6685545241024917,1.6911705000000008
U,1.5964709999999627,0.006697878847323794,1.5898417384651145,1.6159720693875834
V,1.34442290053197,0.011696739969776567,1.320794495899902,1.3616990815475267
W,1.3500013041209358,0.007693301337550092,1.3339854842830632,1.364023631829333
Y,1.7236054999999884,0.005330759825041273,1.7085489389491635,1.7312605000000085
Yb,1.6680319999997377,0.008712806816120074,1.665250000000236,1.6983103411535159
Zn,1.3847862007252023,0.00754500628425755,1.3684713352693487,1.3980297466614973
Zr,1.5456670386617068,0.006612684179268896,1.5320776436614005,1.5574897328595798
