element,radius
Ag,1.4709213248891388
Al,1.473801510920849
Au,1.4426385458499
Bi,1.7857345362763188
Ca,1.7707747799584057
Cd,1.5458010140194915
Ce,1.748645411275182
Co,1.262850803233472
Cr,1.3183071128965607
Cu,1.2890091288843477
Dy,1.5664989908326972
Er,1.5668139224807256
Eu,1.6542769430816102
Fe,1.2774902153838454
Ga,1.4987810584687293
Gd,1.5928156692253908
Ge,1.4531898688634468
Hf,1.4072093361792553
Hg,1.6141207348849895
Ho,1.5722442369977263
In,1.6395871068575942
Ir,1.387987622085205
La,1.7598812542578044
Li,1.397422222536076
Lu,1.5307619207615912
Mg,1.411033243356422
Mn,1.2792007844270858
Na,1.7447696062712579
Nb,1.4361288213547083
Nd,1.6239647814112625
Ni,1.2365638493506397
Np,1.5805155883133313
Pa,1.4978017356089184
Pb,1.739200658963794
Pd,1.4139508119326083
Pr,1.7059427790787063
Pt,1.408799713236558
Pu,1.5889174940785737
Rh,1.378179417629883
Ru,1.3747714643221136
Sb,1.4072103072788167
Sc,1.4257130450004694
Si,1.380526806270038
Sm,1.7041523338382147
Sn,1.661557609715372
Sr,1.7857345362763186
Ta,1.3529086594424016
Tb,1.6504647723945753
Th,1.6806202316043297
Ti,1.4016804474805897
Tl,1.6921444042637968
Tm,1.5546880504092753
U,1.5494559691408198
V,1.3371519860603451
Y,1.5934833630250325
Yb,1.5961535998342316
Zn,1.3674090672559278
Zr,1.5060350232391417
