element,radius,std,ci_lower,ci_upper
Ag,1.4264587611082418,0.02980019107766417,1.3402923656539594,1.4731555454396872
Al,1.3984111427510275,0.012332039693856484,1.3707420351956976,1.4213975274856383
Au,1.43450220208858,0.03378976189628558,1.353962774130585,1.4739885871213292
Bi,1.5784731949341477,2.1897874691285675e-09,1.5784731949341462,1.5784731949341486
Ca,1.7666273639292975,0.02311062076630296,1.7113937292819015,1.7861259198797796
Cd,1.5053043808391557,0.04213278258829296,1.3950187284131021,1.5815286572919154
Ce,1.7374341820848223,0.015770210538903526,1.6910273227400643,1.7549155299880503
Co,1.1105022818434578,0.024778125960499456,1.0675549089605876,1.167078575473149
Cr,1.410453361786385,0.01794660578365191,1.3748521601382533,1.448016059182069
Cu,1.2620409845478273,0.032076891570617994,1.1951314920927782,1.3109441526272883
Dy,1.5867505689694121,0.018905887301998235,1.550897763117607,1.6269859437980405
Er,1.5791774307915958,0.018458039284016056,1.5454706532272222,1.6217710067194777
Eu,1.6792489022924035,0.045209339480897615,1.5804908022919046,1.733426766129854
Fe,1.1057069991750699,0.060246178455052195,1.0315804816835497,1.2724738752475853
Ga,1.415030546887617,0.018119125016874467,1.3726660722775168,1.4467704916820359
Gd,1.5894168135821818,0.024570740038508225,1.5474066407690121,1.654473109005261
Ge,1.3561995582448332,0.02962188593579817,1.3068950000044939,1.4184456953437643
Hf,1.5064819559773555,0.01907620524713577,1.474808227464247,1.5475353281702584
Hg,1.5717769716963141,0.04523910567785125,1.484607898278177,1.6793718912536924
Ho,1.584902697622114,0.018823929720852128,1.5514303229760156,1.630511624410449
In,1.6215519842954205,0.007636456962812582,1.6014116106485654,1.6321060941305614
Ir,1.305368328531344,0.01808717493127973,1.2632942322525669,1.3329516417003258
La,1.7485790786645954,0.021957592739108793,1.6825481616365512,1.7777425306949903
Lu,1.560388012625246,0.017663431513979786,1.5273220108522105,1.597622199016739
Mg,1.4930024541327496,0.024361033749063715,1.4571297428188044,1.5656338778799141
Mn,1.2662262078691187,0.04653784692343814,1.1394807699445193,1.3625725042386707
Nb,1.4529417758810528,0.012251530709765484,1.4385858499579247,1.4869748474627553
Nd,1.664046182908645,0.024925303523797897,1.6083086445600532,1.7065666892286424
Ni,1.1740808952213873,0.04495235627226405,1.0620627749467533,1.2319427824875293
Np,1.6075452484873438,0.016661257279722785,1.5742518499467462,1.6397765342910902
Pa,1.5970743554626319,0.01945401934588699,1.5619778247580511,1.6383503267418966
Pb,1.7166770154027824,0.00434812897660095,1.7077639766605792,1.7247748935672043
Pd,1.294474835064087,0.022512403483664,1.2499446570447263,1.3341448967091047
Pr,1.7102608071266225,0.017269893130815693,1.6638117863718822,1.7332488840735043
Pt,1.3309058782217014,0.016936466845351508,1.2943214777574865,1.3604529843890176
Pu,1.6067333562050181,0.013701855569728312,1.574242499515085,1.6297083658407012
Rh,1.2622534822240146,0.018227372150809325,1.2283520786096247,1.2990170694332663
Ru,1.2708260147394717,0.02949691428801507,1.203160307441144,1.3105454523073272
Sb,1.4201851553026856,0.044818366684976234,1.3302094463540894,1.5466987333364899
Sc,1.4986762996195253,0.01558523530736495,1.47177217330777,1.533896018741453
Si,1.28043907221529,0.03766548037879644,1.229240582783416,1.3809540697016947
Sm,1.6894659031527948,0.01998553601927697,1.6232361895325707,1.706813701329566
Sn,1.64224990086383,0.008216367980698953,1.6262429993522123,1.6558226708047685
Sr,1.9929958776184902,2.189787469128581e-09,1.9929958776184886,1.992995877618491
Ta,1.4698732067866804,0.020795798702134202,1.4279457974458307,1.5113531370858664
Tb,1.6531820263918764,0.03193049837497649,1.5707905686939578,1.6797441554182742
Th,1.7193955895530375,0.021116677362581274,1.6609730492727512,1.7471568044963781
Ti,1.4115219603144797,0.025844557381452565,1.3471530640508533,1.4477406651431934
Tl,1.6740601224760963,0.003759561726952614,1.6663116546863366,1.6809515643527997
Tm,1.5845631271256693,0.020560312762570497,1.5460439221984346,1.6278376654115183
U,1.5831726345495376,0.021268691767375433,1.5448781073223445,1.632361674099125
V,1.3473113621014527,0.04322154223688645,1.2342403944125495,1.4105548562908288
Y,1.599497693209128,0.02192358271502809,1.5589510737285528,1.6514494292500155
Yb,1.58159161425291,0.03494269463712339,1.519684060906389,1.6647926483429027
Zn,1.3501899923605798,0.01692164816707586,1.3223336369213459,1.383978293702527
Zr,1.5214661674359233,0.0129721320646465,1.498295586609698,1.547225201825803
