m1,m2,r,F
30899142563.213554,23379645497.780163,285.7791445845429,590349.8922450201
90961711594.71115,47316171135.43214,109.89624579263243,23784208.686705437
44550209923.58903,17681470127.077946,223.19706706192653,1055303.4596235594
58919757500.25898,99718682666.13527,910.0167776632945,473505.34637328685
91582489986.80923,55197550929.81184,886.5010698062637,429299.05280572094
66181419632.259285,63584651558.80394,637.6717919532774,690685.223663126
20520823663.752766,16036882964.958475,640.465174390288,53543.88895172129
94584891125.21275,77496442335.92601,698.5330070916299,1002572.6933756118
66493724776.427605,28891503378.602722,257.83415076110464,1928662.003360579
40141505319.13775,90824886049.66423,922.9707513324638,285633.3026625766
22534486539.704853,28462567643.380642,476.8934724028658,188219.74863076952
81462267034.32663,27161894859.729992,444.8246754245477,746319.8916939453
65806548033.566216,13289470106.32854,567.0259347545538,181533.6460468694
58011498277.868935,52486025059.89993,142.26937009754954,10039709.593960725
90450332474.5862,60835701993.635475,249.65503188047145,5892156.127397926
80973749010.20776,15913777548.551714,764.2302547837334,147249.99165625562
23650739175.94761,79797485502.55095,174.51880113261382,4135572.946503566
38054986101.59934,50795995127.32249,642.8368985197494,312194.7881981981
32364022583.301918,57195124239.48221,320.81419871318883,1200329.675398646
76955166331.54092,49668647224.44053,450.36605263777886,1257694.0923239065
13017919126.220146,46068675478.77934,359.82436309362987,309137.98145984183
61290071638.41849,60367629817.73961,420.1054448184542,1399148.578001923
78621281716.66216,23971622133.764122,747.1413146658209,225329.59737557344
88908907308.55745,26373531744.5744,367.4095440608575,1159308.1767195826
40787357384.43167,87560705891.21655,609.7641762672074,641057.835485138
83913157420.48116,95150391592.02695,528.4453619791897,1908212.1811180492
19956856325.96865,43597838465.17777,697.3040488263833,119426.0084369183
86180706256.10663,34367020582.91984,943.1467653922822,222218.17415449413
21473979609.878418,67959958891.51141,759.3148874892253,168930.4801000999
45755856150.43305,46786075398.828674,293.44634073168106,1659174.6673184705
81756582920.15982,12284772009.431038,128.06482155515621,4087110.1027249866
23492568461.389637,24053733762.957134,336.03763986984256,333982.2233738643
30632625570.937733,74437500596.26578,635.5701376302294,376734.3670137405
75002731155.37596,69303154771.91362,146.2832321358253,16211648.920648169
74803288289.1467,12438639325.313515,546.7296224811128,207746.90221803245
67703286959.67676,29977494573.96545,637.1585640252002,333653.9262038791
72455360002.039,30796731692.926426,400.81950173526474,926965.6961732506
58845199901.28366,70470346923.88556,793.8209833712398,439196.13053998427
32661915301.625748,11773948397.892773,195.93842782039462,668514.3601563507
41112639415.352745,19369772378.61165,167.62400356222787,1891531.8581384206
26343794512.12831,81992447683.58704,755.369880583243,252649.8565763812
91760550520.02655,26069019584.890026,545.9421845855786,535640.74404038
62505261528.950836,68747149706.66872,719.5621567849624,553886.5840846427
46076627508.72759,31436450294.205387,491.34460474337163,400431.28822132945
51580522327.97195,18949725348.341064,321.76182991519613,630094.6780893402
95255500565.06339,31885497189.950867,837.1920859067798,289213.9458312801
23801626280.44722,75004023867.00932,819.4742910720813,177421.69791542113
62760684881.51175,87012682129.56572,725.2268237689841,692960.8748088786
55529981099.60194,84719787811.02925,344.9306235069664,2638973.8115830896
65030881189.11831,45746517665.660934,631.2076001821783,498332.7647591253
11629916543.875645,70127662291.35815,424.8765072460241,301527.36048186984
88491151804.97363,28448586587.42389,182.42386599397074,5048744.97600471
93890645423.5251,36383295723.491196,925.5822179160185,266121.86497769435
60861986523.02881,90670223666.90077,223.13676782706526,7396984.9825525945
72698574148.9203,11170173115.966242,955.2136184387222,59397.885950731215
93024944305.95662,17695767776.902126,501.40519566216017,436995.9093070322
73651477088.20587,28709762963.142456,266.61963595475765,1985239.9587080819
23728513862.283524,12387898348.643774,587.7108526405223,56797.20351752921
61865952415.01319,26329189158.08176,885.6512522887674,138595.74843673868
64604354174.45703,62473740487.27229,759.0023977686051,467583.5298199385
48171760417.214745,47928209553.324814,825.9050330753048,225896.60294991033
76279981206.22505,90340453996.92773,692.9050300396456,957925.2485589016
94093031329.21133,83569920556.45967,723.0489080660673,1003825.6820967059
