n,R_H
9.548697941351278e+23,6.53798154115504e-06
7.379231270040989e+23,8.452371381663037e-06
5.543986171061496e+23,1.1269153838012172e-05
6.117595741597288e+23,1.0202206682903134e-05
4.196581024215472e+23,1.4866227892568579e-05
2.4780621640220737e+23,2.5186619326807814e-05
3.560370813833965e+23,1.7536565063029675e-05
7.578703258533227e+23,8.230860530532552e-06
1.4492049280892892e+22,0.00043072432172019877
1.1616103324286555e+23,5.373988289140294e-05
4.609804175755057e+22,0.00013541378202259533
4.082472943873824e+22,0.00015289728507864852
8.55475037952606e+23,7.292051037794336e-06
7.036874935940856e+23,8.873015673379257e-06
4.742264117044165e+23,1.3148424257121574e-05
9.792437723493637e+22,6.373100528711672e-05
4.916667135293207e+23,1.2688808761445657e-05
4.735244236034876e+23,1.3180284306231504e-05
1.732845497230242e+23,3.602592393947769e-05
4.339082640730493e+23,1.4400737352472053e-05
3.9856488392393374e+23,1.5670260565922975e-05
6.158885130424112e+23,1.013367204978128e-05
6.35130141502557e+23,9.828027466934375e-06
4.539947937106732e+22,0.00013748488301605784
3.746751533650086e+23,1.6660106316768367e-05
6.25897329722665e+23,9.970310225616893e-06
5.0318594495422974e+23,1.2408576174436933e-05
8.565041922042034e+23,7.279721503378151e-06
6.587277622557831e+23,9.4813346134327e-06
1.6301813363872156e+23,3.8306756165189236e-05
7.06616905256898e+22,8.833811298930503e-05
6.42455036278495e+23,9.720179184518265e-06
2.660865941056765e+22,0.0002345996013996195
5.85817003715336e+23,1.065152905448716e-05
9.402362184008151e+23,6.6412079538165664e-06
5.755166304580914e+23,1.0846375924576237e-05
3.882311092139013e+23,1.60795369414732e-05
6.433238896205089e+23,9.695309621571562e-06
4.583070652024675e+23,1.3620365163988579e-05
5.456622276370034e+23,1.1444652617877709e-05
9.414706622956475e+23,6.6447735392139785e-06
3.861640275369942e+23,1.6174219157924682e-05
9.611944447675319e+23,6.515740449493776e-06
9.053601068918682e+23,6.8870385907806754e-06
1.9587155567581754e+23,3.187755291926602e-05
6.945436474507794e+22,8.98766350447541e-05
1.008679235772889e+23,6.190675727946034e-05
1.8320003468984574e+22,0.00034072314362423373
9.45335164598528e+22,6.602318065146723e-05
6.830384727390152e+23,9.132872334477707e-06
7.1281529595382966e+22,8.754979506609983e-05
3.190437327307319e+23,1.956007664395628e-05
8.448908234383576e+23,7.380578931915663e-06
2.3369608542252285e+22,0.000267108984242779
8.144870357406769e+23,7.667379022025479e-06
2.819265892959226e+23,2.2159976799250876e-05
1.1825301113889409e+23,5.2796297515903014e-05
6.967674916476142e+23,8.953026154465521e-06
6.28979952495206e+23,9.915334154163977e-06
8.774842663257002e+23,7.1186618455534425e-06
7.350975366995053e+23,8.478456178254672e-06
8.035005822918101e+23,7.78706720713855e-06
2.8210636911404937e+23,2.213889941140862e-05
1.7752179982534486e+23,3.5158298138661434e-05
7.506396901656942e+23,8.298705580485454e-06
8.068540557933372e+23,7.750002596747267e-06
9.905060914864733e+23,6.300882733515256e-06
4.126764151437354e+23,1.51385085266857e-05
3.720808839842039e+23,1.6760508161904464e-05
7.764353194459226e+23,8.03356485445597e-06
3.408694598989926e+23,1.8312626568111523e-05
9.307642498710044e+23,6.706998612021811e-06
8.584269105678275e+23,7.267169392656107e-06
4.2905112797228085e+23,1.4555070925013333e-05
7.508959806847182e+23,8.30232241868608e-06
7.545674197972738e+23,8.271126927138646e-06
1.0321355644904902e+23,6.0479665943053226e-05
9.025626513888987e+23,6.921226328832443e-06
5.053018472106124e+23,1.2360518947309407e-05
8.264748203611309e+23,7.541551437709255e-06
3.201175960705087e+23,1.948435937478131e-05
8.955336761733508e+23,6.983142506006036e-06
3.8926275856628974e+23,1.603927087995525e-05
1.0936567715150332e+22,0.0005707563430571688
9.053914382216218e+23,6.909984992681134e-06
9.137754811845495e+22,6.831331199635354e-05
3.193817062266559e+23,1.955642289814989e-05
9.500669608540998e+23,6.570946029535974e-06
9.506120862228623e+23,6.587110623802552e-06
5.7348054433447384e+23,1.0902311950106609e-05
6.318740284485823e+23,9.876373822423439e-06
4.4850067742612195e+23,1.3927637281571022e-05
2.9328145062089475e+23,2.129043622827489e-05
3.28731678915379e+23,1.9002416802484235e-05
6.725512042314306e+23,9.271721780953654e-06
7.523992919847363e+23,8.303249572818082e-06
7.915998858214759e+23,7.896130169316707e-06
7.896391809802745e+23,7.887538647240234e-06
9.12969824383855e+22,6.836060521856464e-05
4.9447086267211127e+23,1.260360177910934e-05
