d,sigma_y
9.05117107548811e-05,49407606.12831657
3.547729123530674e-05,49136009.31426518
5.188495942682127e-05,50048521.697359174
7.858164826137317e-05,49169049.939992905
4.025773544980575e-05,50270456.90458331
6.258658332255947e-05,49949761.95375266
8.637400716592777e-05,49761052.006933115
9.500254174210657e-05,49092436.389256634
1.5560274611974758e-05,49423228.796185575
9.273217489098796e-05,50755391.27774816
4.9719513014874284e-05,50500917.25853423
2.656619444159688e-05,49022444.85220896
4.645443986758787e-05,50099332.37878873
9.802322495326223e-05,50751387.17387343
4.976919130529409e-05,48330594.78975308
3.354640941846331e-05,50543360.278707005
6.370668457735585e-05,49337376.30369787
2.4774416259041115e-05,50570598.7690474
8.510469482757729e-06,49236741.01485055
1.3759092469154275e-05,48195118.03413089
1.3676538056819472e-05,48372457.697318465
1.6038366657717142e-05,50048085.07151178
1.4743890092291604e-05,50259722.63193736
6.444659973551825e-05,49095683.437178664
1.900612835551534e-05,50638592.57346675
3.522106104906246e-05,48338480.02198082
8.978205258069517e-05,49933920.254121244
4.792220238602436e-05,48788983.87246488
6.70882161135817e-05,49348163.95324239
1.8059667248961356e-05,50047398.7889727
2.0036612862058407e-05,49139586.746417254
5.045993010381407e-06,49615444.678355575
1.772457124414429e-05,51006292.92797771
2.8580443564163905e-05,49423108.22400354
1.8524037943397936e-05,50835692.22823733
9.781550841948506e-06,48870293.30521207
1.2942951238959482e-05,50529804.31689561
4.661709803523985e-05,51441568.693889305
2.142703812217346e-05,47528355.60788892
3.706271624375947e-05,49203104.82665944
5.083830981463083e-05,50577072.19730579
6.934908803430717e-05,49796954.673998244
4.891901844268795e-06,50371146.09943517
8.014162949199522e-05,49396014.86913646
6.316213855959987e-05,50086589.85038607
9.094144162938321e-06,49844322.93040966
8.748428378657095e-05,51167782.11511686
9.21663676526495e-05,50254420.89538275
7.046718025631512e-06,50337602.85042994
2.841088716657317e-05,49588123.12768288
8.081392669951308e-05,49512393.831546985
7.507770934798218e-05,49567441.86988552
1.9267580916281357e-05,50394452.256286874
2.172558301033432e-05,49579015.626451224
3.7676738176346813e-05,50289774.93835434
4.896777553391111e-05,52075400.87009751
6.22072223814993e-05,50871124.76682591
3.7522450317407466e-05,49673976.549457386
4.679093689718164e-05,51201213.995259196
7.49996228752419e-05,49591924.684713624
4.631637086169192e-06,47961875.69715078
2.5991257490058056e-05,48991913.78715715
7.162160900257069e-05,48129208.13805516
8.962547693103274e-05,49648486.56877332
5.1656066769450945e-05,50018418.44875752
5.3679235041266254e-05,51676437.38051966
1.1610029122637831e-05,50326927.5205058
4.529382431552201e-05,49780899.54548459
5.3729109379047296e-05,50829405.64939617
2.500457985983824e-05,47788864.79098296
2.765507986398872e-05,50235614.65318712
3.8351132147357645e-05,50770865.27462551
2.98704857999491e-06,48521414.04352044
3.288583739273465e-05,51143754.1303967
2.193335269265792e-05,50338496.514256604
3.342223786561355e-05,49584712.17258648
1.2856451050105872e-05,50632782.00555338
8.91622007932496e-05,52270692.91075606
5.976565290185082e-05,50181866.31973465
6.823112959530448e-05,50248220.64683146
7.912795262212649e-05,49540639.15666865
5.0345777693976674e-05,49150155.70100264
9.605108520654946e-06,50830335.97787563
5.417354764003623e-05,49143916.24202344
5.909727068406703e-05,50071566.30226026
7.479850794424867e-05,49522342.61104762
4.373429507673826e-05,50478979.90135286
1.3630449976760813e-05,50333662.24071696
2.9093814674073726e-05,51037540.03695575
3.6945147343464875e-05,49489983.68340574
6.494580689182852e-05,49730125.126749866
5.750705216222228e-05,49021236.350151695
3.6253575863886775e-05,49555706.82296527
9.866500963050499e-05,50377300.54338198
6.097170711633183e-05,50756988.68067864
2.4485452381863456e-05,49077834.776867636
1.1076464789419971e-05,50869606.07034007
1.6133054779248872e-05,51355637.98328842
2.5349815110066307e-05,50413435.00253133
1.6907455952696012e-05,51876795.934157304
