Method,RMSE_Ang,MAE_Ang,MAPE_pct,R2
Alonso Vegard,0.028048002936929405,0.01674843749999999,0.504104950955263,0.9845232634480257
Alonso Eq.10,0.02293315353914501,0.014095312499999957,0.41831328546623103,0.9896532713647935
King Vegard (this work),0.02266047702304081,0.0139364440736136,0.4208333385611711,0.9898978550103746
DFT Eq.10 (this work),0.0267652095933015,0.02020672580069823,0.5875512515994443,0.9859065668835181
DFT Eq.10 SS (this work),0.020967960304605352,0.01168516323509302,0.3477717777147469,0.9913505623362756
SS Eq.10 ML-filled,0.03804720271788319,0.028282134199002613,0.8520516600208354,0.9715212471729402
XGBoost LOO-CV,0.12248376972949403,0.079390938770771,2.3988244338519937,0.7048569300937269
XGBoost 5-fold,0.13204259440354027,0.09001229412555692,2.7113489920398997,0.6569925133411623
Transfer (base),0.08105582676437004,0.0694017883360386,1.973719352403633,0.8707460031561105
Transfer (corrected),0.03201390657800621,0.021009642076399326,0.6348628906391487,0.9798371068764293
SS Eq.10 + Ridge,0.021192748944076658,0.011593922517105539,0.3441678219721015,0.9911641143193589
SS Eq.10 + XGBoost,0.02122088129745507,0.011607221430424274,0.34459459143078475,0.991140640324153
SS Eq.10 + GPR,0.02135121879746866,0.012377662123011127,0.3663276946053627,0.9910314787065155
SS Eq.10 + SVR,0.025514405477778435,0.013609923463943518,0.4052896840304986,0.9871930295410382
SS Eq.10 + RF,0.02208142785870373,0.011747542641244405,0.34942154708891116,0.9904075441865424
SS Eq.10 + Cubist,0.020967960304605352,0.01168516323509302,0.3477717777147469,0.9913505623362756
Optimal Ensemble,0.020967960304605352,0.01168516323509302,0.3477717777147469,0.9913505623362756
3-way Ensemble,0.020967960304605352,0.01168516323509302,0.3477717777147469,0.9913505623362756
4-way Ensemble,0.020950185481212795,0.011517243858720015,0.34251497584519397,0.9913652206110914
