composition,struct,a_exp,a_eq10_ss,delta_r,delta_sf_ss,delta_sf,delta_sf_signed,Omega_yang,n_elements,error_abs,n_pairs,n_missing_ss,n_missing_combined
Mo-Nb-Ta-W,BCC,3.2134,3.226391123098235,2.261633768569126,0.0,0.005582378838088194,0.005666427817668511,5.631180116223793,4,0.012991123098235136,6,6,0
Mo-Nb-Ta-W,BCC,3.24,3.228970012211863,2.271109805649284,0.0,0.005504302031785937,0.005529810299866576,5.673309262486209,4,0.011029987788137241,6,6,0
Mo-Nb-Ta-W,BCC,3.222,3.2304546833135332,2.265913597971831,0.0,0.005531583433043289,0.005634108992014921,5.599250069311099,4,0.008454683313533273,6,6,0
Mo-Nb-Ta-V-W,BCC,3.1832,3.184202939115836,3.2602577541452957,0.0,0.00798215286809282,-0.0012594715233952359,8.640908286368878,5,0.0010029391158363765,10,10,0
Mo-Nb-Ta-Ti-V-W,BCC,3.216,3.2064323740129383,3.1775608944217297,0.0,0.01592366837139645,-0.010450961405011339,11.699719277160943,6,0.009567625987061845,15,15,0
Hf-Nb-Ti-V-Zr,BCC,3.377,3.362470782810671,6.17204987727566,0.0,0.01490075009708199,-0.014351576350490496,192.48376897521086,5,0.014529217189328758,10,10,0
Al-Cr-Fe-Mo-V,BCC,3.01,2.999878538271886,5.124250816307993,0.04642339478692385,0.042220637954057096,-0.038130598220732656,2.9695423402454306,5,0.01012146172811379,10,8,0
Al-Cr-Fe-Mo-V,BCC,2.98,2.98892617287112,4.702630318289004,0.039426812669955284,0.039760202407878545,-0.039746049687172554,3.0437613633774565,5,0.008926172871119853,10,8,0
Al-Cr-Cu-Fe-Ni,BCC,2.894,2.890488757720927,4.82173379480604,0.04447185554469641,0.040500651302612926,-0.02430263595280022,7.639420503479952,5,0.00351124227907329,10,6,0
Hf-Nb-Ti-Zr,BCC,3.438,3.4372208037703755,4.143898538279659,0.0,0.013690216749468787,-0.015489479911794638,10.747669854362092,4,0.0007791962296246346,6,6,0
Cr-Mo-Nb-Ti-V,BCC,3.14,3.138251694200731,4.942736746811612,0.0,0.023623799415357163,-0.01929054795691233,7.54468906159812,5,0.001748305799269101,10,10,0
Nb-Ta-Ti-V,BCC,3.23,3.231093381337405,3.6433252720193785,0.0,0.014167947926969801,-0.010221095996489554,117.14671999971723,4,0.0010933813374052193,6,6,0
Nb-Ta-Ti-V,BCC,3.2206,3.231093381337405,3.6433252720193785,0.0,0.014167947926969801,-0.010221095996489554,117.14671999971723,4,0.010493381337405072,6,6,0
Mo-Nb-Ta-W,BCC,3.218,3.2373176174874327,2.2418644234917515,0.0,0.005475348534347326,0.005620178851219452,5.567100506020269,4,0.01931761748743277,6,6,0
Mo-Nb-Ta-W,BCC,3.216,3.232378560185099,2.22921739257136,0.0,0.005440292784872354,0.00555592095319412,5.458994378753485,4,0.016378560185098756,6,6,0
Mo-Nb-Ta-W,BCC,3.214,3.2287532370235295,2.275262242676818,0.0,0.0055247448428083394,0.005582694250629864,5.64507791089471,4,0.014753237023529486,6,6,0
Mo-Nb-Ta-W,BCC,3.228,3.2454263081267474,2.1982654560450747,0.0,0.005320689271536255,0.005349029998590287,5.726102269153716,4,0.01742630812674717,6,6,0
Mo-Nb-Ta-W,BCC,3.2034,3.230459282842017,2.256282403201655,0.0,0.005490891868572578,0.005545108449959975,5.620122946986045,4,0.027059282842017307,6,6,0
Hf-Mo-Ti-V-Zr,BCC,3.4584,3.3821539095494457,5.624283675162655,0.0,0.019722245431246437,-0.02112229073774986,17.795439407835328,5,0.07624609045055442,10,10,0
Al-Nb-Ta-Ti-Zr,BCC,3.355,3.357162037010632,4.1224208696501545,0.010830090286776829,0.018130751475643952,-0.017495863548285178,3.1748469993095614,5,0.002162037010632112,10,9,0
Cr-Fe-Ta-V-W,BCC,2.935,2.9326374092916603,3.308552953068438,0.014855437482593561,0.03059698228450003,-0.03482486109457751,5.099876184207459,5,0.0023625907083397735,10,9,0
Mo-Nb-Ta-Ti-V,BCC,3.1945,3.214620597677723,3.422817060668094,0.0,0.015877204361135565,-0.011933721658872083,13.652665660932895,5,0.020120597677722785,10,10,0
