element,V_King,V_eff_B2,V_eff_L12,r_King,r_eff_B2,r_eff_L12,delta_B2,delta_L12
Ag,17.061,18.10379433202859,17.62418885874481,1.5970013792725173,1.6288971594509059,1.6143839934581183,-0.008592413521799255,0.023720458771991148
Al,16.602,15.567811537743864,15.770169403297118,1.582549367713697,1.5489818133074946,1.5556644108694273,-0.04886288258520032,-0.018682096944063302
Au,16.966,17.848166360054233,17.940501526170504,1.594031690087204,1.62119404069857,1.6239849122824526,-0.0020499251877073407,0.019060721410705705
B,7.241,5.5565952538099745,10.172589033649292,1.200153085653299,1.098769809877529,1.3441496710829004,,
Be,8.111,8.70512611497706,8.039561852066688,1.2464128871712232,1.276131667745464,1.2427428042560755,-0.014421119430188664,
Ca,43.63,34.6295473062964,38.6177491050498,2.183897248992819,2.022022893169234,2.0968439736961266,-0.15776835650977786,-0.10628021538580852
Ce,34.367,35.87440335419445,29.661249262236513,2.016899869469424,2.045967320055437,1.9202905428324784,0.049264756595837025,-0.0447021385154306
Co,11.073,9.68845330456587,10.3752103480135,1.3826923611463033,1.3224784799782954,1.3530154849713054,-0.06321966343484936,-0.024807396867750957
Cr,12.008,13.45420425873773,12.404454976248445,1.4205636251907152,1.4754453765219608,1.436028390090138,0.07078958526759022,0.04231931886216745
Cu,11.81,12.068939384291163,11.77640593105217,1.412712418206345,1.4229626436897755,1.4113716383829402,-0.01222370750494852,-0.006682415923354068
Dy,31.54,29.647869223440885,30.22786534756068,1.960007319637871,1.920001754969735,1.9324412077054394,-0.0264756073463499,-0.058364741679299684
Er,30.66,28.522913815166277,29.185596132002747,1.9416063353551711,1.8954038573302554,1.9099704715917685,-0.04226581216952885,-0.05778732214547145
Fe,11.776,10.492034026424681,11.464072047366225,1.4113554216028104,1.3580748094692936,1.3987822065592384,-0.028359105599442325,0.024915672903897144
Ge,22.634,16.93485424124271,18.850553312818782,1.7547862958334142,1.593055664743703,1.6509927432178393,,-0.15245922237882015
Hf,22.312,21.34739358758132,21.419025064840945,1.7464250978479678,1.7208859255896596,1.722808595592627,-0.00248826212396594,-0.024974838198791677
Ir,14.155,13.181476936137583,13.676279220447155,1.500630450421227,1.4654077642721886,1.4835190125799311,-0.06417800304147511,-0.018498944533691435
La,37.168,36.29893125370844,35.46369522744349,2.070269390695367,2.054006166097057,2.038129580733865,0.040467062223849895,-0.050196442242434365
Mg,23.24,21.252706851612682,21.322287281313823,1.770309384051908,1.7183378146418853,1.720211026058603,-0.031128292556472585,-0.07703170880695019
Mn,12.21,12.728100557786622,11.757625712785275,1.428485001664581,1.4484104944166165,1.4106209857644836,0.04808457796873075,0.008838501977288611
Mo,15.583,15.019249566098887,16.203430458482966,1.5494853952179959,1.5305700404794609,1.5697823922196974,0.07404442401441941,
Nb,17.978,17.964649643918097,18.078703561306266,1.6251155863008009,1.6247132196234442,1.628144293684899,0.07087460126530405,0.02646956044255905
Ni,10.941,9.964715222340176,9.838384325735339,1.3771760758322233,1.3349308228089811,1.3292654745697037,-0.041880270931616885,-0.04216231127516233
Os,13.977,12.723909152842982,13.839626105395816,1.4943137246635851,1.4482514881981217,1.4894019427419147,-0.04710186782268604,
Pb,30.321,28.66307817356776,28.21262486477458,1.9344238453824663,1.8985035181690244,1.888505678217273,,-0.03260015357817359
Pd,14.716,14.562398345546827,13.696609100618012,1.5201988160139424,1.5148911640638139,1.4842537356082832,-0.02713353441120194,-0.02042331382085395
Pt,15.095,14.983555708112203,14.390179254293646,1.5331388987435077,1.5293565913652691,1.5088956210646527,-0.02744526390759003,-0.0074142496960390184
Re,14.712,13.428585856051855,14.632744768655208,1.520061066935985,1.4745083071009142,1.517326569589453,-0.044821018066504126,
Rh,13.754,12.728227367643662,13.257761722444217,1.4863239306523217,1.4484153045639732,1.4682292325995236,-0.05069636046901136,-0.02908197840543284
Ru,13.571,12.474147203513459,12.883255692940605,1.4797025210257315,1.4387127260183226,1.4542721000167,-0.052749862652300826,-0.02452259122901347
Sc,24.987,22.274862389465447,22.51952009345365,1.8136013727062499,1.7454556035079498,1.7518227982284564,-0.06338639316646641,-0.06949948255792279
Si,20.024,13.987812814482965,14.129380390507391,1.6845635878380372,1.4946989664239128,1.4997245565292356,-0.18057535685115156,-0.13377874622638927
Sn,27.053,24.516803095781366,24.937296001548454,1.8622684018206264,1.8021533490684776,1.8123980392826233,-0.05302129369059227,-0.05631948041755155
Ta,18.014,17.54637876311794,17.785082680152257,1.6261995992423404,1.6120046746900873,1.6192817693034611,0.05764302679973945,-0.007255797778719693
Tb,32.09,30.19965719644307,31.10007756018078,1.9713347123038616,1.9318399130841306,1.9508518400879726,-0.025555087712596097,-0.05091106918749584
Ti,17.649,16.526451455016534,16.647682868567912,1.6151412089743407,1.580145217284987,1.583999578239442,-0.016230642634722594,-0.03693325675788307
V,13.824,14.389073039767073,13.608320138524203,1.48884117815856,1.5088569556897342,1.4810576694941504,-0.01598776460292237,-0.013488660933036536
W,15.85,15.12933878409809,16.141993765674734,1.5582849840929494,1.534300569394301,1.5677958913585828,0.06158268630398393,
Y,33.018,30.68655601961197,31.958859993711233,1.9901572114304584,1.9421667447543958,1.968645673059076,-0.043484914544528644,-0.06139728593325013
Zn,15.207,14.84562434917543,14.126103949006374,1.536921356892218,1.5246492785061625,1.4996086245844724,-0.029676824121190604,-0.043438188545380445
Zr,23.279,22.700468605797525,22.99833756208052,1.771299106960212,1.756502360286208,1.7641517707117935,0.00027621768914262246,-0.02752742390316352
