composition,phase,struct,is_ss,delta_r,delta_sf_combined,delta_sf_b2,delta_sf_l12,omega_yz,S_mix,VEC,ref
Co-Cr-Fe-Mn-Ni,SS,FCC,1,1.4601423152441408,0.03261262818370215,0.036648673793484805,0.03472521388245957,5.793658001760474,13.380866803977112,8.0,Cantor2004
Co-Cr-Fe-Ni,SS,FCC,1,1.3167955002219704,0.018575916182643978,0.021284573205696378,0.020893037943209958,5.752836761366147,11.52565131835077,8.25,Zhang2008
Mo-Nb-Ta-W,SS,BCC,1,2.265913597971831,0.010265560858197123,0.005644846717667066,0.019949885707478177,5.599250069311099,11.52565131835077,5.5,Senkov2010
Mo-Nb-Ta-V-W,SS,BCC,1,3.29086249479158,0.009129559203459932,0.009620027722139,0.017485782288822898,8.544144863539522,13.380866803977112,5.4,Senkov2010
Mo-Nb-Ta-Ti-V,SS,BCC,1,3.422817060668094,0.014005268777400024,0.0178097205063721,0.01581672690209293,13.652665660932895,13.380866803977112,5.0,Senkov2011
Nb-Ta-Ti-V,SS,BCC,1,3.6433252720193785,0.012999028397477474,0.015698579307798118,0.015467243281304497,117.14671999971723,11.52565131835077,4.75,Senkov2013
Nb-Ti-V-Zr,SS,BCC,1,6.156532613956709,0.012363819277603834,0.015713161058331974,0.011382461495942733,103.75391316779363,11.52565131835077,4.5,Senkov2013
Hf-Nb-Ta-Ti-Zr,SS,BCC,1,4.028084596760398,0.009922441666761242,0.013679839246248169,0.01078855700849608,12.411737847953768,13.380866803977112,4.3999999999999995,Senkov2012
Hf-Nb-Ti-V-Zr,SS,BCC,1,6.17204987727566,0.011144855857584068,0.014173262705147006,0.0101509461088753,192.48376897521086,13.380866803977112,4.4,Senkov2013
Al-Co-Cr-Fe,SS,BCC,1,5.395367723773973,0.0518040295390574,0.062196900303744036,0.03613005152601547,1.6767317091826817,11.52565131835077,6.5,Zhang2008
Al-Co-Cr-Cu-Ni,SS,BCC+FCC,1,5.265825251149856,0.037956779390324547,0.043217962464582454,0.030554246960213638,3.250163592295294,13.380866803977112,7.800000000000001,Yeh2004
Al-Co-Cu-Fe-Ni,SS,BCC+FCC,1,5.30354401678217,0.04541499615335246,0.05523014495484155,0.029862705396121753,3.8510540142658365,13.380866803977112,8.200000000000001,Yeh2004
