pair,omega_b2,b2_source,b2_sigma,omega_l12,l12_source,l12_sigma
Ag-Al,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ag-Au,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ag-B,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ag-Be,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ag-Ca,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ag-Ce,0.030228408201928608,DFT,,-0.058182820511815565,ML,0.05201592290220109
Ag-Co,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ag-Cr,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ag-Cu,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ag-Dy,-0.027481541911671407,DFT,,-0.058182820511815565,ML,0.05201592290220109
Ag-Er,-0.03498718960448429,DFT,,-0.058182820511815565,ML,0.05201592290220109
Ag-Fe,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ag-Ge,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ag-Hf,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ag-Ir,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ag-La,0.015818440674531177,DFT,,-0.058182820511815565,ML,0.05201592290220109
Ag-Mg,-0.10047291977698003,DFT,,-0.059282059092637444,DFT,
Ag-Mn,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ag-Mo,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ag-Nb,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ag-Ni,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ag-Os,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ag-P,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ag-Pb,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ag-Pd,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ag-Pt,-0.06038022993089477,ML,0.06804399586872885,0.022161828409680496,DFT,
Ag-Re,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ag-Rh,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
Ag-Ru,-0.06038022993089477,ML,0.06804399586872885,-0.058182820511815565,ML,0.05201592290220109
