calculation_id,entry_id,method,functional,calculation_type
calc_entry_Al3Sc_005,entry_Al3Sc_005,DFT,PBE,static
calc_entry_Al3Ti_006,entry_Al3Ti_006,DFT,PBE,static
calc_entry_Co3Al_009,entry_Co3Al_009,DFT,PBE,static
calc_entry_Co3Ga_024,entry_Co3Ga_024,DFT,PBE,static
calc_entry_Co3Ge_025,entry_Co3Ge_025,DFT,PBE,static
calc_entry_Co3Hf_029,entry_Co3Hf_029,DFT,PBE,static
calc_entry_Co3Mn_035,entry_Co3Mn_035,DFT,PBE,static
calc_entry_Co3Nb_026,entry_Co3Nb_026,DFT,PBE,static
calc_entry_Co3Sc_027,entry_Co3Sc_027,DFT,PBE,static
calc_entry_Co3Si_030,entry_Co3Si_030,DFT,PBE,static
calc_entry_Co3Sn_031,entry_Co3Sn_031,DFT,PBE,static
calc_entry_Co3Ta_011,entry_Co3Ta_011,DFT,PBE,static
calc_entry_Co3Ti_004,entry_Co3Ti_004,DFT,PBE,static
calc_entry_Co3V_033,entry_Co3V_033,DFT,PBE,static
calc_entry_Co3W_010,entry_Co3W_010,DFT,PBE,static
calc_entry_Co3Y_028,entry_Co3Y_028,DFT,PBE,static
calc_entry_Co3Zn_032,entry_Co3Zn_032,DFT,PBE,static
calc_entry_Co3Zr_034,entry_Co3Zr_034,DFT,PBE,static
calc_entry_Cu3Al_051,entry_Cu3Al_051,DFT,PBE,static
calc_entry_Cu3Ga_052,entry_Cu3Ga_052,DFT,PBE,static
calc_entry_Cu3Ge_053,entry_Cu3Ge_053,DFT,PBE,static
calc_entry_Cu3Hf_059,entry_Cu3Hf_059,DFT,PBE,static
calc_entry_Cu3Mn_065,entry_Cu3Mn_065,DFT,PBE,static
calc_entry_Cu3Nb_055,entry_Cu3Nb_055,DFT,PBE,static
calc_entry_Cu3Sc_057,entry_Cu3Sc_057,DFT,PBE,static
calc_entry_Cu3Si_060,entry_Cu3Si_060,DFT,PBE,static
calc_entry_Cu3Sn_061,entry_Cu3Sn_061,DFT,PBE,static
calc_entry_Cu3Ta_056,entry_Cu3Ta_056,DFT,PBE,static
calc_entry_Cu3Ti_054,entry_Cu3Ti_054,DFT,PBE,static
calc_entry_Cu3V_063,entry_Cu3V_063,DFT,PBE,static
calc_entry_Cu3Y_058,entry_Cu3Y_058,DFT,PBE,static
calc_entry_Cu3Zn_062,entry_Cu3Zn_062,DFT,PBE,static
calc_entry_Cu3Zr_064,entry_Cu3Zr_064,DFT,PBE,static
calc_entry_Fe3Al_036,entry_Fe3Al_036,DFT,PBE,static
calc_entry_Fe3Ga_037,entry_Fe3Ga_037,DFT,PBE,static
calc_entry_Fe3Ge_038,entry_Fe3Ge_038,DFT,PBE,static
calc_entry_Fe3Hf_044,entry_Fe3Hf_044,DFT,PBE,static
calc_entry_Fe3Mn_050,entry_Fe3Mn_050,DFT,PBE,static
calc_entry_Fe3Nb_040,entry_Fe3Nb_040,DFT,PBE,static
calc_entry_Fe3Sc_042,entry_Fe3Sc_042,DFT,PBE,static
calc_entry_Fe3Si_045,entry_Fe3Si_045,DFT,PBE,static
calc_entry_Fe3Sn_046,entry_Fe3Sn_046,DFT,PBE,static
calc_entry_Fe3Ta_041,entry_Fe3Ta_041,DFT,PBE,static
calc_entry_Fe3Ti_039,entry_Fe3Ti_039,DFT,PBE,static
calc_entry_Fe3V_048,entry_Fe3V_048,DFT,PBE,static
calc_entry_Fe3Y_043,entry_Fe3Y_043,DFT,PBE,static
calc_entry_Fe3Zn_047,entry_Fe3Zn_047,DFT,PBE,static
calc_entry_Fe3Zr_049,entry_Fe3Zr_049,DFT,PBE,static
calc_entry_Ir3Al_095,entry_Ir3Al_095,DFT,PBE,static
calc_entry_Ir3Ga_096,entry_Ir3Ga_096,DFT,PBE,static
calc_entry_Ir3Ge_097,entry_Ir3Ge_097,DFT,PBE,static
calc_entry_Ir3Hf_102,entry_Ir3Hf_102,DFT,PBE,static
calc_entry_Ir3Mn_108,entry_Ir3Mn_108,DFT,PBE,static
calc_entry_Ir3Nb_008,entry_Ir3Nb_008,DFT,PBE,static
calc_entry_Ir3Sc_100,entry_Ir3Sc_100,DFT,PBE,static
calc_entry_Ir3Si_103,entry_Ir3Si_103,DFT,PBE,static
