composition_id,entry_id,element,atomic_fraction,site_label
comp_entry_Al3Sc_005_A,entry_Al3Sc_005,Al,0.75,A
comp_entry_Al3Sc_005_B,entry_Al3Sc_005,Sc,0.25,B
comp_entry_Al3Ti_006_A,entry_Al3Ti_006,Al,0.75,A
comp_entry_Al3Ti_006_B,entry_Al3Ti_006,Ti,0.25,B
comp_entry_Co3Al_009_B,entry_Co3Al_009,Al,0.25,B
comp_entry_Co3Al_009_A,entry_Co3Al_009,Co,0.75,A
comp_entry_Co3Ga_024_A,entry_Co3Ga_024,Co,0.75,A
comp_entry_Co3Ga_024_B,entry_Co3Ga_024,Ga,0.25,B
comp_entry_Co3Ge_025_A,entry_Co3Ge_025,Co,0.75,A
comp_entry_Co3Ge_025_B,entry_Co3Ge_025,Ge,0.25,B
comp_entry_Co3Hf_029_A,entry_Co3Hf_029,Co,0.75,A
comp_entry_Co3Hf_029_B,entry_Co3Hf_029,Hf,0.25,B
comp_entry_Co3Mn_035_A,entry_Co3Mn_035,Co,0.75,A
comp_entry_Co3Mn_035_B,entry_Co3Mn_035,Mn,0.25,B
comp_entry_Co3Nb_026_A,entry_Co3Nb_026,Co,0.75,A
comp_entry_Co3Nb_026_B,entry_Co3Nb_026,Nb,0.25,B
comp_entry_Co3Sc_027_A,entry_Co3Sc_027,Co,0.75,A
comp_entry_Co3Sc_027_B,entry_Co3Sc_027,Sc,0.25,B
comp_entry_Co3Si_030_A,entry_Co3Si_030,Co,0.75,A
comp_entry_Co3Si_030_B,entry_Co3Si_030,Si,0.25,B
comp_entry_Co3Sn_031_A,entry_Co3Sn_031,Co,0.75,A
comp_entry_Co3Sn_031_B,entry_Co3Sn_031,Sn,0.25,B
comp_entry_Co3Ta_011_A,entry_Co3Ta_011,Co,0.75,A
comp_entry_Co3Ta_011_B,entry_Co3Ta_011,Ta,0.25,B
comp_entry_Co3Ti_004_A,entry_Co3Ti_004,Co,0.75,A
comp_entry_Co3Ti_004_B,entry_Co3Ti_004,Ti,0.25,B
comp_entry_Co3V_033_A,entry_Co3V_033,Co,0.75,A
comp_entry_Co3V_033_B,entry_Co3V_033,V,0.25,B
comp_entry_Co3W_010_A,entry_Co3W_010,Co,0.75,A
comp_entry_Co3W_010_B,entry_Co3W_010,W,0.25,B
comp_entry_Co3Y_028_A,entry_Co3Y_028,Co,0.75,A
comp_entry_Co3Y_028_B,entry_Co3Y_028,Y,0.25,B
comp_entry_Co3Zn_032_A,entry_Co3Zn_032,Co,0.75,A
comp_entry_Co3Zn_032_B,entry_Co3Zn_032,Zn,0.25,B
comp_entry_Co3Zr_034_A,entry_Co3Zr_034,Co,0.75,A
comp_entry_Co3Zr_034_B,entry_Co3Zr_034,Zr,0.25,B
comp_entry_Cu3Al_051_B,entry_Cu3Al_051,Al,0.25,B
comp_entry_Cu3Al_051_A,entry_Cu3Al_051,Cu,0.75,A
comp_entry_Cu3Ga_052_A,entry_Cu3Ga_052,Cu,0.75,A
comp_entry_Cu3Ga_052_B,entry_Cu3Ga_052,Ga,0.25,B
comp_entry_Cu3Ge_053_A,entry_Cu3Ge_053,Cu,0.75,A
comp_entry_Cu3Ge_053_B,entry_Cu3Ge_053,Ge,0.25,B
comp_entry_Cu3Hf_059_A,entry_Cu3Hf_059,Cu,0.75,A
