entry_id,source_db,source_material_id,formula,reduced_formula,chemical_system,number_of_elements
entry_Al3Sc_005,mock,mock_Al3Sc_005,Al3Sc,Al3Sc,Al-Sc,2
entry_Al3Ti_006,mock,mock_Al3Ti_006,Al3Ti,Al3Ti,Al-Ti,2
entry_Co3Al_009,mock,mock_Co3Al_009,Co3Al,Co3Al,Al-Co,2
entry_Co3Ga_024,mock,mock_Co3Ga_024,Co3Ga,Co3Ga,Co-Ga,2
entry_Co3Ge_025,mock,mock_Co3Ge_025,Co3Ge,Co3Ge,Co-Ge,2
entry_Co3Hf_029,mock,mock_Co3Hf_029,Co3Hf,Co3Hf,Co-Hf,2
entry_Co3Mn_035,mock,mock_Co3Mn_035,Co3Mn,Co3Mn,Co-Mn,2
entry_Co3Nb_026,mock,mock_Co3Nb_026,Co3Nb,Co3Nb,Co-Nb,2
entry_Co3Sc_027,mock,mock_Co3Sc_027,Co3Sc,Co3Sc,Co-Sc,2
entry_Co3Si_030,mock,mock_Co3Si_030,Co3Si,Co3Si,Co-Si,2
entry_Co3Sn_031,mock,mock_Co3Sn_031,Co3Sn,Co3Sn,Co-Sn,2
entry_Co3Ta_011,mock,mock_Co3Ta_011,Co3Ta,Co3Ta,Co-Ta,2
entry_Co3Ti_004,mock,mock_Co3Ti_004,Co3Ti,Co3Ti,Co-Ti,2
entry_Co3V_033,mock,mock_Co3V_033,Co3V,Co3V,Co-V,2
entry_Co3W_010,mock,mock_Co3W_010,Co3W,Co3W,Co-W,2
entry_Co3Y_028,mock,mock_Co3Y_028,Co3Y,Co3Y,Co-Y,2
entry_Co3Zn_032,mock,mock_Co3Zn_032,Co3Zn,Co3Zn,Co-Zn,2
entry_Co3Zr_034,mock,mock_Co3Zr_034,Co3Zr,Co3Zr,Co-Zr,2
entry_Cu3Al_051,mock,mock_Cu3Al_051,Cu3Al,Cu3Al,Al-Cu,2
entry_Cu3Ga_052,mock,mock_Cu3Ga_052,Cu3Ga,Cu3Ga,Cu-Ga,2
entry_Cu3Ge_053,mock,mock_Cu3Ge_053,Cu3Ge,Cu3Ge,Cu-Ge,2
entry_Cu3Hf_059,mock,mock_Cu3Hf_059,Cu3Hf,Cu3Hf,Cu-Hf,2
entry_Cu3Mn_065,mock,mock_Cu3Mn_065,Cu3Mn,Cu3Mn,Cu-Mn,2
entry_Cu3Nb_055,mock,mock_Cu3Nb_055,Cu3Nb,Cu3Nb,Cu-Nb,2
entry_Cu3Sc_057,mock,mock_Cu3Sc_057,Cu3Sc,Cu3Sc,Cu-Sc,2
entry_Cu3Si_060,mock,mock_Cu3Si_060,Cu3Si,Cu3Si,Cu-Si,2
entry_Cu3Sn_061,mock,mock_Cu3Sn_061,Cu3Sn,Cu3Sn,Cu-Sn,2
entry_Cu3Ta_056,mock,mock_Cu3Ta_056,Cu3Ta,Cu3Ta,Cu-Ta,2
entry_Cu3Ti_054,mock,mock_Cu3Ti_054,Cu3Ti,Cu3Ti,Cu-Ti,2
entry_Cu3V_063,mock,mock_Cu3V_063,Cu3V,Cu3V,Cu-V,2
entry_Cu3Y_058,mock,mock_Cu3Y_058,Cu3Y,Cu3Y,Cu-Y,2
entry_Cu3Zn_062,mock,mock_Cu3Zn_062,Cu3Zn,Cu3Zn,Cu-Zn,2
entry_Cu3Zr_064,mock,mock_Cu3Zr_064,Cu3Zr,Cu3Zr,Cu-Zr,2
entry_Fe3Al_036,mock,mock_Fe3Al_036,Fe3Al,Fe3Al,Al-Fe,2
entry_Fe3Ga_037,mock,mock_Fe3Ga_037,Fe3Ga,Fe3Ga,Fe-Ga,2
entry_Fe3Ge_038,mock,mock_Fe3Ge_038,Fe3Ge,Fe3Ge,Fe-Ge,2
entry_Fe3Hf_044,mock,mock_Fe3Hf_044,Fe3Hf,Fe3Hf,Fe-Hf,2
entry_Fe3Mn_050,mock,mock_Fe3Mn_050,Fe3Mn,Fe3Mn,Fe-Mn,2
entry_Fe3Nb_040,mock,mock_Fe3Nb_040,Fe3Nb,Fe3Nb,Fe-Nb,2
entry_Fe3Sc_042,mock,mock_Fe3Sc_042,Fe3Sc,Fe3Sc,Fe-Sc,2
entry_Fe3Si_045,mock,mock_Fe3Si_045,Fe3Si,Fe3Si,Fe-Si,2
entry_Fe3Sn_046,mock,mock_Fe3Sn_046,Fe3Sn,Fe3Sn,Fe-Sn,2
entry_Fe3Ta_041,mock,mock_Fe3Ta_041,Fe3Ta,Fe3Ta,Fe-Ta,2
entry_Fe3Ti_039,mock,mock_Fe3Ti_039,Fe3Ti,Fe3Ti,Fe-Ti,2
entry_Fe3V_048,mock,mock_Fe3V_048,Fe3V,Fe3V,Fe-V,2
entry_Fe3Y_043,mock,mock_Fe3Y_043,Fe3Y,Fe3Y,Fe-Y,2
entry_Fe3Zn_047,mock,mock_Fe3Zn_047,Fe3Zn,Fe3Zn,Fe-Zn,2
entry_Fe3Zr_049,mock,mock_Fe3Zr_049,Fe3Zr,Fe3Zr,Fe-Zr,2
entry_Ir3Al_095,mock,mock_Ir3Al_095,Ir3Al,Ir3Al,Al-Ir,2
entry_Ir3Ga_096,mock,mock_Ir3Ga_096,Ir3Ga,Ir3Ga,Ga-Ir,2
entry_Ir3Ge_097,mock,mock_Ir3Ge_097,Ir3Ge,Ir3Ge,Ge-Ir,2
entry_Ir3Hf_102,mock,mock_Ir3Hf_102,Ir3Hf,Ir3Hf,Hf-Ir,2
entry_Ir3Mn_108,mock,mock_Ir3Mn_108,Ir3Mn,Ir3Mn,Ir-Mn,2
entry_Ir3Nb_008,mock,mock_Ir3Nb_008,Ir3Nb,Ir3Nb,Ir-Nb,2
entry_Ir3Sc_100,mock,mock_Ir3Sc_100,Ir3Sc,Ir3Sc,Ir-Sc,2
entry_Ir3Si_103,mock,mock_Ir3Si_103,Ir3Si,Ir3Si,Ir-Si,2
entry_Ir3Sn_104,mock,mock_Ir3Sn_104,Ir3Sn,Ir3Sn,Ir-Sn,2
entry_Ir3Ta_099,mock,mock_Ir3Ta_099,Ir3Ta,Ir3Ta,Ir-Ta,2
entry_Ir3Ti_098,mock,mock_Ir3Ti_098,Ir3Ti,Ir3Ti,Ir-Ti,2
entry_Ir3V_106,mock,mock_Ir3V_106,Ir3V,Ir3V,Ir-V,2
entry_Ir3Y_101,mock,mock_Ir3Y_101,Ir3Y,Ir3Y,Ir-Y,2
entry_Ir3Zn_105,mock,mock_Ir3Zn_105,Ir3Zn,Ir3Zn,Ir-Zn,2
entry_Ir3Zr_107,mock,mock_Ir3Zr_107,Ir3Zr,Ir3Zr,Ir-Zr,2
entry_Ni3Al_001,mock,mock_Ni3Al_001,Ni3Al,Ni3Al,Al-Ni,2
entry_Ni3Ga_002,mock,mock_Ni3Ga_002,Ni3Ga,Ni3Ga,Ga-Ni,2
entry_Ni3Ge_003,mock,mock_Ni3Ge_003,Ni3Ge,Ni3Ge,Ge-Ni,2
entry_Ni3Hf_017,mock,mock_Ni3Hf_017,Ni3Hf,Ni3Hf,Hf-Ni,2
entry_Ni3Mn_023,mock,mock_Ni3Mn_023,Ni3Mn,Ni3Mn,Mn-Ni,2
entry_Ni3Nb_013,mock,mock_Ni3Nb_013,Ni3Nb,Ni3Nb,Nb-Ni,2
entry_Ni3Sc_015,mock,mock_Ni3Sc_015,Ni3Sc,Ni3Sc,Ni-Sc,2
entry_Ni3Si_018,mock,mock_Ni3Si_018,Ni3Si,Ni3Si,Ni-Si,2
entry_Ni3Sn_019,mock,mock_Ni3Sn_019,Ni3Sn,Ni3Sn,Ni-Sn,2
entry_Ni3Ta_014,mock,mock_Ni3Ta_014,Ni3Ta,Ni3Ta,Ni-Ta,2
entry_Ni3Ti_012,mock,mock_Ni3Ti_012,Ni3Ti,Ni3Ti,Ni-Ti,2
entry_Ni3V_021,mock,mock_Ni3V_021,Ni3V,Ni3V,Ni-V,2
entry_Ni3Y_016,mock,mock_Ni3Y_016,Ni3Y,Ni3Y,Ni-Y,2
entry_Ni3Zn_020,mock,mock_Ni3Zn_020,Ni3Zn,Ni3Zn,Ni-Zn,2
entry_Ni3Zr_022,mock,mock_Ni3Zr_022,Ni3Zr,Ni3Zr,Ni-Zr,2
entry_Pd3Al_066,mock,mock_Pd3Al_066,Pd3Al,Pd3Al,Al-Pd,2
entry_Pd3Ga_067,mock,mock_Pd3Ga_067,Pd3Ga,Pd3Ga,Ga-Pd,2
entry_Pd3Ge_068,mock,mock_Pd3Ge_068,Pd3Ge,Pd3Ge,Ge-Pd,2
entry_Pd3Hf_074,mock,mock_Pd3Hf_074,Pd3Hf,Pd3Hf,Hf-Pd,2
entry_Pd3Mn_080,mock,mock_Pd3Mn_080,Pd3Mn,Pd3Mn,Mn-Pd,2
entry_Pd3Nb_070,mock,mock_Pd3Nb_070,Pd3Nb,Pd3Nb,Nb-Pd,2
