stability_id,entry_id,formation_energy_per_atom,energy_above_hull,is_stable,band_gap
stab_entry_Al3Sc_005,entry_Al3Sc_005,-0.5,0,t,
stab_entry_Al3Ti_006,entry_Al3Ti_006,-0.41,0.02,t,
stab_entry_Co3Al_009,entry_Co3Al_009,-0.36,0.01,t,
stab_entry_Co3Ga_024,entry_Co3Ga_024,-0.36,0.048,f,
stab_entry_Co3Ge_025,entry_Co3Ge_025,-0.365,0.052,f,
stab_entry_Co3Hf_029,entry_Co3Hf_029,-0.385,0.012,t,
stab_entry_Co3Mn_035,entry_Co3Mn_035,-0.415,0.036,f,
stab_entry_Co3Nb_026,entry_Co3Nb_026,-0.37,0,t,
stab_entry_Co3Sc_027,entry_Co3Sc_027,-0.375,0.004,t,
stab_entry_Co3Si_030,entry_Co3Si_030,-0.39,0.016,t,
stab_entry_Co3Sn_031,entry_Co3Sn_031,-0.395,0.02,t,
stab_entry_Co3Ta_011,entry_Co3Ta_011,-0.34,0.04,f,
stab_entry_Co3Ti_004,entry_Co3Ti_004,-0.45,0,t,
stab_entry_Co3V_033,entry_Co3V_033,-0.405,0.028,f,
stab_entry_Co3W_010,entry_Co3W_010,-0.33,0.05,f,
stab_entry_Co3Y_028,entry_Co3Y_028,-0.38,0.008,t,
stab_entry_Co3Zn_032,entry_Co3Zn_032,-0.4,0.024,f,
stab_entry_Co3Zr_034,entry_Co3Zr_034,-0.41,0.032,f,
stab_entry_Cu3Al_051,entry_Cu3Al_051,-0.495,0.044,f,
stab_entry_Cu3Ga_052,entry_Cu3Ga_052,-0.3,0.048,f,
stab_entry_Cu3Ge_053,entry_Cu3Ge_053,-0.305,0.052,f,
stab_entry_Cu3Hf_059,entry_Cu3Hf_059,-0.335,0.02,t,
stab_entry_Cu3Mn_065,entry_Cu3Mn_065,-0.365,0.044,f,
stab_entry_Cu3Nb_055,entry_Cu3Nb_055,-0.315,0.004,t,
stab_entry_Cu3Sc_057,entry_Cu3Sc_057,-0.325,0.012,t,
stab_entry_Cu3Si_060,entry_Cu3Si_060,-0.34,0.024,f,
stab_entry_Cu3Sn_061,entry_Cu3Sn_061,-0.345,0.028,f,
stab_entry_Cu3Ta_056,entry_Cu3Ta_056,-0.32,0.008,t,
stab_entry_Cu3Ti_054,entry_Cu3Ti_054,-0.31,0,t,
stab_entry_Cu3V_063,entry_Cu3V_063,-0.355,0.036,f,
stab_entry_Cu3Y_058,entry_Cu3Y_058,-0.33,0.016,t,
stab_entry_Cu3Zn_062,entry_Cu3Zn_062,-0.35,0.032,f,
stab_entry_Cu3Zr_064,entry_Cu3Zr_064,-0.36,0.04,f,
stab_entry_Fe3Al_036,entry_Fe3Al_036,-0.42,0.04,f,
stab_entry_Fe3Ga_037,entry_Fe3Ga_037,-0.425,0.044,f,
stab_entry_Fe3Ge_038,entry_Fe3Ge_038,-0.43,0.048,f,
stab_entry_Fe3Hf_044,entry_Fe3Hf_044,-0.46,0.016,t,
stab_entry_Fe3Mn_050,entry_Fe3Mn_050,-0.49,0.04,f,
stab_entry_Fe3Nb_040,entry_Fe3Nb_040,-0.44,0,t,
stab_entry_Fe3Sc_042,entry_Fe3Sc_042,-0.45,0.008,t,
stab_entry_Fe3Si_045,entry_Fe3Si_045,-0.465,0.02,t,
stab_entry_Fe3Sn_046,entry_Fe3Sn_046,-0.47,0.024,f,
stab_entry_Fe3Ta_041,entry_Fe3Ta_041,-0.445,0.004,t,
stab_entry_Fe3Ti_039,entry_Fe3Ti_039,-0.435,0.052,f,
stab_entry_Fe3V_048,entry_Fe3V_048,-0.48,0.032,f,
stab_entry_Fe3Y_043,entry_Fe3Y_043,-0.455,0.012,t,
stab_entry_Fe3Zn_047,entry_Fe3Zn_047,-0.475,0.028,f,
stab_entry_Fe3Zr_049,entry_Fe3Zr_049,-0.485,0.036,f,
stab_entry_Ir3Al_095,entry_Ir3Al_095,-0.315,0.052,f,
stab_entry_Ir3Ga_096,entry_Ir3Ga_096,-0.32,0,t,
stab_entry_Ir3Ge_097,entry_Ir3Ge_097,-0.325,0.004,t,
stab_entry_Ir3Hf_102,entry_Ir3Hf_102,-0.35,0.024,f,
stab_entry_Ir3Mn_108,entry_Ir3Mn_108,-0.38,0.048,f,
stab_entry_Ir3Nb_008,entry_Ir3Nb_008,-0.48,0.03,f,
stab_entry_Ir3Sc_100,entry_Ir3Sc_100,-0.34,0.016,t,
stab_entry_Ir3Si_103,entry_Ir3Si_103,-0.355,0.028,f,
stab_entry_Ir3Sn_104,entry_Ir3Sn_104,-0.36,0.032,f,
stab_entry_Ir3Ta_099,entry_Ir3Ta_099,-0.335,0.012,t,
stab_entry_Ir3Ti_098,entry_Ir3Ti_098,-0.33,0.008,t,
stab_entry_Ir3V_106,entry_Ir3V_106,-0.37,0.04,f,
stab_entry_Ir3Y_101,entry_Ir3Y_101,-0.345,0.02,t,
stab_entry_Ir3Zn_105,entry_Ir3Zn_105,-0.365,0.036,f,
stab_entry_Ir3Zr_107,entry_Ir3Zr_107,-0.375,0.044,f,
stab_entry_Ni3Al_001,entry_Ni3Al_001,-0.42,0,t,
stab_entry_Ni3Ga_002,entry_Ni3Ga_002,-0.38,0.01,t,
stab_entry_Ni3Ge_003,entry_Ni3Ge_003,-0.35,0.04,f,
stab_entry_Ni3Hf_017,entry_Ni3Hf_017,-0.325,0.02,t,
stab_entry_Ni3Mn_023,entry_Ni3Mn_023,-0.355,0.044,f,
stab_entry_Ni3Nb_013,entry_Ni3Nb_013,-0.305,0.004,t,
stab_entry_Ni3Sc_015,entry_Ni3Sc_015,-0.315,0.012,t,
stab_entry_Ni3Si_018,entry_Ni3Si_018,-0.33,0.024,f,
stab_entry_Ni3Sn_019,entry_Ni3Sn_019,-0.335,0.028,f,
stab_entry_Ni3Ta_014,entry_Ni3Ta_014,-0.31,0.008,t,
stab_entry_Ni3Ti_012,entry_Ni3Ti_012,-0.3,0,t,
stab_entry_Ni3V_021,entry_Ni3V_021,-0.345,0.036,f,
stab_entry_Ni3Y_016,entry_Ni3Y_016,-0.32,0.016,t,
stab_entry_Ni3Zn_020,entry_Ni3Zn_020,-0.34,0.032,f,
stab_entry_Ni3Zr_022,entry_Ni3Zr_022,-0.35,0.04,f,
stab_entry_Pd3Al_066,entry_Pd3Al_066,-0.37,0.048,f,
stab_entry_Pd3Ga_067,entry_Pd3Ga_067,-0.375,0.052,f,
stab_entry_Pd3Ge_068,entry_Pd3Ge_068,-0.38,0,t,
stab_entry_Pd3Hf_074,entry_Pd3Hf_074,-0.41,0.024,f,
stab_entry_Pd3Mn_080,entry_Pd3Mn_080,-0.44,0.048,f,
stab_entry_Pd3Nb_070,entry_Pd3Nb_070,-0.39,0.008,t,
stab_entry_Pd3Sc_072,entry_Pd3Sc_072,-0.4,0.016,t,
stab_entry_Pd3Si_075,entry_Pd3Si_075,-0.415,0.028,f,
stab_entry_Pd3Sn_076,entry_Pd3Sn_076,-0.42,0.032,f,
stab_entry_Pd3Ta_071,entry_Pd3Ta_071,-0.395,0.012,t,
stab_entry_Pd3Ti_069,entry_Pd3Ti_069,-0.385,0.004,t,
stab_entry_Pd3V_078,entry_Pd3V_078,-0.43,0.04,f,
stab_entry_Pd3Y_073,entry_Pd3Y_073,-0.405,0.02,t,
stab_entry_Pd3Zn_077,entry_Pd3Zn_077,-0.425,0.036,f,
stab_entry_Pd3Zr_079,entry_Pd3Zr_079,-0.435,0.044,f,
stab_entry_Pt3Al_007,entry_Pt3Al_007,-0.55,0,t,
stab_entry_Pt3Ga_081,entry_Pt3Ga_081,-0.445,0.052,f,
stab_entry_Pt3Ge_082,entry_Pt3Ge_082,-0.45,0,t,
stab_entry_Pt3Hf_088,entry_Pt3Hf_088,-0.48,0.024,f,
stab_entry_Pt3Mn_094,entry_Pt3Mn_094,-0.31,0.048,f,
stab_entry_Pt3Nb_084,entry_Pt3Nb_084,-0.46,0.008,t,
stab_entry_Pt3Sc_086,entry_Pt3Sc_086,-0.47,0.016,t,
stab_entry_Pt3Si_089,entry_Pt3Si_089,-0.485,0.028,f,
stab_entry_Pt3Sn_090,entry_Pt3Sn_090,-0.49,0.032,f,
stab_entry_Pt3Ta_085,entry_Pt3Ta_085,-0.465,0.012,t,
stab_entry_Pt3Ti_083,entry_Pt3Ti_083,-0.455,0.004,t,
stab_entry_Pt3V_092,entry_Pt3V_092,-0.3,0.04,f,
stab_entry_Pt3Y_087,entry_Pt3Y_087,-0.475,0.02,t,
stab_entry_Pt3Zn_091,entry_Pt3Zn_091,-0.495,0.036,f,
stab_entry_Pt3Zr_093,entry_Pt3Zr_093,-0.305,0.044,f,
stab_entry_Rh3Al_109,entry_Rh3Al_109,-0.385,0.052,f,
stab_entry_Rh3Ga_110,entry_Rh3Ga_110,-0.39,0,t,
stab_entry_Rh3Ge_111,entry_Rh3Ge_111,-0.395,0.004,t,
stab_entry_Rh3Hf_117,entry_Rh3Hf_117,-0.425,0.028,f,
stab_entry_Rh3Nb_113,entry_Rh3Nb_113,-0.405,0.012,t,
stab_entry_Rh3Sc_115,entry_Rh3Sc_115,-0.415,0.02,t,
stab_entry_Rh3Si_118,entry_Rh3Si_118,-0.43,0.032,f,
stab_entry_Rh3Sn_119,entry_Rh3Sn_119,-0.435,0.036,f,
stab_entry_Rh3Ta_114,entry_Rh3Ta_114,-0.41,0.016,t,
stab_entry_Rh3Ti_112,entry_Rh3Ti_112,-0.4,0.008,t,
stab_entry_Rh3Y_116,entry_Rh3Y_116,-0.42,0.024,f,
stab_entry_Rh3Zn_120,entry_Rh3Zn_120,-0.44,0.04,f,
stab_oqmd_100270,oqmd_100270,-0.988540790171752,1.032536239999998,f,0
stab_oqmd_100272,oqmd_100272,-1.05657599197997,0.5624979400000001,f,0
stab_oqmd_100274,oqmd_100274,-0.89030803,0.486505195,f,0
stab_oqmd_100276,oqmd_100276,-0.613219,0.33011415,f,0
stab_oqmd_100359,oqmd_100359,-0.377936951893132,0.04577332500000025,f,0
stab_oqmd_10066,oqmd_10066,,0.014831840000000193,f,0.629
stab_oqmd_10071,oqmd_10071,-0.320288290000001,0.00032632249999992036,t,0
stab_oqmd_10077,oqmd_10077,,0,t,0
stab_oqmd_10081,oqmd_10081,,0,t,2.953
stab_oqmd_10083,oqmd_10083,,0.18221755375,f,0
stab_oqmd_10087,oqmd_10087,,0.0415147039079127,f,0
stab_oqmd_10102,oqmd_10102,,0.180344275,f,0
stab_oqmd_10103,oqmd_10103,,0.1582208749999998,f,0
stab_oqmd_10118,oqmd_10118,-0.369872787499999,0.0008256925000006965,t,0
stab_oqmd_10120,oqmd_10120,,0,t,0
stab_oqmd_10122,oqmd_10122,-0.0038499699999992,0.0584880749999996,f,0
stab_oqmd_10123,oqmd_10123,-0.0243849549999999,0.009315249999999806,f,0
stab_oqmd_10127,oqmd_10127,-0.0333419150000003,0.031640219999999906,f,0
stab_oqmd_10128,oqmd_10128,-0.0905041150000003,0.003848952233779762,f,0
stab_oqmd_10182,oqmd_10182,,0.025170781250000274,f,1.115
stab_oqmd_10263,oqmd_10263,,0.24606195500000003,f,0
stab_oqmd_10280,oqmd_10280,,0.25964367715284575,f,0
stab_oqmd_10307,oqmd_10307,-0.218187575937501,7.20825000000147e-05,t,0
stab_oqmd_10315,oqmd_10315,,0.00022470000000307522,t,0.367999999999999
stab_oqmd_10320,oqmd_10320,,0.3998652075000021,f,0
stab_oqmd_10323,oqmd_10323,-0.204518074999999,0.02789458062500136,f,0
stab_oqmd_10359,oqmd_10359,-0.0670945487500001,0.0038324438888891615,f,0
stab_oqmd_10361,oqmd_10361,-0.244193677500001,0,t,0
stab_oqmd_10365,oqmd_10365,-0.335554942083335,0.0006244250000000395,t,0
stab_oqmd_10375,oqmd_10375,-0.536375376041667,0.06194636515624885,f,0
stab_oqmd_10381,oqmd_10381,-0.24622367,0.14938112625,f,0
stab_oqmd_10401,oqmd_10401,-0.31812355375,0.06004809499999997,f,0
stab_oqmd_104098,oqmd_104098,-0.0419980870833347,0.0011870800000003054,f,0
stab_oqmd_104099,oqmd_104099,-0.109627112083335,0.00010383249999999788,t,0
stab_oqmd_104100,oqmd_104100,-0.115391504583335,0.00016523624999989495,t,0
stab_oqmd_104101,oqmd_104101,-0.119350598333335,4.302500000000209e-05,t,0
stab_oqmd_104105,oqmd_104105,-0.0793983779166698,1.722500000009286e-05,t,0
stab_oqmd_104106,oqmd_104106,-0.07312203625,9.343500000021099e-05,t,0
stab_oqmd_104107,oqmd_104107,-0.056790284583335,9.736499999980774e-05,t,0
stab_oqmd_104109,oqmd_104109,-0.0441481120833349,0,t,0
stab_oqmd_10411,oqmd_10411,-0.610342165,0.003813699999999809,f,0
stab_oqmd_10445,oqmd_10445,-0.395507823333335,0.02122244624999997,f,0
stab_oqmd_10447,oqmd_10447,-0.420638754166667,0.010979616250000379,f,0
stab_oqmd_10454,oqmd_10454,-0.416281587499999,0.0032692955000009905,f,0
stab_oqmd_10477,oqmd_10477,-0.419251880833333,0.005378295500000019,f,0
stab_oqmd_10480,oqmd_10480,-0.946320085,4.67000000003992e-06,t,0
stab_oqmd_10489,oqmd_10489,-0.0996664275000003,0,t,0
stab_oqmd_10494,oqmd_10494,-0.39538211875,0,t,0
stab_oqmd_10516,oqmd_10516,-0.669379795,6.6560000001048e-05,t,0
stab_oqmd_10537,oqmd_10537,-0.0962618446875005,0.021344041874999525,f,0
stab_oqmd_10539,oqmd_10539,-0.4495093125,0.005456309999999631,f,0
stab_oqmd_10542,oqmd_10542,-0.37334288375,0.03149970750000042,f,0
stab_oqmd_10543,oqmd_10543,-0.175866360624999,0.026554935000001223,f,0
stab_oqmd_10544,oqmd_10544,-0.39558665,0.02626261000000013,f,0
stab_oqmd_10550,oqmd_10550,-0.875974275,0.03641273999999928,f,0
stab_oqmd_10558,oqmd_10558,-0.33769230375,0.05212252500000003,f,0
stab_oqmd_10559,oqmd_10559,-0.166174865625001,0.028732548749999004,f,0
stab_oqmd_10560,oqmd_10560,-0.347826496875,0.097520785000001,f,0
stab_oqmd_10561,oqmd_10561,-0.93678468,0.11153046249999987,f,0
stab_oqmd_10570,oqmd_10570,-0.266834425,0.02243226875000004,f,0
stab_oqmd_10573,oqmd_10573,0.0126065124999997,0.3160960449999997,f,0
stab_oqmd_10576,oqmd_10576,-1.09711632,8.740499999992934e-05,t,0
stab_oqmd_105788,oqmd_105788,-0.109616142083335,0.00011480249999999692,t,0
stab_oqmd_10587,oqmd_10587,0.306674928999997,0.42026861270833116,f,0
stab_oqmd_10601,oqmd_10601,-0.40951589,0.0014805220000000952,f,0
stab_oqmd_10602,oqmd_10602,-0.12081020625,0.026805794374999498,f,0
stab_oqmd_10609,oqmd_10609,-0.4167731625,0.021175009374999998,f,0
stab_oqmd_10611,oqmd_10611,-0.18682277125,0.04984421687500026,f,0
stab_oqmd_10614,oqmd_10614,-0.421757358750001,0.017147111250000013,f,0
